ASN,Prefix
AS20928,197.246.0.0/17
AS20928,197.246.136.0/23
AS20928,197.246.140.0/24
AS20928,197.246.141.0/24
AS20928,197.246.142.0/23
AS20928,197.246.144.0/23
AS20928,197.246.15.0/24
AS20928,197.246.164.0/22
AS20928,197.246.179.0/24
AS20928,197.246.180.0/22
AS20928,197.246.186.0/23
AS20928,197.246.191.0/24
AS20928,197.246.196.0/22
AS20928,197.246.200.0/22
AS20928,197.246.208.0/22
AS20928,197.246.212.0/24
AS20928,197.246.216.0/21
AS20928,197.246.228.0/24
AS20928,197.246.230.0/23
AS20928,197.246.232.0/24
AS20928,197.246.234.0/23
AS20928,217.139.0.0/16
AS20928,41.187.0.0/16
AS24835,102.184.0.0/13
AS24835,102.184.0.0/19
AS24835,102.184.0.0/20
AS24835,102.184.112.0/20
AS24835,102.184.128.0/20
AS24835,102.184.144.0/20
AS24835,102.184.160.0/20
AS24835,102.184.176.0/20
AS24835,102.184.192.0/20
AS24835,102.184.208.0/20
AS24835,102.184.224.0/20
AS24835,102.184.240.0/20
AS24835,102.184.32.0/20
AS24835,102.184.48.0/20
AS24835,102.184.64.0/20
AS24835,102.184.80.0/20
AS24835,102.184.96.0/20
AS24835,102.185.0.0/19
AS24835,102.185.0.0/20
AS24835,102.185.112.0/20
AS24835,102.185.128.0/20
AS24835,102.185.144.0/20
AS24835,102.185.16.0/20
AS24835,102.185.160.0/20
AS24835,102.185.176.0/20
AS24835,102.185.192.0/20
AS24835,102.185.208.0/20
AS24835,102.185.224.0/20
AS24835,102.185.240.0/20
AS24835,102.185.32.0/20
AS24835,102.185.48.0/20
AS24835,102.185.64.0/20
AS24835,102.185.80.0/20
AS24835,102.185.96.0/20
AS24835,102.186.0.0/20
AS24835,102.186.112.0/20
AS24835,102.186.128.0/20
AS24835,102.186.144.0/20
AS24835,102.186.16.0/20
AS24835,102.186.160.0/20
AS24835,102.186.176.0/20
AS24835,102.186.192.0/20
AS24835,102.186.208.0/20
AS24835,102.186.224.0/20
AS24835,102.186.240.0/20
AS24835,102.186.32.0/20
AS24835,102.186.48.0/20
AS24835,102.186.64.0/20
AS24835,102.186.80.0/20
AS24835,102.186.96.0/19
AS24835,102.186.96.0/20
AS24835,102.187.0.0/20
AS24835,102.187.112.0/20
AS24835,102.187.128.0/20
AS24835,102.187.144.0/20
AS24835,102.187.16.0/20
AS24835,102.187.160.0/20
AS24835,102.187.176.0/20
AS24835,102.187.192.0/20
AS24835,102.187.208.0/20
AS24835,102.187.224.0/20
AS24835,102.187.240.0/20
AS24835,102.187.32.0/20
AS24835,102.187.48.0/20
AS24835,102.187.64.0/20
AS24835,102.187.80.0/20
AS24835,102.187.96.0/20
AS24835,102.188.0.0/20
AS24835,102.188.112.0/20
AS24835,102.188.128.0/20
AS24835,102.188.144.0/20
AS24835,102.188.16.0/20
AS24835,102.188.160.0/20
AS24835,102.188.176.0/20
AS24835,102.188.192.0/20
AS24835,102.188.208.0/20
AS24835,102.188.224.0/20
AS24835,102.188.240.0/20
AS24835,102.188.32.0/20
AS24835,102.188.48.0/20
AS24835,102.188.64.0/20
AS24835,102.188.80.0/20
AS24835,102.188.96.0/20
