ASN,Prefix
AS11967,130.12.194.0/23
AS11967,130.12.194.0/24
AS11967,130.12.195.0/24
AS11967,23.133.172.0/24
AS11967,44.32.91.0/24
AS12293,45.132.64.0/22
AS12757,176.124.247.0/24
AS12757,188.227.248.0/21
AS12757,194.0.51.0/24
AS12757,5.44.191.0/24
AS16255,94.232.28.0/24
AS16255,94.232.29.0/24
AS196743,185.191.16.0/22
AS196743,188.66.0.0/21
AS196785,91.212.244.0/24
AS197060,185.155.252.0/22
AS197060,91.216.86.0/24
AS197289,212.107.52.0/22
AS197289,95.215.132.0/22
AS197354,45.95.96.0/24
AS197517,195.20.151.0/24
AS197611,91.224.188.0/23
AS197974,31.76.113.0/24
AS197974,31.76.119.0/24
AS197974,31.76.249.0/24
AS197974,31.76.250.0/24
AS197974,31.76.38.0/24
AS197974,31.76.39.0/24
AS197974,31.76.91.0/24
AS197974,31.77.201.0/24
AS198006,185.82.154.0/24
AS198068,159.253.16.0/21
AS198068,181.114.240.0/20
AS198068,185.4.72.0/22
AS198068,193.42.142.0/24
AS198068,45.67.128.0/22
AS198068,46.36.216.0/21
AS198068,5.101.112.0/20
AS198068,5.101.176.0/20
AS198068,5.188.16.0/21
AS198068,5.45.112.0/20
AS198379,91.236.38.0/23
AS198379,91.236.44.0/24
AS198632,108.175.100.0/23
AS198632,85.89.32.0/19
AS198776,185.117.64.0/22
AS198776,185.220.132.0/22
AS198776,78.110.44.0/22
AS198780,67.220.69.0/24
AS198780,68.168.30.0/24
AS198966,185.153.144.0/22
AS198966,91.146.64.0/19
AS199328,185.20.101.0/24
AS199800,185.45.140.0/22
AS200804,185.94.112.0/22
AS201273,185.161.249.0/24
AS201601,149.5.214.0/24
AS201601,176.112.144.0/21
AS201601,176.112.152.0/23
AS201601,176.112.155.0/24
AS201601,176.112.156.0/22
AS201601,185.68.208.0/24
AS201601,185.68.209.0/24
AS201601,185.68.210.0/23
AS201601,94.177.25.0/24
AS201613,185.32.181.0/24
AS201906,185.59.32.0/22
AS201906,185.59.34.0/23
AS202063,185.55.48.0/22
AS202225,193.93.252.0/24
AS202376,109.94.209.0/24
AS202376,149.5.209.0/24
AS202376,149.5.210.0/23
AS202376,176.118.167.0/24
AS202376,2.59.166.0/23
AS202376,81.25.69.0/24
AS202480,91.217.50.0/24
AS202635,185.158.176.0/22
AS202635,185.193.60.0/22
AS202635,185.244.100.0/22
AS202635,193.3.30.0/24
AS202635,86.110.32.0/24
AS202635,86.110.35.0/24
AS202635,86.110.38.0/23
AS202635,86.110.43.0/24
AS202635,86.110.45.0/24
AS202652,185.157.108.0/22
AS202652,185.195.20.0/22
AS202759,141.105.140.0/24
AS202759,185.122.185.0/24
AS202759,185.155.222.0/24
AS202759,185.155.96.0/22
AS202759,185.193.49.0/24
AS202759,185.215.184.0/24
AS202759,185.215.186.0/23
AS202759,188.190.18.0/24
AS202759,188.214.32.0/24
AS202759,188.214.36.0/23
AS202759,213.111.179.0/24
AS202759,213.111.181.0/24
AS202759,213.111.189.0/24
AS202759,213.111.190.0/24
AS202759,45.151.72.0/24
AS202759,5.253.176.0/22
AS202759,83.172.139.0/24
AS202759,89.40.104.0/24
AS202759,93.113.214.0/24
AS202759,93.113.98.0/24
AS202759,95.156.206.0/24
AS202952,185.212.150.0/24
AS203021,185.147.120.0/22
AS203065,185.254.34.0/24
AS203065,199.4.158.0/24
AS203081,185.145.4.0/22
AS203273,138.124.123.0/24
AS203273,138.124.60.0/24
AS203273,178.253.55.0/24
AS203273,185.173.144.0/22
AS203273,193.233.130.0/23
AS203273,193.233.202.0/23
AS203273,194.67.201.0/24
AS203273,213.165.45.0/24
AS203273,213.165.47.0/24
AS203273,213.165.50.0/23
AS203273,213.176.116.0/24
AS203273,213.176.117.0/24
AS203273,213.176.118.0/23
AS203273,213.176.74.0/23
AS203273,213.176.92.0/22
AS203273,62.60.152.0/23
