ASN,Prefix
AS10137,203.99.100.0/24
AS10137,203.99.102.0/24
AS10137,203.99.104.0/24
AS10137,203.99.108.0/24
AS10137,203.99.110.0/24
AS10137,203.99.111.0/24
AS10137,203.99.123.0/24
AS10137,203.99.127.0/24
AS10137,203.99.97.0/24
AS10208,202.153.128.0/19
AS10208,202.153.138.0/23
AS10208,202.153.140.0/23
AS10217,119.11.128.0/17
AS10217,119.11.130.0/23
AS10217,119.11.130.0/24
AS10217,119.11.132.0/24
AS10217,119.11.181.0/24
AS10217,119.11.218.0/24
AS10217,202.171.0.0/19
AS10217,202.171.0.0/20
AS10217,202.171.16.0/20
AS10217,202.171.2.0/24
AS10220,202.51.198.0/24
AS10220,202.51.214.0/24
AS131075,151.158.10.0/23
AS131111,103.111.194.0/24
AS131111,103.117.157.0/24
AS131111,103.122.104.0/22
AS131111,103.122.109.0/24
AS131111,103.122.110.0/23
AS131111,103.122.32.0/22
AS131111,103.122.97.0/24
AS131111,103.122.98.0/23
AS131111,103.123.149.0/24
AS131111,103.123.150.0/24
AS131111,103.123.229.0/24
AS131111,103.123.230.0/24
AS131111,103.123.231.0/24
AS131111,103.123.244.0/24
AS131111,103.123.247.0/24
AS131111,103.123.248.0/24
AS131111,103.123.249.0/24
AS131111,103.123.250.0/23
AS131111,103.123.64.0/23
AS131111,103.123.66.0/24
AS131111,103.123.67.0/24
AS131111,103.123.68.0/24
AS131111,103.123.69.0/24
AS131111,103.123.70.0/23
AS131111,103.124.112.0/23
AS131111,103.124.114.0/24
AS131111,103.124.115.0/24
AS131111,103.124.117.0/24
AS131111,103.124.118.0/23
AS131111,103.125.210.0/24
AS131111,103.130.185.0/24
AS131111,103.130.186.0/23
AS131111,103.130.193.0/24
AS131111,103.130.195.0/24
AS131111,103.130.225.0/24
AS131111,103.130.226.0/24
AS131111,103.130.227.0/24
AS131111,103.131.0.0/24
AS131111,103.131.1.0/24
AS131111,103.131.108.0/23
AS131111,103.131.110.0/24
AS131111,103.131.116.0/24
AS131111,103.131.117.0/24
AS131111,103.131.118.0/24
AS131111,103.131.2.0/24
AS131111,103.131.3.0/24
AS131111,103.131.4.0/24
AS131111,103.131.7.0/24
AS131111,103.131.97.0/24
AS131111,103.131.98.0/24
AS131111,103.135.212.0/24
AS131111,103.135.213.0/24
AS131111,103.135.214.0/24
AS131111,103.135.215.0/24
AS131111,103.135.220.0/24
AS131111,103.135.222.0/23
AS131111,103.136.56.0/24
AS131111,103.136.57.0/24
AS131111,103.136.58.0/23
AS131111,103.154.108.0/22
AS131111,103.154.112.0/23
AS131111,103.154.114.0/23
AS131111,103.154.116.0/22
AS131111,103.154.120.0/21
AS131111,103.154.128.0/23
AS131111,103.154.131.0/24
AS131111,103.154.134.0/24
AS131111,103.154.135.0/24
AS131111,103.154.136.0/21
AS131111,103.154.144.0/21
AS131111,103.154.152.0/23
AS131111,103.154.210.0/23
AS131111,103.154.212.0/22
AS131111,103.154.216.0/21
AS131111,103.154.224.0/23
AS131111,103.154.226.0/24
AS131111,103.154.228.0/23
AS131111,103.154.78.0/23
AS131111,103.154.80.0/23
AS131111,103.154.82.0/24
AS131111,103.154.85.0/24
AS131111,103.154.86.0/23
AS131111,103.154.88.0/22
AS131111,103.154.92.0/23
AS131111,103.158.194.0/23
AS131111,103.159.198.0/23
AS131111,103.159.202.0/23
AS131111,103.159.204.0/23
AS131111,103.160.12.0/24
AS131111,103.160.13.0/24
AS131111,103.171.30.0/23
AS131111,103.174.18.0/23
AS131111,103.174.24.0/23
AS131111,103.174.36.0/24
AS131111,103.175.154.0/23
AS131111,103.175.158.0/23
AS131111,103.175.42.0/23
AS131111,103.175.44.0/23
AS131111,103.177.100.0/23
AS131111,103.177.90.0/24
AS131111,103.177.96.0/24
AS131111,103.206.244.0/22
AS131111,103.22.248.0/22
AS131111,103.233.144.0/22
AS131111,103.233.156.0/22
AS131111,103.36.32.0/22
AS131111,103.36.32.0/24
AS131111,103.36.33.0/24
AS131111,103.36.34.0/23
AS131111,103.54.216.0/22
AS131111,103.54.216.0/24
AS131111,103.54.217.0/24
AS131111,103.54.218.0/24
AS131111,103.54.219.0/24
AS131111,103.56.232.0/23
AS131111,103.56.235.0/24
AS131111,103.66.196.0/22
AS131111,103.75.100.0/22
AS131111,103.75.208.0/23
AS131111,103.75.210.0/24
AS131111,103.75.24.0/22
AS131111,103.75.96.0/24
AS131111,103.75.98.0/23
AS131111,103.76.12.0/22
AS131111,103.76.16.0/22
AS131111,103.76.20.0/22
AS131111,103.76.24.0/23
AS131111,103.76.26.0/24
AS131111,103.76.27.0/24
AS131111,103.78.112.0/22
AS131111,103.78.208.0/21
AS131111,103.78.24.0/22
AS131111,103.78.36.0/22
AS131111,103.78.8.0/22
AS131111,103.78.80.0/22
AS131111,103.78.96.0/23
AS131111,103.78.98.0/24
AS131111,103.79.152.0/23
AS131111,103.79.154.0/24
AS131111,103.79.155.0/24
AS131111,103.81.132.0/22
AS131111,103.82.12.0/22
AS131111,103.83.4.0/23
AS131111,103.83.7.0/24
AS131111,103.83.92.0/23
AS131111,103.83.94.0/23
AS131111,103.85.60.0/22
AS131111,103.85.64.0/22
AS131111,119.235.208.0/21
AS131111,119.235.218.0/23
AS131111,119.235.220.0/22
AS131111,122.50.4.0/23
AS131111,122.50.6.0/24
AS131111,122.50.7.0/24
AS131111,202.125.80.0/23
AS131111,202.150.64.0/19
AS131111,202.150.72.0/24
AS131111,202.150.80.0/20
AS131111,202.150.80.0/21
AS131111,202.150.88.0/24
AS131111,202.150.89.0/24
AS131111,202.150.90.0/23
AS131111,202.150.92.0/22
AS131111,202.43.176.0/21
AS131111,202.43.184.0/23
AS131111,202.43.186.0/23
AS131111,202.43.188.0/22
AS131111,203.176.180.0/22
AS131111,27.50.16.0/21
AS131111,27.50.24.0/24
AS131111,27.50.25.0/24
AS131111,27.50.26.0/23
AS131111,27.50.28.0/23
AS131111,27.50.30.0/24
AS131111,27.50.31.0/24
AS131111,43.243.140.0/22
AS131111,45.121.216.0/24
AS131111,45.121.218.0/24
AS131111,9.154.0.0/16
AS131112,103.6.214.0/24
AS131117,101.50.16.0/24
AS131118,101.50.17.0/24
AS131454,151.158.74.0/23
AS131691,116.213.55.0/24
AS131691,116.213.56.0/24
AS131691,116.213.58.0/23
AS131693,103.7.12.0/24
AS131693,103.7.13.0/24
AS131693,103.7.14.0/23
AS131694,103.7.84.0/22
AS131694,103.7.84.0/24
AS131694,103.7.86.0/24
AS131694,103.7.87.0/24
AS131697,103.7.225.0/24
AS131699,103.135.24.0/23
AS131699,103.174.78.0/23
AS131699,139.5.155.0/24
AS131702,103.111.145.0/24
AS131702,103.111.147.0/24
AS131702,103.129.251.0/24
AS131702,103.154.227.0/24
AS131702,103.8.63.0/24
AS131702,45.121.217.0/24
AS131702,45.121.219.0/24
AS131703,103.196.14.0/24
AS131703,103.8.12.0/24
