ASN,Prefix
AS12764,185.29.184.0/22
AS12764,212.112.96.0/19
AS12764,213.109.64.0/21
AS12764,31.186.48.0/21
AS12997,185.66.252.0/22
AS12997,195.114.240.0/20
AS12997,212.241.0.0/19
AS12997,212.97.0.0/19
AS12997,212.97.16.0/20
AS12997,213.145.128.0/19
AS12997,213.145.128.0/23
AS12997,213.145.140.0/24
AS12997,31.29.0.0/19
AS12997,37.218.128.0/18
AS12997,80.72.176.0/20
AS12997,85.113.0.0/19
AS12997,89.237.192.0/18
AS12997,89.237.224.0/19
AS197119,178.217.168.0/21
AS198361,89.126.234.0/24
AS198629,194.150.178.0/24
AS198648,194.26.221.0/24
AS199011,92.38.40.0/24
AS201591,93.171.136.0/24
AS201591,93.171.137.0/24
AS202773,46.226.209.0/24
AS204416,92.38.35.0/24
AS204532,95.47.168.0/23
AS204674,95.47.154.0/24
AS205204,46.8.24.0/24
AS206351,185.78.234.0/24
AS207192,185.161.48.0/22
AS207192,185.161.51.0/24
AS207250,37.18.36.0/24
AS207369,178.216.208.0/21
AS207369,185.138.184.0/22
AS207369,185.39.79.0/24
AS207369,45.140.26.0/23
AS207369,5.59.101.0/24
AS207369,5.59.230.0/23
AS207369,91.205.48.0/22
AS207369,95.215.244.0/22
AS209918,95.47.232.0/24
AS212409,213.232.200.0/24
AS213173,131.222.133.0/24
AS213173,193.176.239.0/24
AS213173,31.3.216.0/24
AS213173,84.54.12.0/24
AS215326,95.87.90.0/23
AS215326,95.87.90.0/24
AS215490,95.46.146.0/23
AS216007,138.249.115.0/24
AS216287,95.130.231.0/24
AS216358,85.209.11.0/24
AS25035,81.88.192.0/20
AS29061,185.53.228.0/22
AS29061,185.53.229.0/24
AS29061,185.53.230.0/23
AS29061,217.29.16.0/20
AS29061,217.29.24.0/24
AS29061,217.29.31.0/24
AS29061,92.62.64.0/20
AS29061,92.62.71.0/24
AS29061,92.62.75.0/24
AS29061,92.62.76.0/22
AS29061,95.87.72.0/21
AS29061,95.87.72.0/22
AS29061,95.87.80.0/21
AS29061,95.87.88.0/23
AS29061,95.87.92.0/22
AS39036,193.151.226.0/24
AS39036,91.237.180.0/24
AS39214,81.20.16.0/20
AS39214,81.20.22.0/24
AS39659,185.229.36.0/23
AS39659,185.229.37.0/24
AS39659,185.229.38.0/23
AS39819,91.207.28.0/23
AS39819,91.213.233.0/24
AS41271,93.170.178.0/23
AS41271,93.170.179.0/24
AS41329,139.28.28.0/22
AS41329,146.19.220.0/24
AS41329,194.176.111.0/24
AS41329,91.192.64.0/23
AS41329,91.192.66.0/24
AS41329,91.192.67.0/24
AS41329,91.247.56.0/24
AS41329,91.247.57.0/24
AS41329,91.247.58.0/23
AS41329,91.247.60.0/22
AS41409,146.120.245.0/24
AS41750,109.201.160.0/19
AS41750,158.181.0.0/19
AS41750,158.181.128.0/17
AS41750,176.123.224.0/19
AS41750,185.138.100.0/22
AS41750,77.235.0.0/19
AS41750,92.245.96.0/19
AS42581,146.120.212.0/23
AS42581,146.120.230.0/23
AS42837,193.34.225.0/24
AS42837,194.107.125.0/24
AS42837,212.42.103.0/24
AS42837,212.42.105.0/24
AS42837,212.42.124.0/22
AS42837,31.192.252.0/22
AS42837,77.95.56.0/23
AS42837,77.95.58.0/24
AS42837,77.95.61.0/24
AS42837,94.143.196.0/22
AS43680,185.67.254.0/23
AS43680,185.67.254.0/24
AS44343,31.148.30.0/24
AS44359,93.171.76.0/23
AS44536,66.132.134.0/24
AS44836,91.199.112.0/24
AS45001,93.171.235.0/24
AS45001,95.46.154.0/24
AS47237,185.117.148.0/22
AS47237,185.117.148.0/24
AS47237,185.117.151.0/24
AS47237,194.152.36.0/23
AS47237,194.152.36.0/24
AS47237,194.152.37.0/24
AS47237,195.216.237.0/24
AS47237,95.87.64.0/21
AS47237,95.87.64.0/22
AS48271,212.2.224.0/21
AS50053,103.102.228.0/24
AS50053,103.80.86.0/23
AS50053,104.164.54.0/24
AS50053,104.238.27.0/24
AS50053,104.249.40.0/24
AS50053,109.205.212.0/24
AS50053,130.12.45.0/24
AS50053,130.12.46.0/24
AS50053,147.45.114.0/24
AS50053,164.215.97.0/24
AS50053,168.222.252.0/24
AS50053,168.222.253.0/24
AS50053,168.222.255.0/24
AS50053,185.121.13.0/24
AS50053,185.121.14.0/24
AS50053,185.170.144.0/24
AS50053,185.174.40.0/24
AS50053,185.196.41.0/24
AS50053,185.199.158.0/24
AS50053,185.202.207.0/24
AS50053,185.214.108.0/24
AS50053,185.218.17.0/24
AS50053,185.221.23.0/24
AS50053,185.222.161.0/24
AS50053,185.227.144.0/24
AS50053,185.23.238.0/24
AS50053,185.230.67.0/24
AS50053,185.232.204.0/24
AS50053,185.236.24.0/24
AS50053,185.239.141.0/24
AS50053,185.239.142.0/24
AS50053,185.240.121.0/24
AS50053,185.250.181.0/24
AS50053,185.254.158.0/24
AS50053,185.28.172.0/24
AS50053,185.28.173.0/24
AS50053,185.28.174.0/24
AS50053,185.5.75.0/24
AS50053,185.74.44.0/24
AS50053,185.74.45.0/24
AS50053,185.74.46.0/24
AS50053,185.9.24.0/24
AS50053,185.9.25.0/24
AS50053,185.9.26.0/24
AS50053,188.240.213.0/24
AS50053,193.17.182.0/24
AS50053,193.222.97.0/24
AS50053,193.32.188.0/24
AS50053,193.37.68.0/24
