ASN,Prefix
AS10030,103.3.20.0/22
AS10030,183.171.0.0/16
AS10030,203.82.64.0/19
AS10081,116.197.0.0/17
AS10081,203.92.128.0/19
AS10204,103.229.32.0/22
AS10204,103.229.32.0/23
AS10204,103.229.34.0/24
AS10204,103.51.48.0/23
AS10204,103.51.50.0/23
AS10204,146.88.196.0/22
AS10204,202.6.248.0/22
AS10204,202.6.248.0/24
AS10204,203.115.192.0/18
AS10204,203.115.199.0/24
AS10204,203.115.200.0/24
AS10204,203.115.201.0/24
AS10204,203.115.208.0/21
AS10204,203.115.211.0/24
AS10204,203.115.225.0/24
AS10204,203.115.226.0/24
AS10204,203.115.236.0/24
AS10204,203.115.238.0/24
AS10204,203.78.200.0/22
AS10204,43.231.224.0/22
AS10204,45.115.220.0/22
AS131204,103.106.73.0/24
AS131310,103.21.252.0/22
AS131310,103.21.252.0/24
AS131310,103.21.254.0/23
AS131310,103.246.217.0/24
AS131310,103.246.88.0/22
AS131310,103.6.236.0/22
AS131310,103.6.239.0/24
AS131310,143.192.100.0/24
AS131310,143.192.101.0/24
AS131310,143.192.102.0/24
AS131310,143.192.103.0/24
AS131310,143.192.104.0/23
AS131310,143.192.105.0/24
AS131310,143.192.106.0/23
AS131310,143.192.108.0/23
AS131310,143.192.110.0/24
AS131310,143.192.111.0/24
AS131310,143.192.96.0/22
AS131310,143.192.99.0/24
AS131310,150.129.69.0/24
AS131310,150.129.70.0/23
AS131310,160.30.222.0/23
AS131310,160.30.223.0/24
AS131330,103.22.148.0/24
AS131330,103.22.149.0/24
AS131330,103.22.150.0/23
AS131330,202.88.41.0/24
AS131330,202.88.43.0/24
AS131332,103.163.4.0/24
AS131332,103.24.134.0/24
AS131684,103.69.173.0/24
AS131684,103.69.174.0/24
AS131684,103.69.175.0/24
AS131996,103.69.208.0/24
AS131996,103.69.209.0/24
AS131996,103.69.210.0/24
AS132022,103.246.204.0/23
AS132022,103.246.206.0/24
AS132022,103.246.207.0/24
AS132033,103.5.105.0/24
AS132035,103.5.180.0/22
AS132111,103.103.156.0/22
AS132111,103.13.75.0/24
AS132111,103.135.40.0/24
AS132111,103.215.136.0/22
AS132111,103.217.92.0/22
AS132111,103.219.116.0/22
AS132111,103.219.116.0/23
AS132111,103.230.124.0/22
AS132111,103.230.124.0/23
AS132111,103.230.126.0/23
AS132111,103.230.127.0/24
AS132111,103.26.170.0/23
AS132111,103.26.170.0/24
AS132111,103.28.162.0/24
AS132111,103.98.237.0/24
AS132111,113.11.188.0/23
AS132111,113.11.190.0/23
AS132111,113.11.190.0/24
AS132111,113.11.191.0/24
AS132111,116.206.248.0/22
AS132111,116.206.248.0/23
AS132170,103.26.44.0/23
AS132170,103.26.46.0/24
AS132170,103.59.218.0/23
AS132170,103.6.163.0/24
AS132196,103.238.124.0/24
AS132196,103.238.125.0/24
AS132196,103.238.126.0/24
AS132196,120.50.48.0/20
AS132196,120.50.59.0/24
AS132196,120.50.60.0/24
AS132196,43.254.76.0/24
AS132198,103.6.244.0/24
AS132198,103.6.245.0/24
AS132198,103.6.246.0/23
AS132198,43.225.108.0/24
AS132198,43.225.109.0/24
AS132198,43.225.110.0/24
AS132198,43.225.111.0/24
AS132241,103.8.24.0/22
AS132241,163.47.200.0/23
AS132241,163.47.202.0/24
AS132241,163.47.203.0/24
AS132326,103.12.144.0/22
AS132354,103.104.69.0/24
AS132354,103.14.184.0/24
AS132354,103.249.208.0/23
AS132372,103.117.20.0/24
AS132372,103.122.164.0/24
AS132372,103.161.132.0/24
AS132372,103.161.133.0/24
AS132372,103.164.203.0/24
AS132372,103.168.105.0/24
AS132372,103.175.50.0/23
AS132372,103.186.116.0/23
AS132372,103.198.26.0/23
AS132372,103.27.255.0/24
AS132372,103.28.90.0/23
AS132372,103.72.162.0/23
AS132372,103.91.194.0/24
AS132372,151.245.110.0/24
AS132372,160.187.97.0/24
AS132372,165.99.199.0/24
AS132372,172.111.129.0/24
AS132372,172.111.153.0/24
AS132372,172.111.157.0/24
AS132372,172.111.173.0/24
AS132372,172.111.186.0/24
AS132372,172.111.199.0/24
AS132372,172.111.203.0/24
AS132372,172.111.234.0/24
AS132372,172.111.236.0/23
AS132372,172.111.238.0/24
AS132372,172.111.242.0/24
AS132372,172.94.0.0/24
AS132372,172.94.102.0/24
AS132372,172.94.103.0/24
AS132372,172.94.107.0/24
AS132372,172.94.108.0/24
AS132372,172.94.112.0/24
AS132372,172.94.114.0/24
AS132372,172.94.116.0/24
AS132372,172.94.118.0/24
AS132372,172.94.121.0/24
AS132372,172.94.123.0/24
AS132372,172.94.124.0/24
AS132372,172.94.21.0/24
AS132372,172.94.22.0/24
AS132372,172.94.25.0/24
AS132372,172.94.26.0/24
AS132372,172.94.28.0/24
AS132372,172.94.37.0/24
AS132372,172.94.49.0/24
AS132372,172.94.51.0/24
AS132372,172.94.55.0/24
AS132372,172.94.56.0/23
AS132372,172.94.60.0/24
AS132372,172.94.62.0/24
AS132372,172.94.80.0/24
AS132372,172.94.82.0/24
AS132372,172.94.86.0/24
AS132372,64.69.119.0/24
AS132372,66.93.172.0/24
AS132372,87.76.160.0/24
AS132376,103.15.136.0/22
AS132434,103.21.32.0/22
AS132434,116.204.200.0/22
AS132434,141.193.40.0/24
AS132434,141.193.41.0/24
AS132434,141.193.42.0/23
AS132494,103.31.34.0/23
AS132512,103.244.191.0/24
