ASN,Prefix
AS10112,103.70.136.0/24
AS131220,103.215.112.0/24
AS131275,103.121.120.0/24
AS131275,103.121.121.0/24
AS131275,103.203.88.0/24
AS131275,103.203.89.0/24
AS131275,103.79.16.0/24
AS131275,103.79.18.0/24
AS131275,111.92.151.0/24
AS131275,111.92.152.0/23
AS131275,111.92.154.0/24
AS131275,122.50.1.0/24
AS131275,151.158.214.0/23
AS131275,223.29.232.0/23
AS131275,223.29.234.0/24
AS131471,103.104.212.0/22
AS131471,103.148.128.0/24
AS131471,103.150.154.0/24
AS131471,103.150.155.0/24
AS131471,103.152.42.0/24
AS131471,103.152.43.0/24
AS131471,103.153.14.0/23
AS131471,103.178.78.0/24
AS131471,103.178.79.0/24
AS131471,103.221.246.0/23
AS131471,103.47.180.0/23
AS131471,103.79.19.0/24
AS131471,116.90.101.0/24
AS131471,119.30.85.0/24
AS131471,156.238.64.0/22
AS131471,156.238.68.0/24
AS131471,156.238.69.0/24
AS131471,156.238.70.0/23
AS131471,162.4.16.0/24
AS131471,165.99.45.0/24
AS131471,180.178.130.0/24
AS131471,180.178.131.0/24
AS131471,36.50.72.0/24
AS131471,45.195.130.0/23
AS131471,45.195.194.0/24
AS131471,45.195.195.0/24
AS131471,45.195.210.0/24
AS131471,45.195.211.0/24
AS132103,144.79.44.0/24
AS132165,103.131.8.0/22
AS132165,103.186.22.0/23
AS132165,103.196.160.0/22
AS132165,103.246.108.0/22
AS132165,111.119.160.0/22
AS132165,111.119.164.0/24
AS132165,111.119.166.0/24
AS132165,111.88.2.0/23
AS132165,111.88.4.0/22
AS132165,111.92.128.0/23
AS132165,111.92.130.0/23
AS132165,111.92.132.0/22
AS132165,111.92.136.0/21
AS132165,111.92.144.0/23
AS132165,111.92.149.0/24
AS132165,111.92.150.0/24
AS132165,113.203.193.0/24
AS132165,113.203.195.0/24
AS132165,113.203.204.0/23
AS132165,113.203.207.0/24
AS132165,115.42.64.0/23
AS132165,115.42.66.0/24
AS132165,115.42.67.0/24
AS132165,115.42.68.0/22
AS132165,118.103.226.0/23
AS132165,118.103.230.0/23
AS132165,118.103.232.0/22
AS132165,118.103.236.0/24
AS132165,118.103.237.0/24
AS132165,118.103.238.0/23
AS132165,119.152.40.0/22
AS132165,119.152.44.0/24
AS132165,151.123.224.0/19
AS132165,151.123.224.0/23
AS132165,163.128.50.0/23
AS132165,163.128.74.0/23
AS132165,182.189.64.0/23
AS132165,182.189.94.0/23
AS132165,182.189.96.0/22
AS132165,27.96.92.0/22
AS132165,39.34.128.0/22
AS132165,39.34.132.0/22
AS132165,39.34.136.0/21
AS132165,39.34.162.0/23
AS132165,39.34.164.0/22
AS132165,39.34.184.0/22
AS132165,39.34.188.0/22
AS132165,43.245.128.0/22
AS132165,59.103.138.0/23
AS132386,103.162.40.0/23
AS132386,103.70.250.0/23
AS132741,103.73.234.0/24
AS132788,119.30.89.0/24
AS132872,103.141.43.0/24
AS132891,103.26.185.0/24
AS133495,103.8.112.0/23
AS133495,103.8.114.0/24
AS133495,103.8.115.0/24
AS133495,110.93.193.0/24
AS133495,162.12.208.0/24
AS133495,162.12.210.0/24
AS133495,162.12.211.0/24
AS133495,185.167.218.0/24
AS133495,204.157.152.0/23
AS133495,206.42.112.0/24
AS133495,206.42.113.0/24
AS133495,206.42.116.0/24
AS133495,206.42.124.0/24
AS133495,206.42.126.0/24
AS133495,206.42.127.0/24
AS133495,45.9.157.0/24
AS133502,119.30.110.0/24
AS133502,119.30.64.0/24
AS133502,119.30.81.0/24
AS133502,119.30.90.0/24
AS133502,119.73.0.0/22
AS133502,119.73.62.0/24
AS133502,119.73.88.0/24
AS133551,103.48.0.0/24
AS133551,103.48.1.0/24
AS133551,160.30.108.0/24
AS133551,165.99.254.0/23
AS133932,103.44.223.0/24
AS133932,103.76.28.0/23
AS133932,103.76.3.0/24
AS133932,116.206.84.0/22
AS133933,103.104.84.0/23
AS133933,103.48.24.0/23
AS133933,14.192.130.0/24
AS133933,14.192.147.0/24
AS133933,14.192.157.0/24
AS134231,165.101.240.0/24
AS134357,103.175.122.0/24
AS134489,103.161.48.0/23
AS134489,111.92.146.0/23
AS134489,111.92.148.0/24
AS134489,111.92.155.0/24
AS134489,111.92.156.0/24
AS134489,116.90.100.0/24
AS134489,116.90.105.0/24
AS134489,122.129.86.0/24
AS134489,122.129.88.0/24
AS134489,149.71.34.0/24
AS134489,156.238.86.0/24
AS134489,192.188.86.0/24
AS134489,203.128.10.0/24
AS134489,203.128.2.0/24
AS134489,203.128.20.0/24
AS134489,203.128.24.0/24
AS134663,103.72.138.0/24
AS134663,103.72.139.0/24
AS134737,103.149.8.0/23
AS135003,103.86.132.0/24
AS135003,103.86.133.0/24
AS135003,103.86.134.0/24
AS135003,103.86.135.0/24
AS135003,203.6.208.0/23
AS135003,203.6.210.0/23
AS135046,103.152.116.0/24
AS135046,203.170.69.0/24
AS135115,165.99.40.0/24
AS135115,165.99.41.0/24
AS135123,103.210.4.0/23
AS135123,103.210.4.0/24
AS135123,103.210.5.0/24
AS135123,103.210.6.0/23
AS135123,103.210.6.0/24
AS135384,103.158.35.0/24
AS135384,103.216.135.0/24
AS135407,103.140.30.0/24
AS135407,103.19.252.0/23
AS135407,103.19.254.0/23
AS135407,103.217.176.0/24
