ASN,Prefix
AS198499,185.37.108.0/24
AS198499,185.37.110.0/23
AS198499,86.36.64.0/19
AS204806,185.239.92.0/22
AS204806,185.239.93.0/24
AS208506,213.178.136.0/22
AS208542,91.228.176.0/24
AS208944,5.180.36.0/23
AS208944,5.180.38.0/23
AS211559,103.14.208.0/22
AS211559,103.225.72.0/24
AS211559,103.225.73.0/24
AS211559,103.225.74.0/24
AS211559,103.23.126.0/23
AS211559,185.247.88.0/22
AS211559,185.25.12.0/22
AS211559,212.70.100.0/23
AS211559,212.70.102.0/24
AS211559,212.70.103.0/24
AS211559,212.70.104.0/24
AS211559,212.70.105.0/24
AS211559,212.70.120.0/23
AS211559,212.70.122.0/24
AS211559,212.70.123.0/24
AS211559,212.70.124.0/24
AS211559,31.11.48.0/21
AS211559,37.186.38.0/24
AS211559,37.186.56.0/23
AS211559,37.186.60.0/22
AS211559,80.76.165.0/24
AS211559,80.76.166.0/23
AS211559,80.76.168.0/23
AS213680,193.168.166.0/24
AS213680,81.85.84.0/23
AS213680,81.85.86.0/23
AS215624,45.87.224.0/24
AS215624,45.87.225.0/24
AS215624,45.87.226.0/24
AS28821,185.104.56.0/23
AS28821,185.104.58.0/23
AS29384,165.124.188.0/22
AS29384,165.124.236.0/22
AS29384,192.195.88.0/21
AS29384,86.36.0.0/15
AS29384,86.36.104.0/24
AS29384,86.36.16.0/22
AS29384,86.36.32.0/20
AS29384,86.36.48.0/23
AS29384,86.36.51.0/24
AS29384,86.36.96.0/21
AS34945,86.36.20.0/22
AS42298,178.23.16.0/21
AS42298,185.154.168.0/23
AS42298,195.219.42.0/24
AS42298,206.82.133.0/24
AS42298,213.130.127.0/24
AS42298,78.100.10.0/24
AS42298,78.100.15.0/24
AS42298,78.100.62.0/24
AS42298,82.148.107.0/24
AS42298,86.62.209.0/24
AS42298,86.62.216.0/24
AS42298,86.62.218.0/24
AS42298,86.62.221.0/24
AS42298,86.62.223.0/24
AS42298,86.62.224.0/22
AS42298,86.62.232.0/22
AS42298,86.62.242.0/24
AS42298,86.62.245.0/24
AS42298,86.62.246.0/24
AS42298,86.62.248.0/24
AS42298,86.62.255.0/24
AS42415,194.6.255.0/24
AS47901,94.125.224.0/21
AS48728,103.17.0.0/22
AS48728,103.199.88.0/22
AS48728,103.199.89.0/24
AS48728,103.199.90.0/24
AS48728,103.225.75.0/24
AS48728,103.23.125.0/24
AS48728,212.70.106.0/23
AS48728,212.70.108.0/23
AS48728,212.70.110.0/23
AS48728,212.70.112.0/22
AS48728,212.70.116.0/23
AS48728,212.70.118.0/23
AS48728,212.70.127.0/24
AS48728,212.70.96.0/24
AS48728,212.70.97.0/24
AS48728,212.70.98.0/24
AS48728,212.70.99.0/24
AS48728,37.186.32.0/22
AS48728,37.186.36.0/23
AS48728,37.186.39.0/24
AS48728,37.186.40.0/23
AS48728,37.186.42.0/23
AS48728,37.186.44.0/22
AS48728,37.186.48.0/24
AS48728,37.186.50.0/23
AS48728,37.186.52.0/23
AS48728,37.186.54.0/23
AS48728,37.186.58.0/23
AS48728,45.67.72.0/24
AS48728,80.76.160.0/24
AS48728,80.76.161.0/24
AS48728,80.76.162.0/24
AS48728,80.76.163.0/24
AS48728,80.76.164.0/24
AS48728,80.76.170.0/23
AS48728,80.76.174.0/24
AS48728,80.76.175.0/24
AS60185,185.2.244.0/23
AS60185,185.2.246.0/23
AS8781,176.202.0.0/15
AS8781,178.152.0.0/15
AS8781,185.96.224.0/22
AS8781,209.58.40.0/23
AS8781,212.77.192.0/19
AS8781,213.130.96.0/19
AS8781,23.15.44.0/22
AS8781,23.195.4.0/22
AS8781,37.208.128.0/17
AS8781,37.210.0.0/15
AS8781,78.100.0.0/15
AS8781,82.148.96.0/19
AS8781,86.62.192.0/18
AS8781,89.211.0.0/16
