ASN,Prefix
AS10474,152.111.0.0/16
AS10474,176.67.176.0/21
AS10474,196.22.160.0/24
AS10474,196.28.180.0/24
AS10474,196.28.26.0/24
AS10474,196.28.84.0/24
AS10474,197.80.0.0/12
AS10474,197.80.204.0/24
AS10474,197.80.206.0/24
AS10474,197.80.241.0/24
AS10474,41.132.0.0/14
AS10474,41.86.109.0/24
AS10540,202.47.14.0/23
AS10540,202.47.8.0/22
AS10540,202.6.14.0/23
AS10540,202.6.8.0/22
AS10540,58.145.176.0/23
AS10540,58.145.180.0/22
AS10798,166.85.16.0/23
AS10798,166.85.18.0/24
AS10798,166.85.5.0/24
AS10798,196.8.100.0/22
AS10798,196.8.104.0/22
AS10798,196.8.108.0/23
AS10798,196.8.11.0/24
AS10798,196.8.110.0/24
AS10798,196.8.112.0/24
AS10798,196.8.114.0/23
AS10798,196.8.119.0/24
AS10798,196.8.12.0/24
AS10798,196.8.123.0/24
AS10798,196.8.124.0/23
AS10798,196.8.126.0/24
AS10798,196.8.128.0/22
AS10798,196.8.132.0/24
AS10798,196.8.136.0/24
AS10798,196.8.141.0/24
AS10798,196.8.142.0/23
AS10798,196.8.145.0/24
AS10798,196.8.147.0/24
AS10798,196.8.152.0/24
AS10798,196.8.154.0/24
AS10798,196.8.161.0/24
AS10798,196.8.168.0/24
AS10798,196.8.169.0/24
AS10798,196.8.178.0/23
AS10798,196.8.202.0/24
AS10798,196.8.203.0/24
AS10798,196.8.204.0/24
AS10798,196.8.206.0/24
AS10798,196.8.207.0/24
AS10798,196.8.208.0/24
AS10798,196.8.210.0/23
AS10798,196.8.212.0/24
AS10798,196.8.213.0/24
AS10798,196.8.214.0/24
AS10798,196.8.215.0/24
AS10798,196.8.216.0/24
AS10798,196.8.217.0/24
AS10798,196.8.218.0/24
AS10798,196.8.219.0/24
AS10798,196.8.221.0/24
AS10798,196.8.222.0/24
AS10798,196.8.226.0/24
AS10798,196.8.227.0/24
AS10798,196.8.229.0/24
AS10798,196.8.231.0/24
AS10798,196.8.233.0/24
AS10798,196.8.237.0/24
AS10798,196.8.238.0/24
AS10798,196.8.245.0/24
AS10798,196.8.26.0/24
AS10798,196.8.37.0/24
AS10798,196.8.38.0/24
AS10798,196.8.6.0/24
AS10798,196.8.85.0/24
AS10798,196.8.86.0/23
AS10798,196.8.88.0/23
AS10798,196.8.90.0/24
AS10798,196.8.94.0/23
AS10798,196.8.97.0/24
AS10798,196.8.99.0/24
AS11157,196.3.151.0/24
