ASN,Prefix
AS13099,213.172.64.0/19
AS13099,213.172.70.0/23
AS13099,213.172.94.0/23
AS13099,37.32.75.0/24
AS15723,109.205.208.0/24
AS15723,109.205.213.0/24
AS15723,109.205.215.0/24
AS15723,185.81.216.0/23
AS15723,185.81.219.0/24
AS15723,188.64.12.0/22
AS15723,188.64.8.0/22
AS15723,46.23.100.0/23
AS15723,46.23.102.0/23
AS15723,46.23.111.0/24
AS15723,5.178.1.0/24
AS15723,5.178.10.0/23
AS15723,5.178.12.0/22
AS15723,5.178.4.0/22
AS15723,5.178.9.0/24
AS15723,62.217.128.0/24
AS15723,62.217.129.0/24
AS15723,62.217.130.0/23
AS15723,62.217.132.0/24
AS15723,62.217.134.0/24
AS15723,62.217.138.0/24
AS15723,62.217.140.0/24
AS15723,62.217.141.0/24
AS15723,62.217.142.0/24
AS15723,62.217.144.0/24
AS15723,62.217.145.0/24
AS15723,62.217.146.0/23
AS15723,62.217.148.0/22
AS15723,62.217.152.0/22
AS15723,62.217.156.0/23
AS15723,62.217.158.0/23
AS15723,88.151.199.0/24
AS15815,217.14.111.0/24
AS15815,217.14.96.0/20
AS196925,109.205.209.0/24
AS196925,109.235.192.0/21
AS196925,109.235.199.0/24
AS196925,131.117.128.0/20
AS196925,134.19.208.0/20
AS196925,149.126.112.0/20
AS196925,149.126.116.0/22
AS196925,185.127.40.0/24
AS196925,192.145.110.0/24
AS196925,46.23.97.0/24
AS196925,46.32.169.0/24
AS196925,46.32.178.0/24
AS196925,5.133.224.0/20
AS196925,5.178.8.0/24
AS196925,85.158.144.0/24
AS196925,88.151.193.0/24
AS196961,109.205.160.0/21
AS196961,85.132.120.0/24
AS197830,149.126.113.0/24
AS197830,176.28.80.0/21
AS197830,185.52.128.0/22
AS197830,5.44.32.0/21
AS198828,46.32.162.0/24
AS198876,91.240.27.0/24
AS199311,134.19.220.0/24
AS199444,188.213.212.0/24
AS199444,194.39.241.0/24
AS199731,185.47.7.0/24
AS199731,85.132.117.0/24
AS199731,85.132.16.0/24
AS199731,94.20.201.0/24
AS199731,94.20.231.0/24
AS199731,94.20.232.0/23
AS199731,94.20.234.0/24
AS199731,94.20.43.0/24
AS199985,185.34.73.0/24
AS199987,85.132.87.0/24
AS200154,185.32.44.0/24
AS200154,185.32.45.0/24
AS200154,185.32.46.0/24
AS200154,185.32.47.0/24
AS200154,185.40.32.0/23
AS200154,37.32.77.0/24
AS200154,37.32.79.0/24
AS200154,46.32.163.0/24
AS200154,46.32.176.0/24
AS200154,95.86.136.0/24
AS200192,94.20.46.0/24
AS200196,31.171.39.0/24
AS200446,193.42.156.0/24
AS200446,31.170.240.0/21
AS200446,31.171.48.0/20
AS200446,31.171.68.0/22
AS200446,31.171.72.0/22
AS200446,31.171.80.0/20
AS200446,62.212.229.0/24
AS200446,85.132.108.0/24
AS200446,85.132.110.0/24
AS200446,94.20.123.0/24
AS200446,94.20.148.0/22
AS200446,94.20.172.0/22
AS200446,94.20.180.0/22
AS200446,94.20.192.0/23
AS200446,94.20.204.0/22
AS200446,94.20.208.0/21
AS200446,94.20.54.0/24
AS200446,95.86.164.0/22
AS200446,95.86.168.0/22
AS200729,185.143.196.0/22
AS200729,185.143.197.0/24
AS200729,185.143.198.0/23
AS200729,185.96.124.0/23
AS200729,185.96.126.0/24
AS200729,185.96.127.0/24
AS200729,188.72.128.0/18
AS200729,188.72.133.0/24
AS200729,5.191.240.0/20
AS200729,5.191.251.0/24
AS200729,5.191.252.0/23
AS200729,85.132.83.0/24
AS200729,94.20.86.0/24
AS201167,185.43.188.0/22
AS201167,62.212.235.0/24
AS201167,85.132.8.0/22
AS201167,85.132.97.0/24
AS201167,94.20.42.0/24
AS201167,94.20.52.0/24
AS201167,94.20.96.0/22
AS201390,154.91.2.0/24
AS202993,185.147.24.0/24
AS202993,45.156.112.0/24
AS203622,185.129.0.0/24
AS203622,185.129.1.0/24
AS203622,185.129.2.0/24
AS203622,185.129.3.0/24
AS203622,185.26.184.0/24
AS203622,185.26.185.0/24
AS203622,185.26.186.0/23
AS203622,37.18.58.0/24
AS203622,37.32.72.0/24
AS203622,46.32.160.0/24
AS203622,46.32.161.0/24
AS203622,46.32.164.0/24
AS203622,46.32.165.0/24
AS203622,46.32.166.0/24
AS203622,46.32.167.0/24
AS203622,46.32.170.0/24
AS203622,46.32.171.0/24
AS203622,46.32.189.0/24
AS203622,46.32.190.0/24
AS203622,46.32.191.0/24
AS203680,109.237.124.0/22
AS203680,130.0.12.0/22
AS203680,185.47.4.0/23
AS203680,185.47.6.0/24
AS203680,185.77.248.0/24
AS203680,193.143.231.0/24
AS203680,194.39.184.0/24
AS203680,194.39.243.0/24
AS203971,185.118.48.0/22
AS203971,185.222.92.0/22
AS203971,185.93.91.0/24
AS203971,217.179.126.0/24
AS204016,217.18.88.0/24
AS204840,167.150.216.0/24
AS204986,185.233.180.0/22
AS204986,46.32.179.0/24
AS205367,185.220.180.0/22
AS205367,81.30.97.0/24
AS205547,185.40.35.0/24
AS205547,46.32.168.0/24
AS205547,46.32.174.0/24
AS205547,5.199.19.0/24
AS205547,91.209.225.0/24
AS206977,178.76.0.0/22
AS206977,178.76.4.0/24
AS206977,178.76.5.0/24
AS206977,178.76.6.0/23
AS206977,185.93.90.0/24
AS206977,31.170.232.0/24
AS206977,31.170.233.0/24
AS206977,31.170.234.0/23
AS206977,31.170.236.0/22
AS206977,85.132.121.0/24
AS206977,85.132.122.0/24
AS206977,85.132.24.0/24
AS206977,85.132.26.0/23
AS206977,85.132.58.0/24
AS206977,85.132.65.0/24
AS206977,85.132.66.0/24
AS206977,85.132.70.0/24
AS206977,91.103.137.0/24
AS206977,94.20.157.0/24
AS206977,94.20.63.0/24
AS207251,109.235.194.0/23
AS207251,109.235.196.0/24
AS207251,185.161.224.0/22
AS207251,31.171.104.0/22
AS207251,85.132.32.0/22
AS207251,85.132.42.0/24
AS207251,85.132.45.0/24
AS207619,31.171.120.0/24
AS207619,94.20.56.0/22
AS207619,94.20.88.0/24
AS207922,185.83.126.0/23
AS207922,195.26.8.0/24
AS207922,195.28.6.0/23
AS208279,109.175.133.0/24
AS208410,212.102.123.0/24
AS208410,37.32.78.0/24
AS208439,45.136.164.0/22
AS209089,94.20.83.0/24
AS209089,94.20.92.0/24
AS209360,130.193.74.0/24
AS209360,154.61.82.0/24
AS209360,193.105.123.0/24
AS209360,38.27.37.0/24
AS209360,46.32.177.0/24
AS209374,5.252.48.0/22
AS209489,85.132.113.0/24
AS209489,85.132.114.0/24
AS209489,85.132.118.0/24
AS209489,85.132.13.0/24
AS209489,85.132.29.0/24
AS209489,85.132.30.0/23
AS209489,85.132.36.0/23
AS209489,85.132.4.0/23
AS209489,85.132.63.0/24
AS209489,85.132.64.0/24
AS209489,94.20.189.0/24
AS209489,94.20.35.0/24
AS209489,94.20.36.0/22
AS209489,94.20.48.0/24
AS209489,94.20.61.0/24
AS209489,94.20.82.0/24
AS209700,91.132.192.0/22
AS210260,46.32.188.0/24
AS210293,160.202.24.0/22
AS210293,160.202.26.0/24
AS210293,85.132.41.0/24
AS210665,31.222.225.0/24
AS211143,109.104.102.0/24
AS211780,5.231.115.0/24
AS211780,5.231.26.0/24
AS211790,91.201.200.0/24
AS211937,185.230.199.0/24
