ASN,Prefix
AS12952,185.118.128.0/22
AS197305,46.243.16.0/24
AS197305,46.243.17.0/24
AS197305,46.243.18.0/24
AS197305,46.243.21.0/24
AS197305,46.243.22.0/24
AS197305,46.243.23.0/24
AS197390,176.28.77.0/24
AS197390,176.28.78.0/24
AS197882,130.255.88.0/22
AS197882,130.255.92.0/22
AS197882,159.255.160.0/24
AS197882,159.255.161.0/24
AS197882,159.255.162.0/24
AS197882,159.255.163.0/24
AS197882,159.255.164.0/22
AS197882,185.101.236.0/22
AS197882,185.14.248.0/23
AS197882,185.14.250.0/24
AS197882,185.14.251.0/24
AS197882,185.184.198.0/23
AS197882,185.212.33.0/24
AS197882,185.254.84.0/24
AS197882,185.75.96.0/24
AS197882,193.47.189.0/24
AS197882,31.25.136.0/22
AS197882,31.25.140.0/24
AS197882,31.25.141.0/24
AS197882,31.25.142.0/23
AS197893,176.28.72.0/23
AS197893,176.28.74.0/24
AS197893,176.28.75.0/24
AS197893,176.28.76.0/24
AS197893,185.58.12.0/24
AS197893,185.58.13.0/24
AS197893,185.58.14.0/24
AS197893,185.58.15.0/24
AS198169,78.109.233.0/24
AS198589,185.69.6.0/24
AS198589,185.69.7.0/24
AS198589,31.7.80.0/24
AS198589,5.62.130.0/23
AS198589,5.62.132.0/24
AS198589,5.62.133.0/24
AS198589,5.62.135.0/24
AS198589,5.62.138.0/24
AS198589,5.62.139.0/24
AS198589,5.62.140.0/24
AS198589,5.62.141.0/24
AS198589,5.62.142.0/24
AS198589,5.62.143.0/24
AS198589,5.62.144.0/23
AS198589,5.62.145.0/24
AS198589,5.62.146.0/24
AS198589,5.62.147.0/24
AS198589,5.62.148.0/24
AS198589,5.62.149.0/24
AS198589,5.62.150.0/24
AS198589,5.62.151.0/24
AS198735,5.1.104.0/23
AS198735,5.1.106.0/24
AS198735,5.1.107.0/24
AS198735,5.1.108.0/24
AS198735,5.1.109.0/24
AS198735,5.1.110.0/24
AS198735,5.1.111.0/24
AS199826,185.33.45.0/24
AS199826,185.33.46.0/24
AS199826,185.33.47.0/24
AS200178,188.72.20.0/24
AS200200,185.124.149.0/24
AS200200,185.124.150.0/24
AS200200,188.72.45.0/24
AS200200,91.220.41.0/24
AS200485,185.104.156.0/24
AS200485,185.104.157.0/24
AS200485,185.104.158.0/23
AS200654,185.100.20.0/24
AS200865,185.91.16.0/22
AS200865,37.17.128.0/19
AS201031,185.88.24.0/24
AS201031,185.88.26.0/24
AS201089,185.124.148.0/24
AS201089,185.124.151.0/24
AS201089,188.72.40.0/24
AS201089,193.58.117.0/24
AS201145,185.75.97.0/24
AS201145,185.75.98.0/24
AS201320,191.101.86.0/24
AS201320,194.48.93.0/24
AS201668,185.65.253.0/24
AS201668,185.65.254.0/24
AS201749,154.38.20.0/24
AS201749,176.125.255.0/24
AS201749,194.31.193.0/24
AS201749,194.31.199.0/24
AS201749,194.31.220.0/24
AS201749,194.31.93.0/24
AS201749,194.49.87.0/24
AS201749,194.55.226.0/24
AS201749,195.85.223.0/24
AS201749,195.85.226.0/24
AS201749,37.205.112.0/24
AS201749,37.205.113.0/24
AS201749,37.205.114.0/24
AS201749,37.205.115.0/24
AS201749,45.139.105.0/24
AS201749,5.175.158.0/23
AS201749,80.76.50.0/24
AS201749,82.129.16.0/23
AS201749,82.129.21.0/24
AS201749,83.171.204.0/24
AS201749,83.171.205.0/24
AS201749,87.120.87.0/24
AS201749,93.191.112.0/24
AS201749,93.191.115.0/24
AS201749,94.249.248.0/24
AS201749,94.249.249.0/24
AS201749,94.249.250.0/23
AS202055,185.54.156.0/24
AS202055,185.54.159.0/24
AS202316,195.69.230.0/24
AS202316,81.90.16.0/24
AS202354,194.127.109.0/24
AS202651,151.246.136.0/21
AS202651,176.105.236.0/24
AS202651,193.219.112.0/24
AS202651,195.7.8.0/24
AS202651,37.205.116.0/22
AS202651,45.143.29.0/24
AS202651,45.143.30.0/24
AS202651,91.192.6.0/24
AS202651,92.119.63.0/24
AS202672,185.157.182.0/24
AS202672,185.157.183.0/24
AS202699,185.117.10.0/23
AS202699,185.117.8.0/24
AS202777,185.235.141.0/24
AS203214,109.224.0.0/18
AS203214,109.224.0.0/24
AS203214,109.224.1.0/24
AS203214,109.224.12.0/24
AS203214,109.224.13.0/24
AS203214,109.224.14.0/24
AS203214,109.224.15.0/24
AS203214,109.224.16.0/21
AS203214,109.224.2.0/24
AS203214,109.224.24.0/22
AS203214,109.224.28.0/24
AS203214,109.224.29.0/24
AS203214,109.224.3.0/24
AS203214,109.224.30.0/23
AS203214,109.224.32.0/21
AS203214,109.224.4.0/22
AS203214,109.224.41.0/24
AS203214,109.224.43.0/24
AS203214,109.224.44.0/22
AS203214,109.224.48.0/22
AS203214,109.224.52.0/22
AS203214,109.224.56.0/21
AS203214,109.224.63.0/24
AS203214,109.224.8.0/22
AS203214,149.255.192.0/18
AS203214,149.255.192.0/24
AS203214,149.255.194.0/24
AS203214,149.255.195.0/24
AS203214,149.255.196.0/24
AS203214,149.255.198.0/24
AS203214,149.255.200.0/23
AS203214,149.255.203.0/24
AS203214,149.255.204.0/23
AS203214,149.255.206.0/24
AS203214,149.255.208.0/24
AS203214,149.255.210.0/23
AS203214,149.255.212.0/24
AS203214,149.255.215.0/24
AS203214,149.255.216.0/24
AS203214,149.255.218.0/23
AS203214,149.255.220.0/24
AS203214,149.255.231.0/24
AS203214,149.255.234.0/23
AS203214,149.255.236.0/24
AS203214,149.255.238.0/24
AS203214,149.255.240.0/23
AS203214,149.255.242.0/24
AS203214,149.255.243.0/24
AS203214,149.255.244.0/24
AS203214,149.255.245.0/24
AS203214,149.255.246.0/24
AS203214,149.255.248.0/22
AS203214,149.255.253.0/24
AS203214,149.255.254.0/24
AS203214,149.255.255.0/24
AS203214,185.141.11.0/24
AS203214,37.236.0.0/14
AS203214,37.236.0.0/22
AS203214,37.236.10.0/23
AS203214,37.236.102.0/24
AS203214,37.236.103.0/24
AS203214,37.236.104.0/23
AS203214,37.236.106.0/24
AS203214,37.236.110.0/24
AS203214,37.236.111.0/24
AS203214,37.236.12.0/24
AS203214,37.236.120.0/24
AS203214,37.236.121.0/24
AS203214,37.236.122.0/23
AS203214,37.236.124.0/24
AS203214,37.236.125.0/24
AS203214,37.236.126.0/24
AS203214,37.236.128.0/23
AS203214,37.236.13.0/24
AS203214,37.236.131.0/24
AS203214,37.236.132.0/24
AS203214,37.236.138.0/24
AS203214,37.236.144.0/22
AS203214,37.236.148.0/23
AS203214,37.236.151.0/24
AS203214,37.236.152.0/24
AS203214,37.236.155.0/24
AS203214,37.236.156.0/23
AS203214,37.236.16.0/24
AS203214,37.236.160.0/24
AS203214,37.236.161.0/24
AS203214,37.236.162.0/24
AS203214,37.236.163.0/24
AS203214,37.236.165.0/24
AS203214,37.236.167.0/24
AS203214,37.236.17.0/24
AS203214,37.236.171.0/24
AS203214,37.236.173.0/24
AS203214,37.236.178.0/23
AS203214,37.236.18.0/24
AS203214,37.236.180.0/24
AS203214,37.236.181.0/24
AS203214,37.236.183.0/24
AS203214,37.236.184.0/23
AS203214,37.236.187.0/24
AS203214,37.236.189.0/24
AS203214,37.236.191.0/24
AS203214,37.236.193.0/24
AS203214,37.236.194.0/24
AS203214,37.236.195.0/24
AS203214,37.236.196.0/24
AS203214,37.236.199.0/24
AS203214,37.236.200.0/23
AS203214,37.236.202.0/24
AS203214,37.236.203.0/24
AS203214,37.236.204.0/24
AS203214,37.236.206.0/24
AS203214,37.236.21.0/24
AS203214,37.236.210.0/23
AS203214,37.236.212.0/23
AS203214,37.236.215.0/24
AS203214,37.236.22.0/24
AS203214,37.236.223.0/24
AS203214,37.236.225.0/24
AS203214,37.236.226.0/24
AS203214,37.236.228.0/24
AS203214,37.236.23.0/24
AS203214,37.236.230.0/23
