ASN,Prefix
AS197921,141.0.0.0/21
AS197921,141.0.7.0/24
AS200666,185.10.216.0/22
AS201982,185.57.120.0/24
AS201982,185.57.121.0/24
AS201982,185.57.122.0/24
AS203357,185.135.200.0/24
AS203357,185.135.201.0/24
AS203931,217.29.240.0/23
AS204327,185.253.112.0/24
AS204327,185.253.113.0/24
AS204719,91.132.100.0/24
AS206060,185.197.176.0/22
AS206060,185.197.176.0/23
AS206553,185.182.136.0/23
AS206553,185.182.138.0/24
AS206553,185.182.139.0/24
AS206608,176.118.39.0/24
AS206608,185.180.80.0/22
AS206608,185.180.80.0/24
AS206608,185.180.81.0/24
AS206608,185.180.83.0/24
AS207332,91.212.0.0/24
AS208148,89.38.152.0/23
AS208212,151.242.83.0/24
AS208336,193.17.53.0/24
AS208336,193.203.110.0/24
AS208336,193.203.24.0/24
AS209029,2.59.53.0/24
AS209029,2.59.54.0/24
AS209560,141.98.64.0/23
AS209560,141.98.66.0/23
AS210084,91.223.202.0/24
AS210432,146.19.239.0/24
AS210844,185.241.62.0/24
AS21088,217.144.0.0/20
AS21088,84.18.64.0/19
AS211260,37.252.222.0/24
AS211826,102.177.177.0/24
AS211826,102.177.184.0/24
AS211826,102.212.5.0/24
AS211826,109.105.198.0/24
AS211826,149.18.73.0/24
AS211826,149.57.24.0/24
AS211826,149.57.37.0/24
AS211826,151.243.83.0/24
AS211826,154.194.55.0/24
AS211826,154.197.110.0/24
AS211826,154.197.91.0/24
AS211826,154.56.131.0/24
AS211826,154.58.202.0/24
AS211826,179.61.177.0/24
AS211826,185.209.39.0/24
AS211826,185.209.72.0/24
AS211826,185.234.111.0/24
AS211826,193.34.81.0/24
AS211826,193.38.244.0/24
AS211826,194.32.123.0/24
AS211826,195.182.199.0/24
AS211826,2.27.126.0/24
AS211826,31.57.160.0/24
AS211826,31.57.173.0/24
AS211826,37.202.221.0/24
AS211826,45.135.185.0/24
AS211826,45.153.4.0/24
AS211826,45.84.58.0/24
AS211826,46.202.33.0/24
AS211826,5.253.46.0/24
AS211826,64.204.213.0/24
AS211826,77.74.229.0/24
AS211826,80.83.91.0/24
AS211826,81.168.67.0/24
AS211826,82.163.54.0/23
AS211826,82.47.105.0/24
AS211826,82.47.42.0/24
AS211826,85.203.33.0/24
AS211826,85.237.89.0/24
AS211826,89.185.2.0/24
AS211826,89.34.226.0/24
AS211842,185.43.146.0/24
AS211842,89.20.49.0/24
AS212042,154.83.136.0/24
AS212042,217.74.17.0/24
AS212042,31.57.130.0/24
AS212042,31.58.140.0/24
AS212042,45.150.95.0/24
AS212042,45.87.29.0/24
AS212507,185.163.205.0/24
AS214244,185.68.54.0/24
AS215270,93.115.2.0/24
AS28730,185.176.44.0/22
AS28730,185.176.44.0/23
AS28730,185.176.46.0/24
AS28730,185.176.47.0/24
AS28730,93.95.200.0/21
AS28730,93.95.204.0/23
