ASN,Prefix
AS15549,195.12.105.0/24
AS15549,195.12.106.0/24
AS15549,195.12.108.0/23
AS15549,195.12.112.0/24
AS15549,195.12.113.0/24
AS15549,195.12.114.0/23
AS15549,195.12.122.0/24
AS15549,195.12.123.0/24
AS15549,195.12.125.0/24
AS15549,195.12.127.0/24
AS15736,212.116.224.0/24
AS15736,212.116.247.0/24
AS15736,82.115.56.0/22
AS197401,45.93.83.0/24
AS197487,176.113.113.0/24
AS197556,109.206.4.0/23
AS197556,146.0.60.0/22
AS197556,162.255.196.0/22
AS197556,173.244.150.0/23
AS197556,176.222.130.0/23
AS197556,176.222.152.0/22
AS197556,176.223.100.0/22
AS197556,176.223.184.0/22
AS197556,176.223.76.0/22
AS197556,185.116.140.0/22
AS197556,185.8.232.0/22
AS197556,188.246.240.0/20
AS197556,188.246.240.0/24
AS197556,188.246.241.0/24
AS197556,188.246.242.0/24
AS197556,188.246.246.0/24
AS197556,188.247.198.0/23
AS197556,198.45.116.0/22
AS197556,207.174.216.0/22
AS197556,213.109.208.0/20
AS197556,31.132.80.0/20
AS197556,31.132.88.0/24
AS197556,31.132.89.0/24
AS197556,31.132.90.0/24
AS197556,5.34.16.0/20
AS197556,5.34.16.0/24
AS197556,5.34.17.0/24
AS197556,5.34.18.0/24
AS197556,89.33.112.0/22
AS197556,89.35.252.0/22
AS197556,89.36.164.0/22
AS197556,89.36.200.0/22
AS197556,89.37.220.0/22
AS197556,89.37.24.0/22
AS197556,89.40.192.0/22
AS197556,89.42.204.0/23
AS197556,89.42.204.0/24
AS197556,89.42.205.0/24
AS197556,89.42.60.0/22
AS197556,89.43.164.0/22
AS197556,89.43.20.0/22
AS197556,89.44.12.0/22
AS197556,89.44.12.0/24
AS197556,89.44.14.0/24
AS197556,91.215.96.0/22
AS197556,91.240.8.0/22
AS197556,92.49.196.0/23
AS197556,92.49.218.0/23
AS197556,92.49.230.0/23
AS197556,95.82.64.0/18
AS197686,31.31.216.0/21
AS197968,109.175.175.0/24
AS197968,212.108.86.0/24
AS197968,45.135.215.0/24
AS197968,82.115.54.0/24
AS197968,91.147.109.0/24
AS198084,194.32.212.0/24
AS198138,109.122.22.0/24
AS198138,109.122.9.0/24
AS198138,91.196.160.0/24
AS198138,91.210.144.0/24
AS198483,176.96.227.0/24
AS198803,92.253.208.0/24
AS198803,92.253.209.0/24
AS198803,92.38.28.0/23
AS198803,92.38.30.0/24
AS198803,92.38.31.0/24
AS199037,154.82.24.0/24
AS199037,154.88.53.0/24
AS200067,149.154.188.0/23
AS200067,149.154.188.0/24
AS200067,185.190.248.0/24
AS200067,194.165.63.0/24
AS200067,95.131.200.0/24
AS200218,93.170.212.0/24
AS200218,93.170.213.0/24
AS200218,93.170.214.0/24
AS200218,93.170.215.0/24
AS200218,93.171.0.0/24
AS200218,93.171.1.0/24
AS200349,91.225.26.0/24
AS200349,91.237.162.0/24
AS200431,193.107.83.0/24
AS200532,185.249.192.0/23
AS200590,178.238.78.0/23
AS200590,178.95.0.0/22
AS200590,178.95.0.0/24
AS200590,178.95.1.0/24
AS200590,178.95.2.0/24
AS200590,178.95.3.0/24
AS200590,185.129.93.0/24
AS200590,185.129.94.0/24
AS200590,185.129.95.0/24
AS200590,185.182.216.0/23
AS200590,185.222.162.0/24
AS200590,185.239.145.0/24
AS200590,185.239.146.0/24
AS200590,185.97.112.0/24
AS200590,185.97.113.0/24
AS200590,185.97.114.0/23
AS200590,188.94.152.0/24
AS200590,188.94.153.0/24
AS200590,193.106.98.0/24
AS200590,193.162.28.0/24
AS200590,194.76.124.0/24
AS200590,194.76.125.0/24
AS200590,194.76.126.0/23
AS200590,195.7.12.0/24
AS200590,195.7.13.0/24
AS200590,212.134.240.0/24
AS200590,212.134.241.0/24
AS200590,212.134.242.0/24
AS200590,212.134.243.0/24
AS200590,212.134.60.0/24
AS200590,212.134.61.0/24
AS200590,212.134.62.0/23
AS200590,37.32.73.0/24
AS200590,45.130.7.0/24
AS200590,45.141.198.0/23
AS200590,45.156.114.0/24
AS200590,45.156.115.0/24
AS200590,45.66.52.0/24
AS200590,5.180.20.0/23
AS200590,5.180.27.0/24
AS200590,5.180.40.0/24
AS200590,5.180.42.0/23
AS200590,5.180.46.0/24
AS200590,5.188.152.0/24
AS200590,5.188.153.0/24
AS200590,5.188.154.0/23
AS200590,5.188.64.0/22
AS200590,77.240.33.0/24
AS200590,77.240.35.0/24
AS200590,77.240.44.0/24
AS200590,77.240.45.0/24
AS200590,77.240.46.0/23
AS200590,78.142.250.0/23
AS200590,79.143.20.0/24
AS200590,79.143.21.0/24
AS200590,79.143.22.0/23
AS200590,82.115.60.0/24
AS200590,82.115.61.0/24
AS200590,82.115.62.0/24
AS200590,84.252.156.0/23
AS200590,84.252.158.0/24
AS200590,84.252.159.0/24
AS200590,87.121.124.0/24
AS200590,87.121.125.0/24
AS200590,87.255.194.0/23
AS200590,87.255.196.0/24
AS200590,87.255.197.0/24
AS200590,87.255.198.0/23
AS200590,87.255.200.0/24
AS200590,87.255.201.0/24
AS200590,89.20.48.0/24
AS200590,89.223.0.0/24
AS200590,89.223.2.0/24
AS200590,91.147.100.0/22
AS200590,91.147.88.0/24
AS200590,91.147.89.0/24
AS200590,91.147.90.0/23
AS200590,91.147.98.0/24
AS200590,91.198.101.0/24
AS200590,91.231.66.0/24
AS200590,91.231.67.0/24
AS200590,93.190.240.0/24
AS200590,93.190.241.0/24
AS200590,93.190.242.0/23
AS200590,94.126.201.0/24
AS200590,94.156.105.0/24
AS200688,185.99.124.0/22
AS200688,185.99.124.0/24
AS200688,185.99.125.0/24
AS200688,185.99.126.0/24
AS200688,185.99.127.0/24
AS200730,87.251.64.0/24
AS200962,185.90.72.0/22
AS201153,93.177.105.0/24
AS201179,109.248.131.0/24
AS201179,176.110.124.0/23
AS201179,176.110.126.0/24
AS201179,185.18.220.0/24
AS201179,188.130.130.0/24
AS201179,188.130.173.0/24
AS201179,188.130.223.0/24
AS201179,46.8.149.0/24
AS201179,46.8.151.0/24
AS201817,176.123.176.0/22
AS201817,185.47.167.0/24
AS201817,194.31.156.0/22
AS201817,90.156.248.0/22
AS201817,93.183.84.0/22
AS201993,213.130.74.0/24
AS202293,195.245.96.0/22
AS202293,195.245.96.0/23
AS202293,195.245.98.0/24
AS202293,195.245.99.0/24
AS202293,88.151.118.0/24
AS202293,91.229.148.0/22
AS202293,91.229.150.0/24
AS202461,91.147.80.0/22
AS202527,193.111.47.0/24
AS202831,144.31.222.0/24
AS202831,150.241.85.0/24
