ASN,Prefix
AS16060,193.33.224.0/24
AS16060,193.33.225.0/24
AS196659,91.102.232.0/24
AS196659,91.102.238.0/24
AS196921,94.187.160.0/19
AS196921,94.187.172.0/24
AS196921,94.187.175.0/24
AS196921,94.187.176.0/20
AS196921,94.187.176.0/24
AS196921,94.187.178.0/24
AS196921,94.187.179.0/24
AS196921,94.187.180.0/22
AS196921,94.187.184.0/23
AS196921,94.187.187.0/24
AS196921,94.187.190.0/24
AS197456,193.169.130.0/23
AS198019,91.230.213.0/24
AS198392,31.217.224.0/23
AS198392,31.217.226.0/24
AS198392,31.217.227.0/24
AS198392,31.217.228.0/23
AS198392,31.217.230.0/24
AS198392,31.217.231.0/24
AS199526,194.176.108.0/24
AS199526,91.246.14.0/24
AS199616,176.110.119.0/24
AS199616,185.132.204.0/23
AS199616,185.132.206.0/23
AS199729,185.48.188.0/24
AS199729,185.48.189.0/24
AS199869,185.41.216.0/22
AS199869,185.41.216.0/24
AS199869,185.41.217.0/24
AS199869,185.41.218.0/24
AS199869,185.41.219.0/24
AS201378,80.184.196.0/22
AS201756,185.64.200.0/22
AS201756,185.64.200.0/23
AS202414,194.54.136.0/23
AS202414,194.54.138.0/23
AS203147,185.150.216.0/22
AS204367,193.42.223.0/24
AS204638,185.75.56.0/22
AS204638,185.75.57.0/24
AS204638,185.75.59.0/24
AS205554,83.68.160.0/23
AS205554,83.68.162.0/24
AS205554,83.68.163.0/24
AS205554,83.68.164.0/23
AS205554,83.68.166.0/24
AS205554,83.68.168.0/24
AS205780,185.206.96.0/22
AS206879,185.173.40.0/22
AS206879,185.173.40.0/23
AS208233,45.130.36.0/24
AS208233,45.130.38.0/24
AS208710,45.66.0.0/22
AS208899,45.15.228.0/24
AS208899,45.15.229.0/24
AS208899,45.15.230.0/24
AS208899,45.15.231.0/24
AS209068,5.182.132.0/22
AS210245,193.32.228.0/24
AS210245,193.32.229.0/24
AS210245,193.32.230.0/24
AS210270,176.98.36.0/22
AS210270,176.98.36.0/23
AS210270,176.98.36.0/24
AS210270,176.98.38.0/24
AS21050,161.252.112.0/24
AS21050,161.252.16.0/24
AS21050,161.252.32.0/23
AS21050,161.252.49.0/24
AS21050,161.252.75.0/24
AS21050,161.252.80.0/24
AS21050,178.61.0.0/16
AS21050,178.61.0.0/20
AS21050,178.61.105.0/24
AS21050,178.61.106.0/24
AS21050,178.61.107.0/24
AS21050,178.61.123.0/24
AS21050,178.61.124.0/22
AS21050,178.61.124.0/24
AS21050,178.61.125.0/24
AS21050,178.61.128.0/19
AS21050,178.61.128.0/24
AS21050,178.61.135.0/24
AS21050,178.61.136.0/21
AS21050,178.61.142.0/24
AS21050,178.61.146.0/24
AS21050,178.61.150.0/24
AS21050,178.61.152.0/21
AS21050,178.61.152.0/24
AS21050,178.61.157.0/24
AS21050,178.61.158.0/24
AS21050,178.61.160.0/23
AS21050,178.61.162.0/23
AS21050,178.61.165.0/24
AS21050,178.61.166.0/23
AS21050,178.61.168.0/24
AS21050,178.61.169.0/24
AS21050,178.61.170.0/24
AS21050,178.61.171.0/24
AS21050,178.61.172.0/23
AS21050,178.61.174.0/24
AS21050,178.61.175.0/24
AS21050,178.61.176.0/24
AS21050,178.61.178.0/24
AS21050,178.61.200.0/24
AS21050,178.61.80.0/24
AS21050,178.61.86.0/24
AS21050,185.95.5.0/24
AS21050,62.215.0.0/16
AS21050,62.215.100.0/24
AS21050,62.215.101.0/24
AS21050,62.215.102.0/24
AS21050,62.215.105.0/24
AS21050,62.215.107.0/24
AS21050,62.215.108.0/24
AS21050,62.215.110.0/24
AS21050,62.215.112.0/20
AS21050,62.215.117.0/24
AS21050,62.215.12.0/24
AS21050,62.215.120.0/21
AS21050,62.215.128.0/20
AS21050,62.215.128.0/24
AS21050,62.215.130.0/24
AS21050,62.215.131.0/24
AS21050,62.215.132.0/24
AS21050,62.215.139.0/24
AS21050,62.215.140.0/24
