ASN,Prefix
AS10420,170.70.1.0/24
AS10420,170.70.100.0/24
AS10420,170.70.103.0/24
AS10420,170.70.105.0/24
AS10420,170.70.106.0/24
AS10420,170.70.108.0/22
AS10420,170.70.11.0/24
AS10420,170.70.115.0/24
AS10420,170.70.116.0/24
AS10420,170.70.121.0/24
AS10420,170.70.125.0/24
AS10420,170.70.127.0/24
AS10420,170.70.13.0/24
AS10420,170.70.130.0/24
AS10420,170.70.132.0/24
AS10420,170.70.136.0/24
AS10420,170.70.141.0/24
AS10420,170.70.142.0/24
AS10420,170.70.146.0/24
AS10420,170.70.15.0/24
AS10420,170.70.151.0/24
AS10420,170.70.156.0/24
AS10420,170.70.16.0/22
AS10420,170.70.166.0/24
AS10420,170.70.168.0/24
AS10420,170.70.172.0/24
AS10420,170.70.187.0/24
AS10420,170.70.192.0/24
AS10420,170.70.196.0/22
AS10420,170.70.20.0/23
AS10420,170.70.225.0/24
AS10420,170.70.226.0/24
AS10420,170.70.227.0/24
AS10420,170.70.24.0/21
AS10420,170.70.3.0/24
AS10420,170.70.32.0/24
AS10420,170.70.35.0/24
AS10420,170.70.36.0/22
AS10420,170.70.4.0/22
AS10420,170.70.40.0/22
AS10420,170.70.44.0/24
AS10420,170.70.46.0/23
AS10420,170.70.48.0/23
AS10420,170.70.51.0/24
AS10420,170.70.52.0/23
AS10420,170.70.54.0/24
AS10420,170.70.58.0/23
AS10420,170.70.60.0/24
AS10420,170.70.65.0/24
AS10420,170.70.66.0/24
AS10420,170.70.68.0/24
AS10420,170.70.71.0/24
AS10420,170.70.73.0/24
AS10420,170.70.74.0/24
AS10420,170.70.77.0/24
AS10420,170.70.78.0/23
AS10420,170.70.82.0/23
AS10420,170.70.84.0/24
AS10420,170.70.87.0/24
AS10420,170.70.88.0/24
AS10420,170.70.9.0/24
AS10420,170.70.92.0/22
AS10420,170.70.96.0/22
AS10436,132.254.0.0/20
AS10436,132.254.136.0/21
AS10436,132.254.16.0/20
AS10436,132.254.32.0/20
AS10436,132.254.72.0/21
AS10436,132.254.96.0/21
AS10436,148.241.0.0/18
AS10436,148.241.128.0/18
AS10436,148.241.192.0/20
AS10436,148.241.224.0/20
AS10436,148.241.64.0/19
AS10436,148.241.96.0/20
AS10479,200.34.104.0/23
AS10479,200.34.106.0/24
AS10479,200.34.107.0/24
AS10479,200.34.108.0/23
AS10479,200.34.110.0/23
AS10479,200.34.152.0/24
AS10479,200.34.153.0/24
AS10479,200.34.154.0/24
AS10479,200.34.155.0/24
AS10479,200.34.176.0/22
AS10479,200.34.180.0/24
AS10479,200.34.181.0/24
AS10479,200.34.182.0/24
AS10479,200.34.183.0/24
AS10479,200.34.184.0/24
AS10479,200.34.185.0/24
AS10479,200.34.186.0/23
AS10479,200.34.188.0/24
AS10479,200.34.189.0/24
AS10479,200.34.190.0/23
AS10479,200.34.96.0/21
AS10560,132.254.104.0/21
AS10560,132.254.112.0/21
AS10560,132.254.120.0/21
AS10560,132.254.128.0/21
AS10560,132.254.56.0/21
AS10560,132.254.80.0/20
