ASN,Prefix
AS201129,84.75.24.0/24
AS201129,87.229.97.0/24
AS30983,105.73.96.0/22
AS30983,196.12.203.0/24
AS30983,196.200.128.0/18
AS30983,196.200.160.0/24
AS327917,196.13.108.0/24
AS327989,196.32.216.0/21
AS327989,196.32.220.0/22
AS328055,169.255.176.0/22
AS328066,196.61.232.0/24
AS328066,196.61.233.0/24
AS328066,196.61.234.0/24
AS328066,196.61.235.0/24
AS328066,196.61.236.0/24
AS328066,196.61.237.0/24
AS328066,196.61.238.0/23
AS328268,192.12.117.0/24
AS328272,102.208.146.0/24
AS328272,102.208.147.0/24
AS328272,196.11.103.0/24
AS328280,102.165.189.0/24
AS328493,102.67.148.0/22
AS328541,102.64.4.0/23
AS328577,102.68.8.0/22
AS328709,102.222.176.0/24
AS328709,102.222.177.0/24
AS328709,102.222.178.0/23
AS328867,102.220.124.0/24
AS328867,103.176.90.0/24
AS328867,149.18.99.0/24
AS328867,149.57.44.0/22
AS328867,149.57.9.0/24
AS328867,154.6.144.0/24
AS328867,154.6.168.0/22
AS328867,185.243.7.0/24
AS328867,185.245.0.0/24
AS328867,194.62.214.0/23
AS328867,204.167.189.0/24
AS328867,205.227.174.0/24
AS328867,207.120.120.0/24
AS328867,208.50.200.0/24
AS328867,216.22.79.0/24
AS328867,45.158.254.0/24
AS328867,82.115.1.0/24
AS328867,82.115.12.0/24
AS328867,85.92.112.0/24
AS328960,102.218.131.0/24
AS329280,102.212.205.0/24
AS329442,196.49.104.0/24
AS329461,102.208.100.0/24
AS329461,102.208.101.0/24
AS329461,102.208.102.0/23
AS329605,102.205.4.0/24
AS329605,102.205.5.0/24
AS329605,102.205.6.0/24
AS329605,102.205.7.0/24
AS329612,102.204.212.0/23
AS329628,102.204.214.0/24
AS36884,105.64.0.0/12
AS36884,105.66.0.0/17
AS36884,105.66.0.0/21
AS36884,105.66.128.0/24
AS36884,105.66.131.0/24
AS36884,105.66.132.0/22
AS36884,105.67.0.0/17
AS36884,105.67.0.0/24
AS36884,105.67.1.0/24
AS36884,105.67.128.0/22
AS36884,105.67.128.0/24
AS36884,105.67.129.0/24
AS36884,105.67.131.0/24
AS36884,105.67.2.0/24
AS36884,105.68.0.0/16
AS36884,105.68.0.0/18
AS36884,105.68.128.0/17
AS36884,105.69.0.0/16
AS36884,105.69.192.0/20
AS36884,105.70.0.0/15
AS36884,105.70.0.0/18
AS36884,105.71.132.0/23
AS36884,105.71.134.0/23
AS36884,105.71.144.0/23
AS36884,105.71.146.0/23
AS36884,105.71.148.0/22
AS36884,105.71.16.0/21
AS36884,105.71.4.0/22
AS36884,105.72.0.0/15
AS36884,105.72.0.0/19
AS36884,105.72.144.0/21
AS36884,105.72.192.0/22
AS36884,105.72.196.0/22
AS36884,105.72.208.0/20
AS36884,105.72.240.0/20
AS36884,105.73.37.0/24
AS36884,105.74.192.0/23
AS36884,105.74.200.0/22
AS36884,105.75.0.0/18
AS36884,105.75.32.0/19
AS36884,105.75.64.0/18
AS36884,105.76.0.0/16
AS36884,105.76.0.0/18
AS36884,105.76.168.0/22
AS36884,105.76.172.0/22
AS36884,105.76.184.0/22
AS36884,105.76.188.0/23
AS36884,105.76.192.0/18
AS36884,105.76.64.0/18
AS36884,105.77.128.0/18
AS36884,105.77.192.0/21
AS36884,105.77.64.0/18
AS36884,105.78.0.0/19
AS36884,105.78.32.0/20
AS36884,105.78.64.0/22
AS36884,196.12.192.0/18
AS36884,196.12.234.0/24
AS36884,196.12.239.0/24
AS36884,197.144.0.0/14
AS36884,197.144.0.0/18
AS36884,197.144.128.0/20
AS36884,197.144.144.0/20
AS36884,197.144.160.0/19
AS36884,197.145.0.0/16
AS36884,197.146.0.0/15
AS36884,197.147.0.0/18
AS36884,197.147.128.0/18
AS36884,41.137.0.0/16
AS36884,41.137.0.0/17
AS36884,41.137.1.0/24
AS36884,41.137.38.0/23
AS36884,41.137.99.0/24
AS36903,102.51.0.0/19
AS36903,102.51.1.0/24
AS36903,102.51.2.0/23
AS36903,102.51.28.0/23
AS36903,102.51.32.0/19
AS36903,102.51.33.0/24
AS36903,102.51.34.0/23
AS36903,102.51.36.0/22
AS36903,102.51.4.0/22
AS36903,102.51.40.0/21
AS36903,102.51.48.0/21
AS36903,102.51.56.0/22
AS36903,102.51.62.0/24
AS36903,102.51.8.0/21
AS36903,102.52.0.0/18
AS36903,102.52.1.0/24
AS36903,102.52.104.0/22
AS36903,102.52.108.0/23
AS36903,102.52.110.0/24
AS36903,102.52.112.0/21
AS36903,102.52.120.0/22
AS36903,102.52.126.0/24
AS36903,102.52.128.0/19
AS36903,102.52.129.0/24
AS36903,102.52.132.0/22
AS36903,102.52.156.0/23
AS36903,102.52.16.0/21
AS36903,102.52.160.0/19
AS36903,102.52.161.0/24
AS36903,102.52.162.0/23
AS36903,102.52.164.0/22
AS36903,102.52.168.0/21
AS36903,102.52.176.0/21
AS36903,102.52.184.0/22
AS36903,102.52.188.0/23
AS36903,102.52.24.0/22
AS36903,102.52.28.0/23
AS36903,102.52.33.0/24
AS36903,102.52.34.0/23
AS36903,102.52.40.0/21
AS36903,102.52.48.0/21
AS36903,102.52.56.0/22
AS36903,102.52.60.0/23
AS36903,102.52.64.0/19
AS36903,102.52.65.0/24
AS36903,102.52.66.0/23
AS36903,102.52.72.0/22
AS36903,102.52.76.0/23
AS36903,102.52.78.0/24
AS36903,102.52.8.0/21
AS36903,102.52.80.0/21
AS36903,102.52.88.0/22
AS36903,102.52.94.0/24
AS36903,102.52.96.0/19
AS36903,102.52.97.0/24
AS36903,102.52.98.0/23
AS36903,102.53.128.0/21
AS36903,102.53.136.0/21
AS36903,102.53.144.0/20
AS36903,102.53.16.0/20
AS36903,102.53.160.0/19
AS36903,102.53.192.0/19
AS36903,102.53.224.0/19
AS36903,102.53.32.0/19
AS36903,102.53.64.0/20
AS36903,102.53.80.0/21
AS36903,102.53.88.0/21
AS36903,102.53.96.0/19
AS36903,102.78.0.0/22
AS36903,102.78.1.0/24
AS36903,102.78.10.0/24
AS36903,102.78.104.0/21
AS36903,102.78.12.0/22
AS36903,102.78.124.0/23
