ASN,Prefix
AS12296,195.112.128.0/19
AS12296,213.232.0.0/18
AS12444,185.118.177.0/24
AS12444,185.118.178.0/24
AS12444,84.17.66.0/24
AS12444,84.17.67.0/24
AS12444,84.17.68.0/24
AS12444,84.17.75.0/24
AS12444,84.17.83.0/24
AS12444,84.17.84.0/24
AS12444,84.17.86.0/24
AS12444,84.17.89.0/24
AS12444,84.17.90.0/24
AS12444,84.17.91.0/24
AS12444,84.17.93.0/24
AS12599,212.64.194.0/24
AS12599,212.64.197.0/24
AS12599,212.64.198.0/24
AS12599,212.64.200.0/24
AS12599,212.64.203.0/24
AS12599,212.64.204.0/22
AS12599,212.64.209.0/24
AS12599,212.64.220.0/24
AS12729,212.127.100.0/22
AS12729,212.127.96.0/19
AS12735,159.146.1.0/24
AS12735,159.146.10.0/24
AS12735,159.146.101.0/24
AS12735,159.146.102.0/23
AS12735,159.146.104.0/22
AS12735,159.146.109.0/24
AS12735,159.146.11.0/24
AS12735,159.146.110.0/24
AS12735,159.146.111.0/24
AS12735,159.146.112.0/24
AS12735,159.146.114.0/23
AS12735,159.146.116.0/23
AS12735,159.146.119.0/24
AS12735,159.146.12.0/23
AS12735,159.146.120.0/22
AS12735,159.146.126.0/23
AS12735,159.146.14.0/24
AS12735,159.146.15.0/24
AS12735,159.146.17.0/24
AS12735,159.146.18.0/23
AS12735,159.146.2.0/23
AS12735,159.146.20.0/23
AS12735,159.146.23.0/24
AS12735,159.146.24.0/23
AS12735,159.146.26.0/23
AS12735,159.146.28.0/24
AS12735,159.146.30.0/23
AS12735,159.146.32.0/23
AS12735,159.146.34.0/24
AS12735,159.146.35.0/24
AS12735,159.146.37.0/24
AS12735,159.146.39.0/24
AS12735,159.146.40.0/21
AS12735,159.146.49.0/24
AS12735,159.146.5.0/24
AS12735,159.146.50.0/23
AS12735,159.146.52.0/22
AS12735,159.146.56.0/24
AS12735,159.146.57.0/24
AS12735,159.146.58.0/24
AS12735,159.146.59.0/24
AS12735,159.146.6.0/23
AS12735,159.146.60.0/23
AS12735,159.146.62.0/24
