COUNTRY,FILTERED_IPS,FILTERED_ASes,MIDDLEBOX_IPS,MIDDLEBOX_ASes,FILTERED_STUN_SERVERS,TOTAL_IPS,TOTAL_ASes,TOTAL_STUN_SERVERS
Azerbaijan,113,33,2,1,2,639488,90,36
Egypt,2,2,0,0,2,23746816,70,138
Estonia,72,13,0,0,72,1297152,163,210
Indonesia,88,55,1,1,88,11699968,2759,1254
Iraq,3,3,0,0,3,716544,141,326
Jordan,249,12,2,2,1,634112,48,52
Kazakhstan,6,5,0,0,6,3288064,207,668
Kuwait,3,1,0,0,3,1680384,72,38
Kyrgyzstan,2,2,0,0,2,301824,58,148
Malaysia,23,12,1,1,23,6056192,258,294
Mexico,5,4,0,0,5,23064064,474,745
Morocco,2,2,0,1,2,12256000,28,110
Myanmar,164,50,4,1,2,211968,126,23
Pakistan,122,40,26,4,122,5343232,299,408
Qatar,1,1,1,1,1,843008,16,35
Saudi_Arabia,10,6,1,1,10,10468352,162,216
South_Africa,7,7,0,0,7,23473408,637,346
Turkey,31,20,0,0,31,15943680,824,1182
United_Arab_Emirates,1526636,50,158,4,78,4094720,138,514
