ASN,Name
AS131284,Etisalat Afghan
AS132104,Fars Route Information Technology Services Company
AS132173,Streamlink Communications
AS132222,Sanzar F Kakar T/A Afghanistan Holding Group
AS132471,ATOMA
AS133066,Ariana Network Services Co
AS133076,Unique Atlantic Telecommunication
AS133202,AFSAT
AS133533,TRISTAR ISP
AS133894,Easy Connect- ISP
AS134112,Aria Sat LTD
AS134134,Western ICT Solutions Services
AS135298,Ankabut Internet Service Provider
AS135376,Rahanet Internet Service Provider
AS136400,Asia Consultancy Group
AS136454,Fiber-SAT ISP Ltd.
AS136479,Cyber Telecom ISP
AS136774,Fiber technology services
AS136986,Cyber Net ISP
AS137039,Zohak Technology (Z-Tech)
AS137450,Western ICT Solutions Services
AS137475,Shah Net Internet Services Provider
AS137824,View Net Technology
AS137895,Fast Net Telecom
AS137975,Stark Telecom
AS138322,Afghan Wireless Communication Company
AS139651,KAYANAT TECHNOLOGY INTERNET SERVICES CO
AS139697,Mikrogate ICT Services Company
AS139770,SADAT Telecom
AS139885,Fushanj Telecom ISP
AS141224,Fibernet Telecom
AS141355,Amoo Net Technology Services
AS141447,Sky Wave Technologies Internet Service
AS142051,HaqNet Technology Services
AS142541,Optix Wave Internet Services
AS142570,ARYAN DUNYA ICT
AS149024,Afghan Bawar ICT Services
AS149173,Hindukush Bridge ICT Services Company
AS149771,Hewad Aziz Services Company
AS150155,Speed Light ICT Services Company
AS151062,Matin Net
AS151081,ARYAN DUNYA ICT
AS151329,Tez Technology Services
AS153323,Power Bridge ICT Services
AS153324,Noori Wave ICT Services Company
AS153394,RED CLOUD INFORMATION TECHNOLOGY SERVICES COMPANY
AS153557,Shamal Telecome Company
AS153711,Lajward Hindukush Technology Service company
AS153854,Bright Wave ICT Services
AS153975,Kabul Supply Chain
AS17411,Io Global Services Pvt. Limited
AS38742,Afghan Wireless Communication Company
AS45178,"Main Street, House No. 13 Wazir Akbar Khan"
AS55330,AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK
AS55424,Instatelecom Limited
AS58427,Global Entourage Services
AS58469,Ministry of Communication & IT
AS58697,"G/38 Qala e Mosa Shaheed Square ,"
AS59317,Afghan Cyber ISP
AS59355,"Arif Azim Co LTD. First Floor, Zarnigar Hotel,"
AS59381,Vice Group
