ASN,Name
AS12783,ENET Shpk
AS196838,"""Albanian Satellite Communications"" sh.p.k."
AS197445,NSC Sh.p.k
AS197706,Keminet SHPK
AS198279,Albanian Telecommunications Union SH. P.K.
AS198855,Popaj Gjevalin
AS198890,Albanian Fiber Telecommunications SHPK
AS199276,Tele.Co.Albania SHPK
AS201249,IPRO Sh.p.k.
AS201524,Albania State Police
AS201708,RAIFFEISEN BANK SH.A
AS201967,Erlis Marku
AS202080,G net Sh.p.k
AS202179,Intercom Data Service sh.p.k
AS202433,Acenet sh.p.k.
AS202558,M.R.M shpk
AS202710,ABnet Sh.p.k
AS203063,INTESA SANPAOLO BANK ALBANIA PJSC
AS203675,VISTA SH.P.K.
AS204100,"""ProCredit Bank"" Sh.a"
AS204285,OPTIMUM Telecommunications LLC
AS204816,VANI SHPK
AS204894,Ezmir Kraja trading as StyleNet
AS205025,Ilir Kurti
AS205110,NEXT-TV SHPK
AS205140,RASH - Rrjeti Akademik Shqiptar
AS205244,NEXT-TV SHPK
AS205278,NetCom ISP Sh.p.k.
AS205832,ULTRANET sh.p.k
AS205923,Optixcom sh.p.k.
AS206088,shqiponjaisp.al LLC
AS206262,TelKos L.L.C
AS206358,"Qendrim Kryeziu trading as N.P.SH ""ISP - Broadcast"
AS207047,Raiffeisen Bank Kosovo JSC
AS207330,One Network L.L.C
AS207368,Abissnet sh.a.
AS207385,Credins Bank Sh.A.
AS207502,SPEED LINE SHPK
AS207876,Roland Delia trading as NEWAVE
AS208286,Max tv SH. P. K
AS208630,INFO-Telecom Shpk
AS208734,ELSA-TECH SH.P.K.
AS209240,ISA.NET Sh.p.k.
AS209277,APT CABLE SHPK
AS209302,Bujar Shimaj
AS209442,FASTNET ALBANIA Sh.p.k
AS209465,VIG SERVICES SHQIPERI Sh.p.k.
AS209839,Luva Group Sh.p.k.
AS210003,SKY ELBASAN sh.p.k
AS210125,PRIAM NET Sh.p.k.
AS210464,ANDREW KRISTULI
AS210693,Kamenicanet sh.p.k
AS210740,ATM Fiber SH.P.K
AS210748,Edu Invest SH.P.K.
AS210964,TV Kamenica sh.p.k
AS211080,Ministry of Economy of Republic of Kosovo
AS211147,INTERFIBER Sh.p.k
AS211210,KORABI-NET SHPK
AS211356,MyTv-Alb SH.P.K.
AS211385,NEXT-TV SHPK
AS211458,IH-NETWORK SHPK
AS211468,KOSNET Telecommunications LLC
AS211470,Kolegji Nderkombetar per Biznes dhe Teknologji - UBT SH.P.K
AS211555,"Kujtim Leku trading as N.T.SH. ""SKY - NET"""
AS21183,Vodafone Albania Sh.A.
AS21246,IPKO Telecommunications LLC
AS212637,Lightnet Sh.p.k.
AS212752,Business Strategic Solution SHPK
AS212766,Netsyscom sh.p.k
AS212986,MENOCOM Sh.p.k.
AS213206,Ministry of Internal Affairs (Kosovo)
AS213295,One Network L.L.C
AS213363,FiberConn (SH.P.K)
AS213612,OTP Bank Albania Sh.A.
AS213683,Host.AL Shpk
AS213900,RS Computers L.L.C
AS214345,Tech Expert SH.P.K
AS214469,Click.al SHPK
AS215025,NET.COM SHPK
AS215707,Thimaq Strati trading as iHost.al
AS215773,TX RX SHPK
AS215883,FastLink SHPK
AS215885,Habib Iseni Trading as BACI Enterprise
AS215910,Edma Net SHPK
AS216046,Tele.Co.Albania SHPK
AS216122,Suhareka Broadband Comunication SH.P.K.
AS216280,Banka Kombetare Tregtare Sh.A.
AS216312,Gezim Cerri
AS216325,NETWORKALBANIA Sh.p.k
AS29170,Kujtesa Net Sh.p.k.
AS29238,Nisatel LTD
AS31130,Albanian Hosting SH.P.K.
AS33924,Pronet sh.p.k.
AS33983,ARTMOTION SH.P.K.
AS35047,Abissnet sh.a.
AS35444,Digicom SHPK
AS38916,FBD shpk
AS39237,I.T.S. SH.P.K.
AS39611,TIBO COMMUNICATIONS SH.P.K
AS41439,MAXCOM sh.p.k.
AS42313,ONE ALBANIA SH.A.
AS42409,Autoriteti i Komunikimeve Elektronike dhe Postare - AKEP
AS43272,DOTNET SH.P.K
AS47394,"""Albanian Satellite Communications"" sh.p.k."
AS47588,TEL COMMUNICATIONS L.L.C.
AS48014,Albanian Hosting SH.P.K.
AS48265,NSolution sh.p.k
AS50091,"Ylli Zeka trading as N.T.SH. ""NEGENETI"""
AS50616,ONE ALBANIA SH.A.
AS50973,Vodafone Albania Sh.A.
AS5414,Banka e Shqiperise
AS5576,Agjencia Kombetare Shoqerise se Informacionit
AS56468,MC NETWORKING Sh.p.k.
AS56782,ALBANIA MARKETING SERVICE Ltd
AS57070,ITCOM Shpk
AS57388,I.B.C - Telecom Sh.p.k.
AS57961,RASH - Rrjeti Akademik Shqiptar
AS58166,Credins Bank Sh.A.
AS60304,Starnet Sh.p.k.
AS60352,S E L C O M SHPK
AS60471,Mobitel sh.p.k.
AS6843,Diginet shpk
AS8661,Telekomi i Kosoves SH.A.
