ASN,Name
AS11259,Angola Telecom
AS17400,"MSTelcom-Mercury Servicos de Telecomunicacoes, S.A.R.L"
AS32717,SNET ANGOLA
AS327691,Banco Millennium Atlantico S.A.
AS327775,Ponto de Intercambio Internet Angola (Angola IXP)
AS327801,Banco Sol
AS327806,CENTRO NACIONAL DAS TECNOLOGIAS DE INFORMACAO
AS327833,Central 8 Limitada
AS327918,Associacao Escola Internacional de Luanda
AS327932,CONNECTIS-DATA ANGOLA LDA
AS328111,IP WORLD - Sociedade de servicos e telecomunicacoes Limitada
AS328154,"NETSPACE -SERVICOS DE TELECOMUNICACOES, LDA"
AS328165,"Banco de Investimento Rural, S.A"
AS328211,SETIC-FP
AS328273,"BCS- Banco de Credito do Sul, S.A."
AS328283,Banco de Poupança e Crédito S.A
AS328509,"Speed Net Serviços, Lda"
AS328669,"BOLSA DE DÍVIDA E VALORES DE ANGOLA, SGMR, S.A"
AS328718,ANYCONNECT- Tecnologias e Telecomunicações S.A
AS328792,"EMIS - Empresa Interbancaria de Serviços,S.A"
AS328877,"Banco Valor, S.A (BV)"
AS328893,"KWATTEL - SERVICOS DE PAGAMENTO, S.A"
AS328907,"OPCO - Sociedade Operacional Angola LNG, S.A."
AS328943,Africell Angola S.A
AS328979,"NEONET PRESTAÇÃO DE SERVIÇOS E TELECOMUNICAÇÕES, LDA"
AS329007,"ELENDE - TECNOLOGIAS DE INFORMACAO - COMERCIO E SERVICOS, LDA"
AS329011,"Múltipla - Sociedade Múltipla de Angola, Limitada"
AS329065,"SOTENG- Tecnologia & Sistemas, LDA"
AS329108,"Lello & Companhia, Limitada"
AS329194,Banco De Comercio e Industria  S.A.
AS329209,Banco YETU S.A.
AS329210,"HSAMS - Soluções Tecnológicas, LDA"
AS329286,"Kwendanet Tecnologias e Serviços, Lda"
AS329330,"Sociedade Mineira de Catoca, Lda"
AS329370,"ESPAÇONET - TELECOMUNICAÇOES, (SU), LDA"
AS329506,"MSBYTE-SOLUTION,LIMITADA"
AS329536,"ACEL DIGITAL - TECNOLOGIA E SERVIÇOS, LIMITADA"
AS329564,"Agencia Nacional de Pertoleo, Gas e Biocombustiveis"
AS329589,"SELENIUM - DIGITAL SOLUTIONS, S.A."
AS329631,"YETOCOM-COMÉRCIO E PRESTAÇÃO DE SERVIÇOS, (SU), LDA"
AS329686,Ramos Network Prestação de Serviços Lda
AS329695,"ZON-DATA ANGOLA - COMERCIO E PRESTACAO DE SERVIÇOS, LDA"
AS36881,Multitel Servicos de Telecomunicacoes
AS36907,TV CABO ANGOLA LDA
AS36917,Angola Comunicacoes & Systems LDA
AS36936,Banco Angolano de Investimentos
AS36976,Sonangol
AS37011,Mundo Startel SA
AS37036,"Banco de Fomento Angola, S.A"
AS37062,"BNI Banco de Negocios Internacional, SA"
AS37081,Movicel Telecomunicacoes S.A.
AS37119,UNITEL SA
AS37147,BancoBic
AS37264,DNS Angola
AS37267,Banco Caixa Geral Totta de Angola
AS37272,"C. M. Corporation, LDA"
AS37318,"Banco Economico,S.A"
AS37366,Banco National Angola (BNA)
AS37384,Banco Keve
AS37468,Angola Cables
AS37590,Banco Comercial Angolano
AS37593,Infrasat
AS37645,Finstar - Sociedade de Investimento e Participacoes S.A
