ASN,Name
AS10277,Ministerio de Cultura y Educacion
AS10452,FritzWare S.R.L.
AS10481,Telecom Argentina S.A.
AS10617,SION S.A
AS10671,Comision Nacional de Actividades Espaciales
AS10697,INTERLINK SA
AS10834,Telefonica de Argentina
AS10964,Banco Credicoop Cooperativo Limitado
AS11014,CPS
AS11193,COMNET S.A.
AS11311,Sinectis S.A.
AS11315,TelefÃ³nica MÃ³viles Argentina S.A. (Movistar Argentina)
AS11392,Nosis Laboratorio de InvestigaciÃ³n y Desarrollo S.A.
AS11498,D.I.B.I. S.A.
AS11514,Transdatos
AS11571,LA NACION
AS11664,Techtel LMDS Comunicaciones Interactivas S.A.
AS11750,Interdotnet Argentina S.A.
AS11815,Cooperativa Telefonica de V.G.G. Ltda.
AS12150,COTELCAM
AS13316,SES Sistemas ElectrÃ³nicos S.A.
AS13474,Banco de Galicia y Buenos Aires
AS13585,Power VT S.A.
AS14232,Cooperativa Telefónica Pinamar Ltda.
AS14339,SADESA S.A.
AS14845,Universidad Nacional del Sur
AS15034,TIBA S.A.
AS16701,AGENCIA DE RECAUDACIÃN Y CONTROL ADUANERO (ARCA)
AS16732,VELOCOM
AS16814,NSS S.A.
AS17069,Coop Telefonica Villa Gesell Ltda
AS19037,AMX Argentina S.A.
AS19244,Telmex USA
AS19315,Banelco S.A.
AS19583,CIRION TECHNOLOGIES ARGENTINA S.A.
AS19889,Cooperativa Telefonica Del Viso
AS19978,CIRION TECHNOLOGIES ARGENTINA S.A.
AS20207,Gigared S.A.
AS20305,Banco Rio de la Plata S.A.
AS20321,Alternativa Gratis
AS20418,DACAS S.A.
AS21756,SIDERCA S.A.I.C.
AS21838,CIRION TECHNOLOGIES ARGENTINA S.A.
AS22080,Broadbandtech S. A.
AS22501,Cooperativa Telefonica Carlos Tejedor Ltda.
AS22678,OSDE
AS22699,First Data Conosur S.A.
AS22798,RED LINK S.A.
AS22927,Telefonica de Argentina
AS262150,Empresa Provincial de Energia de Cordoba
AS262151,Cubika Consulting SA
