ASN,Name
AS12297,Telecom Armenia OJSC
AS16190,LIR LLC
AS197497,OFFICE OF THE PRIME-MINISTER OF THE REPUBLIC OF ARMENIA STATE BODY
AS197805,Dzoraghbyur Complex LLC
AS197834,Ucom CJSC
AS198265,I-NET LLC
AS198441,Migtelecom LLC
AS198767,Antranik Wartanian
AS199062,SOFT CONSTRUCT CJSC
AS199180,LAGOM PRODUCTS LLC
AS199620,Regionnet LLC
AS199673,"""ABC Domain"" LLC"
AS199698,Maxinet LLC
AS199968,IWS NETWORKS LLC
AS200205,Viva Armenia CJSC
AS200896,Arpinet LLC
AS201039,Manushak Galoyan
AS201063,Ameriabank CJSC
AS201219,Mushegh Baghdasaryan
AS201363,YOURnet LLC
AS201589,"""EDGEAM"" LLC"
AS201639,INECOBANK CJSC
AS201884,ISP SUPPORT LLC
AS201921,"""DIGITAIN"" LLC"
AS201986,Arpinet LLC
AS202269,BitCommand LLC
AS202515,ID Bank CJSC
AS202740,IM ID CJSC
AS204194,"""South Caucasus Railway"" CJSC"
AS204241,Byblos Armenian Bank CJSC
AS204267,"""Homenet"" LLC"
AS204620,EVOCABANK CJSC
AS205261,STARROKETS LLC
AS205277,Interlink LLC
AS205293,RAYONLINE LLC
AS205368,Fnet LLC
AS205605,ID Processing LLC
AS206230,Team Host LLC
AS206543,Cabarco LLC
AS206783,HAYKAZ GHANDILYAN ANDRANIKI Private Entrepreneur
AS207081,Bargavachokh Tsantser LLC
AS207400,VXSOFT LLC
AS207810,"""Virus Net"" LLC"
AS207980,TINS LLC
AS207991,ACHON LLC
AS208081,Fast Bank CJSC
AS208339,UTC LLC
AS208526,Nikita Mobile.Ltd
AS208997,INTERNET KOMUNIKATSION TSANTSER LLC
AS209176,EKENG CJSC
AS209262,GSLINE LLC
AS209778,Armcom LLC
AS210147,ISP SUPPORT LLC
AS210315,Arpinet LLC
AS210381,AMIOBANK CJSC
AS210520,"Armenian Branch of ""Synergy International Systems"" Joint-Stock Company Separated Subdivision"
AS210677,ISP SUPPORT LLC
AS21104,Netsys JV LLC
AS211704,CENTRAL ELECTORAL COMMISION OF THE REPUBLIC OF ARMENIA
AS211944,Narek Tadevosyan
AS212183,House Net LLC
AS212505,Volo LLC
AS212552,BitCommand LLC
AS212749,ACBA Bank OJSC
AS212898,Meganet HD LLC
AS213134,"""DIGITAIN"" LLC"
AS213827,GetNet LLC
AS214198,NeoMetals LLC
AS214287,Converse Bank CJSC
AS214729,Prostie Reshenia LLC
AS214869,Yotta Network LLC
AS214977,Artsakhbank CJSC
AS215416,"VIGEN PETROSYAN trading as ""SAMVELI"""
AS215421,LikeNet LLC
AS215501,Hingshabti LLC
AS215644,Crossnet LLC
AS215719,Unibank OJSC
AS216058,Proitlab LLC
AS216086,ART-NET LLC
AS216165,HYPERNET LLC
AS216400,FOR UNITY LLC
AS33852,Viva Armenia CJSC
AS34492,MEDIA LIFE LLC
AS39344,SMAYL SISTEMS LLC
AS39863,Crossnet LLC
AS42031,GLOBALTECH LLC
AS42109,Viva Armenia CJSC
AS42688,Armenian Card (ArCa) CJSC
AS42991,BioNet LLC
AS43733,Viva Armenia CJSC
AS44153,SHTE LLC
AS44395,Ucom CJSC
AS44778,"""Enterprise Incubator"" Foundation"
AS47623,Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of
AS48008,Harmony Information Technologies and Education Development Fund
AS48244,HS Cloud LLC
AS48675,Diananet LLC
AS48860,"""Arm Telecom"" LLC"
AS48861,Fnet LLC
AS49800,GNC-Alfa CJSC
AS50250,ARMECONOMBANK OJSC
AS50496,ARARATBANK OJSC
AS50623,Infotech LLC
AS50635,Skynet Telecom LLC
AS51090,"""Internet Society"" Public Organisation"
AS51225,Armenian internet traffic exchange 'Armix' foundation
AS51327,RETN AM Limited Liability Company
AS51342,Hachn ISP Ltd.
AS51354,"""Internet Society"" Public Organisation"
AS51493,National Ehealth Operator CJSC
AS51693,Supercom LLC
AS52160,VTB Armenia Bank CJSC
AS56561,Central Bank of the Republic of Armenia
AS56956,Volkof-Inform Ltd.
AS56974,State Revenue Committee of the Republic of Armenia
AS57162,"Ardshinbank, CJSC"
AS57206,Global Credit CJSC
AS57491,KIM-RAY Ltd.
AS57849,Flex Tech LLC
AS6682,GNC-Alfa CJSC
AS8226,Arpinet LLC
AS8932,Ucom CJSC
