ASN,Name
AS10023,Terry Crews
AS10025,The IUSN Foundation
AS10079,University of Western Sydney
AS10080,Interconnect Networks Pty Ltd
AS10083,Cynergic Internet
AS10084,Internet Association of Australia Content Network
AS10090,LDS Church of Jesus Christ
AS10105,OMNIconnect Pty Ltd
AS10106,TAFE Gippsland
AS10128,Optus Customer Network
AS10129,Salomon Smith Barney Australia Pty Ltd
AS10143,Exetel Pty Ltd
AS10145,SecureIP ITS
AS10148,"The University of Melbourne, Melbourne, Victoria"
AS10150,Optus Customer Network
AS10152,NEC Australia Pty Ltd
AS10153,Yuan Ze University Communications Research Center Network
AS10207,Intervolve Pty Ltd
AS10213,Workcover Corporation
AS10214,Pentanet Limited
AS10218,Optus Customer Network
AS10221,Multi-homed connections to multiple ISP's providing
AS10234,Zurich Financial Services Australia
AS10235,National Australia Bank Limited
AS1221,Telstra Limited
AS131074,APNIC R&D Centre JP
AS131182,Crosspoint Telecommunications Pty Ltd
AS131197,FORTRESS ESPORTS PTY. LTD.
AS131214,Interact Hosting Pty Ltd
AS131225,Level 21
AS131230,Mitre 10 Australia Pty. Ltd
AS131268,Sunshine Coast Regional Council
AS131270,Planet Technology Group Ltd
AS131282,ELEMENT FLEET SERVICES AUSTRALIA PTY LTD
AS131290,RACWA Holdings Pty Ltd
AS131292,Hub Computing Services Pty Ltd
AS131294,2 Murray Street
AS131295,Employers Mutual Management Pty Ltd
AS131298,Nextgen Networks
AS131312,TAYLOR CONSTRUCTION GROUP PTY LTD
AS131316,Slnet Hosting
AS131446,Minerals and Metals Group Ltd
AS131455,22 Stirling St
AS131476,10/50 Market St
AS131478,CLARENCE PROFESSIONAL OFFICES PTY. LIMITED
AS131480,Innovations Direct Pty Ltd
AS131581,INPEX Australia
AS131998,Ticketmaster Australasia
AS131999,Lateral Plains Pty Ltd
AS132000,Hansen Corporation Pty Ltd
AS132007,DataWave Internet Pty Ltd
AS132020,NineWire Pty Ltd
AS132029,Telstra Limited
AS132030,VEOLIA ENVIRONMENTAL SERVICES (AUSTRALIA) PTY LTD
AS132041,AUSTRALIAN COMMUNICATIONS GROUP PTY LTD
AS132049,Endeavour Foundation
AS132055,Ernst & Young Global Services Ltd.
AS132057,Refinitiv Australia PTY Limited
AS132070,Intervolve Pty Ltd
AS132072,Anycast Access
AS132077,Fortescue Metals Group Ltd
AS132093,The Royal Womens Hospital
AS132094,Kritikos Solutions Pty Ltd
