ASN,Name
AS1109,Universitaet Salzburg
AS1110,University of Innsbruck
AS1111,Universitaet Klagenfurt
AS1112,Montanuniversitaet Leoben
AS1113,Technische Universitaet Graz
AS1114,Universitaet Graz
AS1115,Austrian Academy of Sciences
AS1117,"Universitaet fur Bodenkultur, Wien"
AS1120,ACONET
AS1205,University Linz
AS12311,International Atomic Energy Agency
AS12401,internic Datenkommunikations GmbH
AS12447,Ernst Klingler Kabelfernsehen Gmbh
AS12453,KraftCom Service GmbH
AS12577,MMC GmbH
AS12605,LIWEST Kabelmedien GmbH
AS12635,Hutchison Drei Austria GmbH
AS12762,Vorarlberger Informatik- und Telekommunikationsdienstleistungsgesellschaft mbH
AS12766,MAGNA STEYR Fahrzeugtechnik AG und Co KG
AS12895,Erste Digital GmbH
AS12930,card complete Service Bank AG
AS12971,Internet Viennaweb Service GmbH
AS12991,Amt der Ooe. Landesregierung
AS13008,Entain Services Austria GmbH
AS13022,Streams Telecommunicationsservices GmbH
AS13026,Manuel Kahr
AS13042,Oesterreichische Nationalbank
AS13068,Wiener Borse AG
AS13292,Willibald Hambammer trading as BK-DAT Electronics e.U.
AS13298,SOS-Kinderdorf International
AS15498,RTCnow Streaming Services GmbH
AS15733,Zumtobel Group AG
AS15824,A1 Telekom Austria AG
AS15910,Fabasoft AG
AS15939,Deloitte Services Wirtschaftsprufungs GmbH
AS16049,CPB-Software (Austria) GmbH
AS16051,Net Professionals GmbH
AS16055,AADD GmbH
AS16099,Hauptverband der oesterreichischen Sozialversicherungstraeger
AS16314,"Magistrat der Stadt Wien, Magistratsabteilung 01"
AS16364,Sony DADC Europe GmbH
AS16381,"Osterreichischer Automobil, Motorrad und Touringclub (OAMTC) Verband"
AS1764,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
AS1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business
AS1853,ACONET
AS1921,ipcom GmbH
AS196668,LISEC Holding GmbH
AS196897,Horst Grottenthaler
AS196913,AXIANS ICT Austria GmbH
AS197047,Hubert Maier trading as e-complete IT-Dienstleistungen
AS197082,Zuers.net Betriebs GmbH
AS197198,VBG Immo GmbH
AS197458,Organization of the Petroleum Exporting Countries
AS197634,Alec Hoefler
AS197740,RIPE NCC ASN block
AS197770,comp.nets.go Gmbh
AS197836,Gas Connect Austria GmbH
AS197917,Elektrizitaetswerke Frastanz GmbH
AS197964,Julius Blum GmbH
AS197999,Michael Gamsjaeger
AS198211,Martin Reinberger trading as FRITZ EGGER GmbH & Co. OG
AS198244,Austrian Power Grid AG
AS198400,IP Austria Communication GmbH
AS198439,teampool personal service gmbh
AS198603,Herbert Kaiser
AS198606,AMST-Systemtechnik GmbH
AS198621,Bernd Klaus
AS198638,Juergen Bachinger
AS198650,APPLIED CHEMICALS Handels-GmbH
AS198656,MUEHLBOECK Holztrocknungsanlagen GmbH
AS198694,Datenstrom IT Dienstleistungen GmbH
AS198917,Flughafen Linz GesmbH
AS198950,Telenet Systems GmbH
AS199015,Frequentis AG
AS199083,Mediaprint Zeitungs- und Zeitschrifftenverlag Ges.m.b.H. & Co KG
AS199156,Peter Roubicek
AS199205,Huemer Data Center GmbH
AS199216,Compass-Verlag GmbH
AS199217,IKARUS Security GmbH
AS199236,EMARSYS eMarketing Systems GmbH
AS199372,Hirschmann Automotive GmbH
AS199437,Verband der Versicherungsunternehmen Oesterreichs
AS199560,
AS199570,fluctus GmbH
AS199596,
AS199637,spatially Computing Ecosystem GmbH
AS199754,Adrian Pfeffer
AS199824,DaoPay GmbH
AS199878,LUKOIL Technology Services GmbH
AS199893,Pensionsversicherungsanstalt
AS199931,Kommunalbetriebe Hopfgarten GmbH
AS199994,RUBICON IT GmbH
AS200026,Ortswaerme St. Johann in Tirol GmbH
AS200112,DABIS GmbH
AS200146,IMA Schelling Austria GmbH
AS200247,Laakirchen Papier AG
AS200255,TIMEWARP IT Consulting GmbH
AS200262,Philipp Grieshofer
AS200273,Lisa Lucia Kowalsky
AS200383,EPB IT Services GmbH
AS200384,KELAG-Karntner Elektrizitats - Aktiengesellschaft
AS200405,IKT Linz GmbH
AS200580,Netzweck GmbH
AS200683,Elektro Puehringer GmbH
AS200724,MTEL Austrija GmbH
AS200727,Kommunalbetriebe Rinn GmbH
AS200798,Niederoesterreichischer Landesfeuerwehrverband
AS200849,Martin Fassl trading as fassma.net e.U.
AS200866,DATAplexx IT- und Telekommunikationsloesungen GmbH
AS200939,LUKOIL Technology Services GmbH
AS200970,Riepert Informationstechnologie GmbH
AS201108,OMICRON electronics GmbH
AS201185,CANCOM Austria AG
AS201239,Logifuture Austria GmbH
AS201240,Rocket NG GmbH
AS201248,SCC EDV-Beratung AG
