ASN,Name
AS13099,"""AZ-EVRO TEL"" LLC"
AS15723,"""AZERONLINE LTD"" JOINT ENTERPRISE"
AS15815,INTRA Network Systems Ltd
AS196925,AZERTELECOM LLC
AS196961,Teleport LLC
AS197830,BAKCELL LLC
AS198828,Abonnet LLC
AS198876,STATE OIL COMPANY OF THE REPUBLIC OF AZERBAIJAN
AS199311,AZERTELECOM LLC
AS199444,HMC Company LLC
AS199731,The Educational Center for Internet and New Technologies of the Nakhchivan Autonomous Republic
AS199985,Metronet LLC
AS199987,Flexnet LLC
AS200154,IZONE LLC
AS200192,Super Optik Tech LLC
AS200446,SELNET LLC
AS200729,AzInTelecom LLC
AS201167,Caspian Telecom LLC
AS201300,Mirkamal Emiraslanov
AS201390,Azericard LLC
AS202993,Institute of Information Technologies of National Academy of Science Azerbaijan
AS203622,GSP LLC
AS203680,Araz Tech LLC
AS203971,AzFiberNet LLC
AS204016,International Bank of Azerbaijan OJSC
AS204840,"""Xalq Sigorta"" OJSC"
AS204986,Sparktel LLC
AS205367,NetPoint LLC
AS205547,Flexnet LLC
AS206977,STATE SERVICE OF SPECIAL COMMUNICATION AND INFORMATION SECURITY OF THE REPUBLIC OF AZERBAIJAN
AS207251,CASPEL LLC
AS207619,HOSTART LLC
AS207922,AZETEL LLC
AS208279,AzerTurkBank OJSC
AS208410,ARTKOM.NET LLC
AS208439,Fiberon LLC
AS209089,"""Azerbaijan Airlines"" Closed Joint Stock Company"
AS209360,Bulud Telecom LLC
AS209374,The Central Bank of the Republic of Azerbaijan
AS209489,Azintex.com LLC
AS209700,"""PASHA TECHNOLOGY"" LLC"
AS210293,Kapital Bank OJSC
AS210665,Electronic Government Development Center Public Legal Entity
AS211143,Azerlotereya Open Joint Stock Company
AS211780,Cavansir Ramazanov
AS211790,INNET.AZ LTD
AS211937,Azersun Holding LLC
AS211995,A2Z Technologies CJSC
AS213139,Faraon-1 LLC
AS213328,AZETEL LLC
AS213379,Xalq Bank OJSC
AS213398,Fibernet LLC
AS213402,Rahat Telecom LLC
AS213670,TTNET LLC
AS213881,OUR Technology LLC
AS214946,EMIRASLAN EMIRASLANOV
AS214990,GO LINE LLC
AS215017,EMIRASLAN EMIRASLANOV
AS215056,Nardaran Invest LLC
AS215076,Volt Internet LLC
AS215148,Delta Telecom Ltd
AS215284,Nest LLC
AS215328,Fast Net Technology LLC
AS215374,Azeuronet LLC
AS215800,UNIBANK Commercial Bank Open Joint-Stock Company
AS215858,Delta Telecom Ltd
AS216231,Alnet LLC
AS216232,NEOTELECOM SERVICES LLC
AS216259,BLINE LLC
AS28787,Aztelekom LLC
AS29049,Delta Telecom Ltd
AS29584,AZEDUNET LLC
AS31721,Azercell Telecom Ltd
AS34170,Aztelekom LLC
AS34876,"""SMART SISTEMZ TECHNOLOJI"" MMM"
AS39232,Uninet LLC
AS39280,Ultel LLC
AS39397,Metronet LLC
AS41997,Connect CJSC
AS42779,Azerfon LLC
AS44725,Sinam LLC
AS48542,START TELECOM Mahdud Masuliyyatli Camiyyati
AS48830,TransEuroCom LLC
AS49345,BEEONLINE OJSC
AS50274,Alfanet LLC
AS50371,Seabak LLC
AS50959,BEEONLINE OJSC
AS57293,AG Telekom MMC.
AS57675,Seabak LLC
AS60258,ENGINET LLC
AS61304,Connect CJSC
AS8814,Aztelekom LLC
