ASN,Name
AS209004,AMEX (MIDDLE EAST) B.S.C. (CLOSED)
AS210968,SINNAD W.L.L
AS215287,Secure Digital Apps CO WLL
AS30882,The Benefit Company B.S.C. (C)
AS31452,ZAIN BAHRAIN B.S.C.
AS35019,Bahrain Internet Exchange
AS35313,Infonas W.L.L.
AS35457,Etisalcom Bahrain Company W.L.L.
AS35546,Northstar Technology Company W.L.L.
AS35568,Nuetel Communications B.S.C
AS35729,ViaCloud WLL
AS39273,Kalaam Telecom Bahrain B.S.C.
AS48109,Information and eGovernment Authority
AS51375,STC BAHRAIN B.S.C CLOSED
AS51429,ARAB BANKING CORPORATION B S C
AS5416,BEYON B.S.C.
AS56494,Etisalcom Bahrain Company W.L.L.
AS62123,Rapid Telecommunications W.L.L.
