ASN,Name
AS10075,Fiber@Home Global Limited
AS131108,Sherpur Network
AS131183,Empowering Net (epnet)
AS131192,BD WEBS DOT COM
AS131216,Saharea Hossain t/a Authentic Network
AS131242,Swapno Network Limited
AS131243,F N S
AS131247,Infobd24 Systems
AS131304,FIBER TECHNOLOGY LIMITED
AS131340,Md. Mozammel Hoque t/a Taqwa IT
AS131464,Digi Jadoo Broadband Ltd
AS131474,NETX
AS131686,MD. Khurshid Alom t/a Computer Complex Network
AS132008,E-JOGAJOG
AS132031,M/S. Subnet Services
AS132073,Wave Net
AS132092,Mir Mosharrof Hossain t/a IT Base
AS132123,Portonics Limited
AS132129,Sysland Speed Online Network
AS132159,Noor Communication Online Network
AS132169,Kbz Online
AS132216,Comilla University
AS132267,NovoCom Limited
AS132275,Padma Bank Ltd.
AS132290,The Net
AS132294,Elenga Dot Net
AS132295,Jahid Communication
AS132298,Antaranga Dot Com Ltd
AS132306,MOS 5 TEL LIMITED
AS132339,CEL TELECOM LTD
AS132340,Venus Telecom Limited
AS132341,Digicon Telecommunication Ltd
AS132365,Bangladesh Agricultural University (BAU)
AS132366,Alfaz Network
AS132387,TST Network
AS132408,OSIFA ONLINE
AS132436,Tahoe Communication Limited
AS132438,Evan Ahmed Bhuiyan t/a APON IT
AS132443,Southtech Limited
AS132475,Future Communication and Network
AS132489,Muminul Hasan t/a Extreme Net
AS132490,Mbsm Enterprise
AS132561,Beximco Computers Limited
AS132575,Sigma Engineers Ltd
AS132601,Ismail It Solution
AS132602,Bangladesh Submarine Cable Company Limited (BSCCL)
AS132604,Midland Bank
AS132608,Mango Teleservices Limited (ISP)
AS132622,Combined Soft BD
AS132800,Net-E-Zen
AS132801,"National Bank Limited , Head Office"
AS132806,Khulna University of Engineering & Technology
AS132817,DZCRD Networks Ltd
AS132855,SMC ENTERPRISE LIMITED
AS132869,Mohammad Mahabub Alam t/a M.A Network Service
AS132884,Summit Communications Limited
AS132897,Link Today Internet
AS133034,Virtual American Companies (BD) Limited
AS133070,EBN HOST LIMITED
AS133083,Bangladesh Extension Education Services
AS133099,Image IT
AS133112,Spectra Technologies Limited
AS133155,Satellite Connection
AS133168,Shahjalal University of Science and Technology
AS133181,Quick Online Dot Net
AS133191,"Special Security Force (SSF), Bangladesh"
AS133209,Saturn Internet Service
AS133213,TEAM Manufacturing Company Ltd.
AS133323,Ayan Network
AS133325,Genfive Technology
AS133331,Infobase Limited
AS133368,Net 3 Link
AS133430,Islami Bank Bangladesh Limited
AS133439,iHelpBD
AS133443,Comilla Online
AS133450,University Of Chittagong
AS133477,Bangladesh Police
AS133496,Mohi Tech
AS133528,M/S Step Net System (SNS)
AS133542,Net Vision
AS133547,Bit Net Technology
AS133599,DAYAN NET
AS133605,Bright Technologies Limited
AS133610,ASN of BRAC
AS133633,MultiTech Online
AS133738,Bangladesh Open University
AS133766,SPEED ONE
AS133770,H M COMMUNICATION
AS133854,X-press Technologies Limited.
AS133866,U-Turn Technologies
AS133890,Bangladesh Army
AS133938,XeonBD
AS133945,Md. Ahasan Kabir Choudhury t/a Gaibandha Online
AS133954,Exord Online
AS133957,SOL-BD
AS134068,Rajshahi Krishi Unnayan Bank
AS134106,Enjoy Network
AS134113,Kazi Sazzad Hossain T/A Millennium Computers & Networking
AS134116,Md. Manzurul Haque Khan T/A THE NET HEADS
AS134122,Kazi Net
AS134128,Mega Speed Net
