ASN,Name
AS12406,Business Network Ltd
AS13171,Belarusian State University
AS199561,Open Joint Stock Company 'Minsk Tractor Works'
AS201638,Belarusian Cloud Technologies LLC
AS201992,"JSC ""Development Bank of the Republic of Belarus"""
AS202090,Aktivnie Tehnologii LLC
AS202387,"Republican Unitary Enterprise ""Production Association ""Belorusneft"""
AS202925,"Joint Venture Closed Joint Stock Company ""International Business Alliance"""
AS203799,"LLC ""TANTAL-TECH"""
AS203808,OOO ExCloud
AS205155,"Republican Unitary Enterprise ""National Centre of Electronic Services"""
AS205820,Unitary enterprise A1
AS206047,"JSC ""Mozyr oil refinery"""
AS206053,PE Besman Anastasia Aleksandrovna
AS206428,MEGADATA LLC
AS207229,Bank RRB JSC
AS207587,FE IBA IT Park
AS208217,"Open Joint Stock Company ""Belarusian People's Bank"""
AS208407,LLC BYCOM SYSTEMS
AS209283,ITGLOBALCOM BEL LLC
AS209881,"LLC ""Vash internet partner"""
AS210153,"LLC ""Synesis Stratus"""
AS21062,Anitex Ltd
AS210845,Good Internet Ltd.
AS210871,"""VPI Development Center"" Ltd"
AS211089,Republican Unitary Enterprise 'National Centre for Marketing and Price Study'
AS211263,"JSC ""BSB Bank"""
AS211487,"LLC ""Managing company MAX Atlant-M"""
AS211976,"Open joint-stock company ""Paritetbank"""
AS212108,Bank BelVEB OJSC
AS212172,CJSC PATIO
AS212619,"Foreign unitary enterprise ""SAMSOLUTIONS"""
AS21274,State Scientific Enterprise 'United Institute of Informatics Problems of National Academy of Science
AS21305,IP TelCom LLC
AS213664,Idea Host Ltd
AS215100,SoftLine Direct LLC
AS215119,JSC StatusBank
AS215272,Yedinyye Resheniya LLC
AS25106,Mobile TeleSystems JLLC
AS28737,Netland ODO
AS28849,JSC GLOBALONEBEL
AS30945,State Scientific Enterprise 'United Institute of Informatics Problems of National Academy of Science
AS31143,COSMOS TV JLLC
AS31345,Business Network Ltd
AS33973,Epam Systems FLLC
AS34421,Telecom Media Systems LLC
AS35587,"Public Association ""Belarusian Railways"""
AS35594,"Reliable Software, Ltd."
AS35668,"Municipal Unitary Enterprise ""Information Technologies Center Minsk City Executive Committee"""
AS38980,Priorbank JSC
AS41245,ITRANSITION CJSC
AS41793,"""Bank Dabrabyt"" Joint-stock Company"
AS42772,Unitary enterprise A1
AS43232,"""KT MAZ""LLC"
AS44031,Efir-TV Ltd.
AS44087,"""BeST"" CJSC"
AS44272,Pinskiy internet Provider Limited
AS44288,"JSC ""Banks Processing Center"""
AS44397,"OJSC ""Minsk Television Information Networks"""
AS48107,Data Cloud LLC
AS48340,Axioma-Service Limited
AS49091,Telecom-garant Limited
AS49243,"The state institution ""The Main Economic Office"" of the Administrative Affairs Office of the Preside"
AS49526,JSC MTBank
AS49682,BNB-Bank OJSC
AS49711,Flynet Ltd
AS50155,"Grodno Information Networks, Ltd."
AS50176,Prizma Additional Liability Company
AS50205,Banking and Financial Network JSC
AS50334,Join stock Grodno Regional Techno Commercial Centre GARANT
AS50345,Optitel LTD.
AS50438,Flynet Ltd
AS50590,"PE ""NETBERRY"""
AS50593,"""T1-Group"" LLC"
AS50685,United Networks Ltd.
AS50765,Terranet Ltd
AS50929,"Company with additional Liability ""Advanced Technology"""
AS50934,Belarussian National Technical University
AS51276,"Limited Responsibility Society ""KomProektServis"""
AS51365,"OJSC ""Belinvestbank"""
AS5498,Institution Central Information and Analytical Center at the Ministry of Education of Belarus
AS56497,"Company with additional liability ""New Technologies"""
AS56740,DataHata Ltd
AS56742,Belorussian-Russian Belgazprombank OJSC
AS56920,Light Well Organisation Ltd
AS57135,"Open joint-stock company ""Naftan"""
AS57184,"""KT MAZ""LLC"
AS57192,"Private Production Unitary Enterprise ""Sphera TV"""
AS58076,Joint Limited Liability Company Game Stream
AS59770,"""KT MAZ""LLC"
AS59860,TVSAT plus Ltd.
AS59861,"Unitary Services ""Enterprise Urban Network System"""
AS60280,"Republican Unitary Enterprise ""National Traffic Exchange Center"""
AS60330,Belarusian Cloud Technologies LLC
AS60337,MEDIATEK Limited
AS60367,"""Seti Plus"" Ltd."
AS60591,Support Chain LLC
AS60611,"Closed Joint Stock Company ""Alfa-Bank"""
AS60744,A.V. Luikov Heat and Mass Transfer Institute of the National Academy of Sciences of Belarus
AS60769,Parallelny mir Ltd.
AS60770,Nord ltd.
AS60857,TV-Com Join Limited Company
AS61235,"Complementary liability company ""TUT and TAM Logistics"""
AS62170,JSC Sberbank
AS62197,CJSC VTB Bank (Belarus)
AS62208,Liner Limited Liability Company
AS62351,"Municipal unitary company Novopolotsk city ""Novopolotsk cable television ""Vector"""
AS6697,Republican Unitary Telecommunication Enterprise Beltelecom
