ASN,Name
AS12392,Orange Belgium SA
AS12763,Honda Motor Europe Logistics NV
AS12942,Network Research Belgium S.A.
AS13226,CYBERNET SA
AS15383,Paradigm
AS15776,International Business Machines of Belgium Ltd
AS15953,KBC GLOBAL SERVICES NV
AS16194,Inetum Belgium NV
AS16294,Descartes Systems (Belgium) NV
AS16326,SmalS vzw
AS196755,Sewan Belgium SA
AS196987,Inetum Belgium NV
AS197690,CBlue SPRL
AS197949,DPG Media Group NV
AS198148,Gateway Communications
AS198559,BELNET
AS198664,SPIE ICS Cloud Solutions SA
AS198847,EXXOSS SPRL
AS198912,Societe Internationale de Telecommunications Aeronautiques
AS199095,Citymesh Integrator NV
AS199541,"EUROCONTROL, the European Organisation for the Safety of Air Navigation"
AS199670,DNS-Belgium VZW
AS199756,DP World Antwerp Ports & Terminals NV
AS199796,Mediahuis Technology & Product Studio NV
AS199942,Cheops Technology NV
AS200111,OPERATEUR DE RESEAUX D'ENERGIES SCRL
AS200133,HUmani Society
AS200353,Opgroeien regie
AS200510,Kiwazo CommV
AS200585,PSA Antwerp NV
AS200869,Techno1 SRL
AS200882,DC Innovations BV
AS200884,Effix Holding BV
AS200911,H. Essers en Zonen International Transport N.V.
AS201004,Global Telephone & Telecommunication S.A. (GT&T)
AS201042,SD1-Telecom SRL
AS201050,S103 BVBA
AS201168,YMLP BVBA
AS201189,IRC Engineering NV
AS201205,Fluvius System Operator CV
AS201859,Ministeries van de Vlaamse Gemeenschap
AS201887,SAVACO NV
AS201984,E-Solutions BV
AS202191,SERVICE ORGANISATIE NASCHOLING JOINT VENTURE EN ADMINISTRATIE NV
AS202495,Jan De Nul Dredging NV
AS202598,Sopra Steria Belgium SA
AS202688,SpotIT BVBA
AS202708,Radionomy SA
AS202713,Stadsbader Contractors BV
AS202830,KBC GLOBAL SERVICES NV
AS202964,Cloudalize NV
AS203148,Xenius BVBA
AS203225,Societe Liegeoise de Micro Informatique
AS203260,Exmar nv
AS203640,EDPNET Belgium BV
AS203849,Umicore NV
AS203857,LOCINOX N.V.
AS204013,Network Research Belgium S.A.
AS204059,Neutrinet ASBL
AS204120,Colibri Consulting B.V.B.A.
AS204182,Ministeries van de Vlaamse Gemeenschap
AS204363,Frank Meeusen
AS204561,Diogenius SPRL
AS204951,Ubicum BVBA
AS204959,Ontex Group NV
AS205080,Societe Internationale de Telecommunications Aeronautiques
AS205233,KBC GLOBAL SERVICES NV
AS205401,Ion Beam Applications SA
AS205409,Embuild VZW
AS205476,Orange Cyberdefense Belgium nv
AS205561,Fluvius System Operator CV
AS205583,PC Yellow bv
AS205924,Limoengroen BV
AS206051,ARAMARK N.V
AS206235,stow International nv
AS206254,GIG.tech N.V.
AS206255,Effortel Technologies S.A.
AS206458,Het Vlaams Parlement
AS20650,IP NEXIA N.V.
AS206537,Fit IT NV
AS206665,BOLT BVBA
AS206677,EMG Belgium NV
AS206883,Brussels Expo Association
AS206960,NET COMPUTER GROUP S.A.
AS207232,CHIREC asbl
AS207290,Mediterranean Shipping Company Belgium N.V.
AS207424,Max Ouwens
AS207467,Orange Belgium SA
AS207537,Stefan Blomme
AS207562,ZOLBIZZ vzw
AS207574,Alexandre Olemans
AS207650,Koen De Wit
AS207664,Ascoo-ITS BV
AS207730,Sappi Europe S.A.
AS207750,Erbacom bvba
AS207994,Blockchain Creek B.V.
AS208112,ROMAN EMPIRE BV
AS208210,Sarah Rossius trading as Servperso Systems
AS208214,Link2Link SA
AS208270,Synamedia Vividtec Europe BVBA
AS208396,Mohawk International Services PLC
AS208406,BANK DEGROOF PETERCAM SA
AS208416,LCL BELGIUM NV
AS208479,Connectis S.A.
AS208620,Delen Private Bank NV
AS208655,Bank J. Van Breda & Co NV
AS208725,Devrandom.be BV
AS208792,Core ICT N.V.
AS209203,WHAT IF CommV
AS209226,Centre hospitalier universitaire de Tivoli - Institut medical des Mutualites socialistes
AS209383,Securitas N.V.
AS209550,European External Action Service
AS209552,Jan Siroky
AS209649,Alain Crispiels trading as AutoConfig
AS209704,NV OR NATIONALE MAATSCHAPPIJ DER BELGISCHE SPOORWEGEN
AS209718,Jori Vanneste
AS209725,Localitel bvba
AS209768,white2net Srl
AS209897,Partena Business Solutions sa
AS210017,STEL bvba
AS210088,Securitas N.V.
AS210196,Jan De Nul Dredging NV
AS210227,Jessa Ziekenhuis vzw
AS210233,Pixinko SARL
AS210349,Lurot Alexis
AS210358,IMEC (Interuniversitair Micro-Electronica Centrum) VZW
AS210444,TVH Parts Holding NV
AS210821,Creasa VOF
AS210890,ROKR Services BV
AS211037,1Ago CommV
AS211079,E.S.I. Informatique S.P.R.L.
AS211106,L'Entreprise Publique des Technologies Numeriques de l'Information et de la Communication de la Comm
AS211136,CERT-EU
AS211184,Unitix BV
AS211268,Smartbit CommV
AS211304,SECURITY MONITORING CENTRE BVBA
AS211601,Syntax Bvba
AS212123,Jori Vanneste
AS212223,Buy Way Personal Finance SA trading as BUY WAY SERVICES GEIE
AS212241,TF Tech NV
AS21239,DNS-Belgium VZW
AS212518,Robin Boucquet
AS212526,Freedelity SA
AS212767,Sigfried Seldeslachts
AS212923,ASBL CHU Helora
AS213045,Alex Delporte
AS213130,M-Cube Belgium
AS213160,"Council of the EU, General Secretariat"
AS213241,TECHIT.BE SRL
AS213331,Belgian Ministry of Defence
AS213345,service administratif a comptabilite autonome charge de la gestion des cartes d identite et du regis
AS21373,Banque Nationale de Belgique
AS213818,TESSENDERLO GROUP PLC
AS214006,Maartje Eyskens
AS214130,Tiebe Seynhaeve
AS214161,Rafael Perzaada
AS214255,Venn SA
AS214327,neXat SA
AS214445,The North Atlantic Treaty Organization
AS214508,Manu Braibant
AS214545,INTERCARE NV
AS21474,SD WORX People Solutions
AS21489,The North Atlantic Treaty Organization
AS215079,Italique SRL
AS215475,Kiwazo CommV
AS215694,Amptec B.V.
AS215956,Dennis de Houx trading as All In One
