ASN,Name
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS327818,ISOCEL SA
AS328092,SUD TELECOM SOLUTIONS
AS328098,JENY SAS
AS328133,ABC Corporation SARL
AS328228,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS328702,Agence pour le Developpement du Numérique
AS329086,FIRSTNET SA
AS329107,TECHNODATA SOLUTIONS
AS329156,DEGNON-GROUP
AS329512,AD Solutions
AS329544,CHAPITRE BENINOIS DE L'INTERNET SOCIETY
AS37090,ISOCEL SA
AS37136,ETISALAT BENIN
AS37292,Omnium des Telecom et de l'Internet (OTI Telecom)
AS37424,SPACETEL BENIN SA
