ASN,Name
AS132232,Data Centre Services
AS132894,Sigma Internet Service
AS134715,Government Technology Agency
AS135147,T Bank Limited
AS135666,Government Data Center (DITT/MoIC)
AS136039,"NANO, Bhutan"
AS137412,Tashicell Domestic AS Thimphu Bhutan
AS137925,GIC-Bhutan Reinsurance Co. Ltd.
AS137994,Bhutan National Bank limited
AS138529,DATANET WIFI
AS138558,Gelephu Digital Network
AS140695,Bank of Bhutan Limited
AS141680,SuperNet Infocomm
AS151498,Bhutan Power Corporation Ltd
AS151955,DRUK PNB BANK LIMITED
AS152317,Wangdue Phodrang Dzongkhag Administration
AS152480,NETVISION INFOCOMM LTD
AS153740,Bhutan Development Bank
AS153779,Nilo FiberNet
AS17660,DrukNet ISP
AS18024,Bhutan Telecom Ltd
AS18025,Bhutan Telecom Ltd
AS23955,Tashi InfoComm Limited
AS38004,"FastLink Wireless ISP, DrukCom Pvt. Enterprise."
AS38740,Tashi InfoComm Limited
AS7615,Bhutan Internet Exchange
