ASN,Name
AS199343,Luis Fernando Mita Caceres
AS204655,MegaLink SRL
AS211397,WebLink SRL
AS22541,MEGALINK S.R.L.
AS25620,COTAS LTDA.
AS26210,AXS Bolivia S. A.
AS262159,Digital TV CABLE DE EDMUND S.R.L.
AS262161,COTES Ltda.
AS263242,DIGITAL WORK
AS263709,UNIVERSIDAD SAN FRANCISCO XAVIER DE CHUQUISACA
AS264612,BANCO MERCANTIL SANTA CRUZ S.A.
AS264690,BANCO SOLIDARIO S.A.
AS264747,Agencia Nacional de Hidrocarburos
AS264789,AGENCIA BOLIVIANA ESPACIAL
AS264855,COTERI LTDA (Cooperativa de telefonos Riberalta Ltda)
AS264858,Servicio de Impuestos Nacionales
AS265647,BANCO DE CREDITO DE BOLIVIA S.A.
AS265670,BANCO NACIONAL DE BOLIVIA S.A.
AS265756,BANCO PRODEM SA
AS265779,AUTORIDAD DE SUPERVISIÃN DEL SISTEMA FINANCIERO (ASFI)
AS265814,CIDIS CAMIRI
AS265880,CORPORACION VISTA COBIJA S.R.L.
AS266671,CONFIARED S.R.L.
AS266723,BANCO PARA EL FOMENTO A INICIATIVAS ECONOMICAS S.A.
AS266745,INVERSIONES CREDICORP BOLIVIA S.A.
AS266804,BANCO UNIN S.A.
AS267685,SIRIO TELECOMUNICACIONES S.R.L
AS267765,COTAP LTDA
AS267770,COTEGUA LTDA (Coop. de Telecomunicaciones Guayaramerin Ltda.)
AS269797,LOCH TEL SRL (GOLOCHTEL)
AS269959,ADMINISTRADORA DE TARJETAS DE CRÃDITO S.A (ATC S.A)
AS270038,ITC SERVICIOS S.R.L.
AS270045,TELECOMUNICACIONES OPORTUNAS INTELIGENTES SRL
AS270080,INTERCORP S.R.L.
AS270090,FUNDACIN UNIVERSIDAD PRIVADA DE SANTA CRUZ DE LA SIERRA - UPSA
AS271906,WebLink SRL
AS271987,ACTEL SRL
AS272036,ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.
AS272041,FUNDACION DIACONIA FONDO ROTATIVO DE INVERSION Y FOMENTO INSTITUCION FINANCIERA DE DESARROLLO (DIACO
AS272840,EMPRESA DE SERVICIOS DAN SOLUTIONS S.R.L.
AS272913,MEGALINK S.R.L.
AS273161,TELARIUS S.R.L.
AS273984,DWTEC S.R.L.
AS274026,MAPLENET COMUNICACIONES S.A.
AS274273,DATEC LTDA
AS27828,UNIVERSIDAD MAYOR DE SAN ANDRES
AS27839,Comteco Ltda
AS27882,TelefÃ³nica Celular de Bolivia S.A.
AS28024,Nuevatel PCS de Bolivia S.A.
AS52250,Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB
AS52355,Jalasoft Corp.
AS52495,Cotel Ltda.
AS52499,MEGALINK S.R.L.
AS61458,GOBIERNO AUTÃNOMO MUNICIPAL DE LA PAZ
AS61475,UNIVERSIDAD CATÃLICA BOLIVIANA SAN PABLO
AS6568,EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA
