ASN,Name
AS16145,Lanaco d.o.o. za Informacione Tehnologije Banja Luka
AS16178,"Logosoft , information engineering and Internet providing"
AS198562,University of Mostar
AS198994,Nova banka AD Banjaluka
AS199051,"D.O.O. ""Elit M"" Biljeljina"
AS199166,NENASAL D.O.O
AS199525,Net-Flet d.o.o.
AS200698,Globalhost d.o.o.
AS200914,Agencija za bankarstvo FBiH
AS201719,Teleklik d.o.o.
AS202632,TXTV d.o.o. Tuzla
AS204433,LEFTOR d.o.o. Tuzla
AS205913,Diplomat Tech d.o.o.
AS206474,Agency for medicinal products and medical devices of Bosnia and Herzegovina
AS207471,Sokol Media d.o.o
AS20875,JP HT d.d. Mostar
AS208881,"""Formea"" drustvo za trgovinu, informaticki inzenjering i konsalting d.o.o. Visoko"
AS209098,University of Sarajevo
AS209271,Integra Inzenjering d.o.o.
AS209491,ZipZap doo Zenica
AS21107,Blicnet d.o.o. Banja Luka
AS211154,"MF banka akcionarsko drustvo, Banja Luka"
AS211191,Gigabit d.o.o.
AS212572,NEON Solucije d.o.o. Kalesija
AS216160,UniCredit Bank d.d.
AS216200,Dinnet d.o.o. Gracanica
AS216468,Lemon IP group d.o.o.
AS25144,"""Telekomunikacije Republike Srpske"" akcionarsko drustvo Banja Luka"
AS34943,Poste Srpske a.d.
AS35107,"MEDIA SKY d.o.o. za proizvodnju, promet i usluge"
AS35567,DASTO semtel d.o.o.
AS39689,Konzum d.o.o. Sarajevo
AS39826,Terc Trade Company d.o.o.
AS42560,Telemach BH d.o.o. Sarajevo
AS43179,Team Consulting d.o.o.
AS43752,Ministry of Science and Technology Development and Higher Education
AS43947,Raiffeisen Bank D.D. Bosnia and Herzegovina
AS47959,Telinea d.o.o.
AS48059,Konzum d.o.o. Sarajevo
AS50249,ASA Banka Sarajevo d.d.
AS50537,QSS D.O.O. Sarajevo
AS57869,MISS.NET d.o.o.
AS59847,WIRAC.NET d.o.o.
AS60588,Team Consulting d.o.o.
AS8670,University of Sarajevo
AS9146,BH Telecom d.d. Sarajevo
