ASN,Name
AS14988,Botswana Telecommunications Corporation
AS212122,Revoc Admira Group Proprietary Limited Trading as Admira Solutions
AS327716,Microteck Enterprises (Pty) Ltd.
AS327757,ICT DYNAMIX (Pty) Limited
AS327760,ELECTRO METIC ENTERPRISES PTY LTD
AS327776,STATURE (PTY) LTD
AS327830,Concerotel Botswana Pty Ltd
AS328181,Dapit Ventures (PTY) Ltd t/a GCSat  Botswana
AS328348,Fasttrack Learning (Proprietary) Limited
AS328459,VBN Services
AS328737,Netway (Proprietary) Limited
AS328757,Donya Digital (Pty) Ltd
AS328869,Bank Gaborone Limited
AS328996,Botswana Postal Services Limited
AS329078,Abari Communications
AS329185,Pula Net Proprietary Limited
AS329301,BOTSWANA RESEARCH AND EDUCATION NETWORK SOCIETY
AS329381,FIBRE SOURCING BOTSWANA PROPRIETARY LIMITED
AS329473,Click Connect Proprietary Limited
AS329713,Malakana Enterprises Proprietary Limited
AS33781,OPQ Net
AS36963,Orange Botswana (PTY) Ltd
AS37014,Mascom Wireless Ltd
AS37051,Government of Botswana
AS37257,Broadband Botswana Internet
AS37395,Abari Communications
AS37604,Desert Road Pty Ltd t/a Zebranet
AS37678,BOTSWANA FIBRE NETWORKS (Proprietary) Limited
AS37711,Sea Breeze (Pty) Ltd T/A Mega Internet
