ASN,Name
AS12436,Bergon Internet Ltd.
AS12564,Council of Ministers
AS12591,Smartcom Bulgaria AD
AS12615,Global Communication Net Plc
AS12716,A1 Bulgaria EAD
AS12756,INFOCOM Plc.
AS12792,Netassist International EOOD
AS12795,Central Cooperative Bank JSC
AS12796,Cifrova Kabelna Korporacia EOOD
AS12815,Musala Soft EAD
AS12829,Angel Soft OOD
AS12962,First Investment Bank AD
AS12982,BULINFO EOOD
AS13124,A1 Bulgaria EAD
AS13147,Net Info JSCo
AS13172,Electroenergien Sistemen Operator EAD
AS13236,DATACOM LTD
AS13306,Unics EOOD
AS15362,Risk Engineering Ltd.
AS15504,Naxex Technological Development Ltd
AS15534,Datamax AD
AS15669,BIX.BG Ltd.
AS16045,Spektar AD
AS16154,Telecoms-Net Ltd.
AS16193,BORICA AD
AS16328,University of Architecture Civil Engineering and Geodesy
AS16344,Information Services PLC
AS196738,"""Sixty K"" Ltd."
AS196801,Chimimport Plc
AS196807,Petrol AD
AS196876,Vestnikarska Grupa Bulgaria Ltd.
AS197050,BORIANA-EOOD
AS197055,ZAD Allianz Bulgaria AD
AS197069,Easy Asset Management AD
AS197086,Speedy AD
AS197168,ASPhostBG Ltd
AS197184,Orbital Ltd
AS197214,Electrostroy Ltd.
AS197232,Cargo Planet Ltd.
AS197236,Biovet JSC
AS197304,Dilis Grup EOOD
AS197604,Softhouse Ltd.
AS197625,BMF PORT BURGAS AD
AS197647,INERPS EOOD
AS197741,Icard Services PLC
AS197897,5KOM OOD
AS197929,PRONET-COM LTD
AS197931,CT Interactive EOOD
AS197997,RegisterBG Ltd
AS198003,Proxiad Bulgaria EAD
AS198127,Hristo Bogdanov
AS198202,"PEB ""Texim"" JSC"
AS198228,Silistra Telecom Solutions Ltd.
AS198259,ECOM SERVICE AD
AS198280,Varna Free University Chernorizets Hrabar
AS198283,Apis Europe JSC
AS198388,Zastrahovatelna Kompania Lev Ins AD
AS198482,Pernik Lan Ltd.
AS198576,Bulgarin National Radio
AS198744,BULGARIAN PORTS INFRASTRUCTURE
AS198765,Euroccor JSC
AS198771,Extreme Labs AD
AS198783,ET HALIL ADEM
AS198868,BGTEL OOD
AS198883,Tabunscic Anatoli
AS198938,Stone Computers AD
AS198940,FADATA EOOD
AS198941,Bianor Services EOOD
AS199048,KRAKRA AD
AS199123,Radibase EOOD
AS199132,CALDERRA Ltd.
AS199173,TechnoLux Ltd.
AS199191,Dimitar Vasilev-9 EOOD
AS199209,Internet Securities Bulgaria Ltd.
AS199221,TBG OOD
AS199230,Mitko.com EOOD
AS199364,RAX.BG EOOD
AS199442,M2M SERVICES Ltd.
AS199512,Demax JSC
AS199702,VIM TV LTD
AS199759,Honeywell EOOD
AS199790,IP Telecom Bulgaria
AS199818,Pension Insurance Company UBB EAD
AS199871,TechnoLogica EAD
AS199898,Haemimont AD
AS199958,HOSTWARE LLC
AS199996,AY TI VI NET LTD
AS200024,Kentavar M LTD.
AS200033,Megalan EOOD
AS200301,Miroslav Ivanov
AS200306,Ivan Stamov
AS200361,CONCENTRIX SERVICES BULGARIA EOOD
AS200391,KREZ 999 EOOD
AS200400,Sofia Municipality
AS200422,Concentrix Services Bulgaria EOOD
AS200450,SiteGround Hosting EOOD
AS200458,Vmobile AD
AS200459,Net Host Solutions Ltd.
AS200475,ET VESELIN JELQZKOV
AS200533,Civil association Init Lab
AS200628,BGO Cloud OOD
AS200631,VASILEVO SAPORT SERVISEZ Ltd.
AS200723,"South-West University ""Neofit Rilski"""
AS201005,IT Mania Ltd.
AS201114,AMK Drives and controls Ltd.
AS201200,SuperHosting.BG Ltd.
AS201210,TRIGONON DATA SERVICES LTD
AS201215,Professional Information Management - PRIMA AD
AS201225,MANGA CORP LTD
AS201326,BG BUSINESS SOLUTIONS EOOD
AS201406,Mobinet Bulgaria Ltd.
AS201525,HZ Hosting Ltd
AS201583,Benchmark Group AD
AS201642,NetCom Service Ltd.
AS201645,AES Europe Services EOOD
AS201899,Ikt Solutions Ltd
AS201996,Sofia Connect EAD
AS202015,HZ Hosting Ltd
AS202043,"Bulgarian Industrial Association, Union of Bulgarian business"
AS202160,MBS Vision Ltd.
AS202209,Erma Consulting Ltd.
AS202265,InterWebs Ltd.
AS202309,Radibase EOOD
AS202357,Sopharma Trading Jsc
AS202439,NETCOM Ltd.
AS202543,Mrejitor Ltd
AS202593,iGaming.com_Limited
AS202634,Petar Petrov
AS202690,Investbank AD
AS202737,RYVYL (EU) EAD
AS202843,Playbox Technology ME Ltd.
AS202864,COMAC MEDICAL
AS202911,New Age Networks Ltd.
AS202968,Credissimo JSCo
AS203095,ERP Bulgaria Ltd
AS203182,DIGITURK LTD.
AS203312,Commercial League - Global Pharma Centre JSC
AS203380,DA International Group Ltd.
AS203390,Tokudabank Bulgaria AD
AS203391,Cloud DNS Ltd
AS203484,ROAD INFRASTRUCTURE AGENCY
AS203535,"""Work Better"" LTD"
AS203578,Euromaster Import Export Ltd
AS203633,EL-DI 81 Ltd.
AS203723,RESIDENCE CONTROL EOOD
AS203864,GPS BULGARIA AD
AS203917,Hashlink EOOD
AS203918,Securax Ltd.
AS203954,ITNS GLOBAL EOOD
AS204232,ALOHA EXPERT EOOD
AS204266,CENTRAL PARK BURGAS -EOOD
AS204281,NETX - NG LTD
AS204428,SS-Net
AS204448,Shopmetrics Europe ltd.
AS204469,Sanevian
AS204554,PRESTIGE-AB Ltd
AS204639,H-Tech EOOD
AS204722,w-ix ltd
AS204784,SIS TECHNOLOGY AD
AS204842,Ministry of Justice Bulgaria
AS205085,NET PLUS ONE Ltd.
AS205128,Phoenix Media Ltd.
AS205129,I B Company Ltd.
AS205132,Vivacom Bulgaria EAD
AS205138,Open Solutions Ltd.
AS205331,Wi-Max Network Ltd.
AS205343,GP-NET Ltd.
AS205352,KABELNET LTD
AS205454,GLOBAL SERVICES M EOOD
AS205465,FOTON-K EOOD
AS205526,ITR Services Ltd
AS205546,GIGA FIBERNET ltd.
AS205549,PREMIUM SERVICES LTD
AS205665,TERACOM EOOD
AS205787,Public Cloud Ltd.
AS205808,Turbo-Net EOOD
AS205872,EXTRANET 2010
AS205937,Bulgartransgaz EAD
AS205974,Supreme Administrative Court
AS206045,MM2-Network Ltd
AS206105,floLIVE Bulgaria Ltd.
AS206346,"""Pan Telecom"" EOOD"
AS206383,VOXLAN LTD.
AS206410,Intellegent Systems Bulgaria Ltd.
AS206511,Scorpion Shipping OOD
AS206546,ICYGEN Ltd
AS20657,ATLANTIS BG Ltd.
AS206645,Ministry of Regional Development and Public Works
AS20665,Varna Net Ltd.
AS206755,Netcube Ltd.
AS206796,EVROTRUST TECHNOLOGIES AD
AS20682,BG ONE Ltd
AS206935,YANAK SOFT EOOD
AS207094,Inter Carrier Ltd
AS207144,SOFCOMPANY Ltd
AS207172,PRO STO
AS207249,Icard Services PLC
AS207371,GEC BG Ltd.
AS20750,NetLan Ltd.
AS207671,DENSHI AD
AS207691,EGT DIGITAL EOOD
AS207728,EUROHOSTER Ltd.
AS207772,Top Net BG LTD
AS207812,DM AUTO EOOD
AS207826,"""INTERNATIONAL ASSET BANK AD"""
AS20818,NETGUARD LLC
AS208318,Adastra Bulgaria EOOD
AS208319,Resonance.Bg Ltd.
AS208322,ITP-NET OOD
AS208370,DigiSys Ltd.
AS208389,Focus IT Solutions
AS208392,"""It Saport"" Ltd."
AS208518,Hosting4Friends EOOD
AS208579,Akkodis Bulgaria EOOD
AS208637,4 Vendeta Ltd
AS208641,"ET ""GEORGI SHISHKOV"""
AS208860,North West Union Ltd.
AS20911,Net-Surf.net Ltd.
AS209142,Vodosnabdiawane I Kanalizacia EOOD
AS209156,IT 360 Ltd
AS209160,Miti 2000 EOOD
AS209337,NATSIONALNA ELEKTRICHESKA KOMPANIA EAD
AS209362,AELIA 88 Ltd
AS209403,Net Stack Ltd
AS209518,IVIKO Ltd.
AS209524,Ballistic Cell LTD.
AS20956,SYSTEM SECURITY AND INTEGRATION EOOD
AS209577,NIMH
AS209628,MAZEN LLC
AS209681,Deltacom Electronics Ltd.
AS209696,NILSAT Ltd.
AS209736,WALLTOPIA AD
AS209841,MANAGEMENT SERVICES CORPORATION EAD
AS209850,BURDENIS-COM EOOD
AS210024,ITA Engineering OOD
AS210039,"GAMMA CONSULT - KALINKIN, PROKOPOV & SIE"
AS210058,Amusnet Interactive Ltd
AS210082,YOVIL Ltd.
AS210154,GIGALAN EM Ltd.
AS210166,YouTel Communications Ltd.
AS210211,Sumup Limited
AS210212,DILAN BG Ltd.
AS210229,Ministry of Environment and Water
AS210250,K Media Tech Ltd.
AS210299,ART-BUILD-UP
AS210567,OBVT
AS210624,VG Global JSC
AS210646,ATLANTIS SAT LTD
AS210672,European Software Design LTD
AS210746,ByteOpt SLLC
AS210754,Kozloduy NPP Plc
AS210992,D Commerce Bank AD
AS2111,SkyNet Group Ltd.
AS211128,Sky Fiber AD
AS211159,FIBER X Ltd.
AS211288,Netassist International EOOD
AS211456,NetSarBG LTD
AS211526,Darjavna Agencia za Elektronno Upravlenie
AS211545,Prodigy LTD
AS211674,PrimeVOIP Bulgaria LTD
AS211772,ITRB Ltd
AS211877,TurkIX Communications Ltd.
AS212023,"University of Plovdiv ""Paisiy Hilendarski"""
AS212115,IN TRADE 87 LTD
AS21230,M SAT Cable EAD
AS212363,ZETTA HOSTING SOLUTIONS LLC.
AS212370,Adrian Pekunov
AS212416,Proximity EOOD
AS21249,Rutil Ltd.
AS212533,DP BULGARIAN SPORTS TOTALIZATOR
AS212561,Money Plus Management AD
AS212605,Dim commerce Ltd.
AS212652,Boramax ltd
AS212677,Terinet EOOD
AS213037,CoreTech Bulgaria EOOD
AS213039,MIKRAMIX LTD.
AS213090,Panda Cooperation
AS213093,PS BG EOOD
AS213271,TODAKOM ASB EOOD
AS213357,KAOLIN_AD
AS21337,United Bulgarian Bank AD
AS213514,EuroVDC EOOD
AS213640,Talido LTD
AS213833,Ministry of Interior of Bulgaria
AS21415,Vivacom Bulgaria EAD
AS214170,EVOLONIA LTD.
AS214296,BETATEL LTD
AS214342,DIMINUENDO Ltd
AS214378,MS Optic NET EOOD
AS214433,Intercity Network EOOD
AS214795,LACHEZAR CHOLAKOV
AS214812,KM TREYDING 2012 OOD
AS214879,STANISLAV SAVOV
AS214903,The Three Ltd.
AS215122,Krasimir Velkov
AS215342,Teranet OOD
AS215361,SOFTGROUP AD
AS215508,Dot Net Ltd
AS215762,Bullet Group LTD
AS215853,Bonfortuna Ltd
AS215888,LUKOIL Neftohim Burgas AD
AS215941,EGT DIGITAL EOOD
AS216145,7DC INTERNET LTD.
