ASN,Name
AS25543,"ONATEL (Office National des Telecommunications, PTT)"
AS327871,Agence Nationale de Promotion des TIC (ANPTIC)
AS328010,Burkina Faso Internet EXchange Point ( BFIX)
AS328245,Autorite de Regulation des Communications Electroniques et des Postes
AS328316,Point d'Atterissement Virtuel - Burkina Faso
AS328424,IT PROJET
AS328448,La Direction générale des impôts
AS328534,AFREENET SA
AS328627,Agence des technologies de communication et de sécurite (A.T.C.S)
AS328716,VIPNET BURKINA FASO
AS328721,Groupe Netforce
AS328898,Association Burkinabe des Domaines Internet (ABDI)
AS329041,Association Nationale D'Education Et De Recherche Du Burkina Faso - F@soREN
AS329306,Société Nationale d'Electricité du Burkina (SONABEL)
AS329440,OFFICE NATIONAL DE L'EAU ET DE L'ASSAINISSEMENT - ONEA -
AS329485,Bridge Fiber Solutions
AS329651,integris
AS329744,IKA SOLUTION LIMTED
AS37008,Sancfis Faso SA
AS37073,Internet Puissance Plus Burkina SA
AS37163,IPSYSTEM S.A
AS37526,TELECEL FASO
AS37577,Orange Burkina Faso
AS37648,Union Economique et Monetaire Ouest Africaine (UEMOA)
AS37721,Virtual Technologies & Solutions
AS37734,Virtual Technologies & Solutions
