ASN,Name
AS131178,"EZECOM CO., LTD."
AS131207,"SINET, Cambodia's specialist Internet and Telecom Service Provider."
AS131241,ACLEDA Bank Plc.
AS132080,"M.A.T Co., Ltd."
AS132213,"Cambodian Network Exchange Co., Ltd."
AS132590,AKCTV Pte. Ltd.
AS132599,Ministry of Posts and Telecommunication
AS132730,Maximum Business Information Technology
AS133200,NeocomISP Limited
AS133416,Edeel (Cambodia) Plc.
AS133588,"Cambodian Network Exchange Co., Ltd."
AS134136,B.I.C (Cambodia) Bank PLC
AS134478,"Eang Kong (Cambodia) Co., Ltd"
AS135286,Star Digital MUDs TV Limited
AS135333,AKCTV Pte. Ltd.
AS135375,"Today Communication Co.,Ltd"
AS135380,Ministry of Industry Science Technology and Innovation
AS135664,"GLOBAL CLOUD EXCHANGE Co., Ltd."
AS136379,Istanaimpian Corporation Limited
AS136764,Fast CDN
AS136998,POIPETINTERNET DOT COM
AS137206,TRUE MONEY (CAMBODIA) PLC
AS137236,"TURBOTECH CO., LTD."
AS137413,"Cambodian Network Exchange Co., Ltd."
AS137440,Advanced Bank of Asia Limited
AS137503,"Spidernet Co.,Ltd"
AS137537,"iOne Co., Ltd"
AS137551,"REDLINK TELECOM Co., Ltd"
AS137811,"BEE UNION (CAMBODIA) TELECOM CO., LTD"
AS137829,LOLC (CAMBODIA) PLC.
AS137853,"TELNET CO.,LTD"
AS137952,"ANGKOR E & C (CAMBODIA) Co.,Ltd."
AS137966,NeocomISP Limited
AS137989,"BigHub Co.,Ltd"
AS138160,"ZTNET CO., LTD"
AS138340,ESURFING TECHNOLOGY CO.LTD
AS138528,"EMPIRE TECH Co., Ltd."
AS138580,Ministry of Economy and Finance
AS138629,"NSM SOLUTION AND MAINTENANCE CO., LTD."
AS138643,XINYUAN INTERCONNECT COMPANY LTD
AS138682,REMOHAND TECHNICAL CO LTD
AS138999,"PPIN INTERNET CO., LTD."
AS139056,"FAST ONE (CAMBODIA) CO., LTD"
AS139060,"CHAOJI SUPER HIGH INTERNET TECHNOLOGY CO., LTD."
AS139285,"Wingel cooperation co.,Ltd"
AS139588,Institute of Technology of Cambodia
AS139628,"Mega Truenet Communication Co., Ltd."
AS139844,"FIBER NANOTECH (Cambodia) Co.,Ltd"
AS139871,TONLE
AS140659,"Vonet technology Co., Ltd."
AS140974,Mengly J. Quach Education PLC
AS141761,"Starchain Telecom Co., LTD."
AS141993,X LINK ASIA
AS142296,General Department of Taxation
AS147011,SATHAPANA BANK PLC
AS147023,ESURFING TECHNOLOGY CO.LTD
AS147056,WOWNOW
AS149177,Amret PLC
AS149294,CHAKTOMUK DATA CENTER CO. LTD.
AS149448,Singapore Data Cloud PTE. LTD
AS149634,"RMO Technology Co., Ltd."
AS149828,"PASSAPP TECHNOLOGIES CO., LTD."
AS150158,"PHSS CAM INDO CO,. LTD."
AS150295,Wing Bank (Cambodia) Plc
AS150381,VENUS BROADBAND (CAMBODIA) PLC
AS150444,"TECHNOVAGE SOLUTION CO., LTD"
AS150796,DGB BANK PLC.
AS151622,"Earthstar Solution Co., Ltd."
AS151795,Foreign Trade Bank of Cambodia
AS151977,Royal University of Phnom Penh
AS152301,"DAUN PENH DATA CENTER CO., LTD."
AS152452,"BS PRINTING AND ADVERTISING CO., LTD."
AS153715,General Department of Public Financial Management Information Technology
AS153864,National Social Security Fund
AS154213,Ministry of Interior
AS154215,"Bytedc Solutions Co., Ltd"
AS154515,"IZOOM SOLUTIONS CO., LTD"
AS17726,Telecom Cambodia
AS17976,CAMGSM Company Ltd
AS17981,"Cambo Technology(ISP) Co.,Ltd"
AS202199,Sochetra Than
AS23673,"Cogetel Online, Cambodia, ISP"
AS24441,"CityLink Corporation, LTD"
AS24492,WiCAM Corporation Ltd.
AS38209,"CAMINTEL, National Telecommunication Provider, Phnom Penh, Cambodia"
AS38235,ANGKOR DATA COMMUNICATION
AS38286,PPCTV broadband service is the first cable and DSL internet in Cambodia
AS38600,"SMART AXIATA Co., Ltd."
AS38623,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
AS38901,"EZECOM CO., LTD."
AS45348,"Regency Square, Complex B,"
AS45498,"SMART AXIATA Co., Ltd."
AS55329,Telcotech Ltd.
AS55636,"TPLC Holding Ltd.,"
AS55769,"SOUTH EAST ASIA TELECOM (Cambodia) Co., LTD"
AS55928,NTT Communications (Phnom Penh ISP POP)
AS58424,Xinwei (Cambodia) Telecom Co. Ltd
AS58465,25th Floor Canadia Tower N0. 315 Presh Ang Duong Street
AS59318,"SINET Fiber One, Cambodia's Fastest Broadband Service."
AS7712,"Cambodian Network Exchange Co., Ltd."
AS9900,"COGETEL Co., Ltd"
AS9902,"NEOCOMISP LIMITED, IPTX Transit and Network Service Provider in Cambodia."
