ASN,Name
AS15964,CAMTEL
AS30992,MTN Network Solutions (Cameroon)
AS327741,INFOGENIE Technologies
AS327820,SWECOM PLC
AS328352,United Nations Economic Commission for Africa
AS328666,CAMPASS PLC
AS328840,ST DIGITAL
AS328866,NEWTELNET CAMEROUN SAS
AS328913,ST DIGITAL
AS328920,AFRICA DATA CENTER SA
AS328995,ST DIGITAL
AS329077,Digital Business Solutions SA
AS329432,PORT AUTONOME DE KRIBI
AS329457,CONNECTION CAMEROON S.A
AS329469,Access BANK CAMEROON PLC
AS36905,Creolink Communications
AS36912,Orange Cameroun SA
AS36955,Matrix Telecoms SA
AS37089,Sancfis Cameroun SA
AS37672,INQ DIGITAL CAMEROON SA
