ASN,Name
AS1011,Accutar Biotechnology (Canada) Inc.
AS1024,12393239 Canada Inc
AS10261,B3zdna Systems Inc.
AS10264,Scotia Capital Inc.
AS10265,Seneca College of Applied Arts and Technology
AS10329,"CoreLAN Communications, Inc."
AS1043,KSP Technology
AS10482,Shaw Communications
AS10520,Execulink Telecom Inc.
AS10678,@trends.ca
AS1070,Peel Regional Police
AS10804,Matawa First Nations Management
AS10808,The Globe and Mail
AS1085,Prairie Crocus Rural Internet Limited
AS10865,B2B2C Inc
AS10929,eStruxture Data Centers Inc.
AS10965,MRNet
AS10972,"Memorial University, NF CAnet 2 gigaPOP"
AS10980,"Stafford Communications, Inc."
AS10996,Concorde inc.
AS1100,Nuday Networks Inc.
AS11031,Orbis Investments (Canada) Limited
AS11032,Universite du Quebec
AS11075,Malleum
AS11077,XBASE Technologies Corp.
AS11084,Huron Telecommunications Cooperative Limited
AS11105,Simon Fraser University
AS11181,Vaxxine Computer Systems Inc.
AS11239,Skycomp Solutions Inc.
AS11257,University of Lethbridge
AS11260,EastLink
AS11287,Mitchell Seaforth Cable T. V. Ltd.
AS11290,Cogeco Connexion inc
AS11342,Pathway Communications
AS11358,Tennant Software
AS11435,Beneva
AS11453,Avotus Corporation
AS11478,Beanfield Technologies Inc.
AS11489,Bell Canada
AS11507,Medicine Hat College
AS11522,Greater Sudbury Telecommunications Inc.
AS11539,Open Text Corporation
AS11544,Royal Bank of Canada
AS11568,CGI Inc.
AS11601,Reseau Picanoc.net Inc.
AS11626,ConneXon Telecom
AS11628,Ontario Institute for Cancer Research
AS11635,TelMAX Inc.
AS11647,Sentex Communications Corporation
AS11655,Saskatoon Internet Exchange Inc
AS11666,Nexicom Inc.
AS11670,Toronto Internet Exchange Community
AS11700,CW-E
AS11703,MaRS Discovery District
AS11727,Bruce Telecom
AS11807,Divertissements GameLoft Inc
AS11814,Distributel Communications Limited
AS11831,eSecureData
AS11851,The Michener Institute for Applied Health Sciences
AS11858,Open Text Corporation
AS11918,Diallog Telecommunications
AS11998,Province of New Brunswick
AS12010,International Financial Data Services (Canada) Ltd.
AS12059,
AS12093,University of Waterloo
AS12109,Suite Solutions Inc
AS12132,Quebec Internet Inc
AS12202,FST Networks LTD.
AS12212,Ravand Cybertech Inc.
AS12989,Black HOST Ltd
AS13319,Storm Internet Services
AS13334,Rapidzone
AS13340,BlackBerry Limited
AS13360,Triton Digital
AS13365,International Civil Aviation Organization
AS13441,Bank of Nova Scotia
AS13468,Kingston Online Services
AS13469,Stingray
AS13487,Nutrien
AS13525,Right Servers Inc.
AS13552,Cegep de Sainte-Foy
AS13559,QUANTUM INTERNET SOLUTIONS
AS13625,CALGAH Computer Systems and Management Ltd
AS136258,"BrainStorm Network, Inc"
AS13646,Plactrix Technologies
AS13657,E-Gate Communications Inc.
AS13727,NEXT DIMENSION INC
AS13733,Centre for Addiction and Mental Health
AS13764,Kwantlen Polytechnic University
AS13768,Aptum Technologies
AS137945,NUTRIEN (CANADA) HOLDINGS ULC APAC AS
AS13804,ATG Arrow Technology Group Limited Partnership
AS13826,TeraGo Networks Inc.
AS13845,eStruxture Data Centers Inc.
AS13846,Lavalife Corp.
AS13883,FQ Support Services Ltd.
AS13895,FiberConX
AS13911,Tera-byte Dot Com Inc.
AS13923,Ontario Pension Board
AS139309,Tata Communications (CANADA) Ltd.
AS13942,Commission Scolaire Marie-Victorin
