ASN,Name
AS10111,Zeofast Network
AS10206,China Unicom Zhongwei Cloud
AS10212,China Enterprise ICT Solutions Limited
AS131285,CHINATELECOM Hubei province Shengji 5G network
AS131325,China Telecom KunMing
AS131482,"Hangzhou Aron Teconology Co.,Ltd."
AS131483,"Jiangsu Dongyun Cloud computing co., LTD"
AS131486,"Beijing Jingdong 360 Degree E-commerce Co., Ltd."
AS131490,CERNET Corporation
AS131495,"Beijing nine cloud infinite network technology co., LTD"
AS131497,"Volkswagen (China) Investment Co., LTD"
AS131506,"HEILONGJIANG RADIO & TV NETWORK CO.,LTD"
AS131511,"Beijing Chenxun Technology Co., Ltd."
AS131516,"Jinhua Weian InfoTech Co., Ltd"
AS131519,Hisense
AS131521,Haitong Securities Company Limited
AS131522,Beijing Yovole Cloud Computing Technology Company Limited
AS131524,"Shanghai pujv Communication Technology co., Ltd."
AS131526,"XINJIANG BROADCAST NETWORK CO.,LTD"
AS131536,"Shanghai Great Wall Broadband Network Service Co., Ltd."
AS131539,"Ningbo Zhuo Zhi Innovation Network Technology Co., Ltd"
AS131541,APNIC 32-bit ASN block
AS131558,"Wal-mart (China) Investment Co., Ltd."
AS131562,"HUNAN CATV Network Group CO.,LTD."
AS131565,INNER MONGOLIA BROADCAST&TV NETWORK GROUP CORPORATION
AS131567,"Fnetlink International Co., Ltd."
AS131568,"Xiamen Kuaikuai Network Technology Co.,Ltd"
AS131574,Beijing Haiyu Technology Co. Ltd..
AS131577,"Wuhan Unifiber Communication Co., Ltd."
AS131578,Beijing Foreign Studies University
AS132019,"Earth network technology (Shanghai) Co., Ltd"
AS132147,"No.3,Shu-Ma Road"
AS132153,"No.3,Shu-Ma Road"
AS132203,"Tencent Building, Kejizhongyi Avenue"
AS132225,China Telecom
AS132437,China Telecom
AS132479,Xue Desen
AS132510,IDC ShanXi China Mobile communications corporation
AS132525,HeiLongJiang Mobile Communication Company Limited
AS132536,China Telecom
AS132553,China University of Petroleum (East China)
AS132623,Tsukeru Networks
AS132833,China Telecom
AS133111,"CERNET New Technology Co., Ltd"
AS133118,China Unicom IP network
AS133119,China Unicom IP network
AS133194,Connections Hub Technology (Shanghai) Ltd. Company
AS133219,NewMedia Express Pte Ltd
AS133465,Duke Kunshan University
AS133475,New York University ASN
AS133478,"Tencent Cloud Computing (Beijing) Co., Ltd"
AS133492,AIYUN
AS133512,"CERNET New Technology Co., Ltd"
AS133555,DOORPOST Limited
AS133774,China Telecom Fujian Fuzhou IDC
AS133775,China Telecom Xiamen
AS133776,China Telecom Quanzhou
AS133846,IMLONGHAO
AS133865,"Beijing IQIYI Science & Technology Co., Ltd."
AS133952,Zhengzhou longling technology ltd.
AS134169,"CERNEWTECH (Beijing) co.,LTD"
AS134238,CHINANET Jiangx province IDC network
AS134413,KMNIX LLC
AS134417,Nanjing
AS134419,China Telecom Beihai
AS134420,Chongqing Telecom
AS134421,Yunnan Telecom
AS134425,China Telecom
AS134477,Shaoxing Junruiyunjisuan Co Ltd
AS134488,CTJ's Global Network
AS134542,China Unicom IP network
AS134543,China Unicom Guangdong IP network
AS134578,UNION FU WAH DIGITAL TECHNOLOGY LIMITED
AS134756,CHINANET Nanjing Jishan IDC network
AS134760,"Shijiazhuang IDC network, CHINANET Hebei province"
AS134761,CHINANET NINGXIA province ZHONGWEI IDC network
AS134762,CHINANET Liaoning province Dalian MAN network
AS134763,CHINANET Guangdong province network
AS134764,CHINANET Guangdong province network
AS134765,CHINANET Yunnan province IDC1 network
