ASN,Name
AS10299,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.
AS10620,Telmex Colombia S.A.
AS11237,UNIVERSIDAD EAFIT
AS13489,UNE EPM TELECOMUNICACIONES S.A.
AS14080,Telmex Colombia S.A.
AS14187,SENCINET LATAM COLOMBIA S.A.
AS18678,INTERNEXA S.A. E.S.P
AS19429,ETB - Colombia
AS21578,Universidad autonoma de Bucaramanga
AS22368,TELEBUCARAMANGA S.A. E.S.P.
AS23246,gigaipnet.com Inc
AS262158,FUNDACION UNIVERSITARIA DEL ÃREA ANDINA
AS262160,UNIVERSIDAD ANTONIO NARINO
AS262186,TV AZTECA SUCURSAL COLOMBIA
AS262191,LIBERTY NETWORKS DE COLOMBIA S.A.S
AS262214,BANCO DE BOGOTA
AS262215,ITELKOM
AS262220,HV TELEVISION S.A.S
AS262226,Universidad Piloto de Colombia
AS262245,UNIVERSIDAD DE LA SABANA
AS262261,Banco GNB Sudameris
AS262928,DIRECTV COLOMBIA LTDA.
AS262929,TELCOBRAS SAS ESP
AS262930,IG Services S.A.S
AS263195,REDSI TELECOMUNICACIONES
AS263199,BANCO DAVIVIENDA S.A
AS263210,HV TELEVISION S.A.S
AS263680,THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.
AS263691,KUATRO COMUNICACIONES
AS263710,Corporación Universitaria Minuto de Dios
AS263719,POLICIA NACIONAL DE COLOMBIA
AS263731,BANCO FINANDINA S.A.
AS263798,"UFINET COLOMBIA, S. A."
AS263802,Genesis Data SAS
AS263804,FUNDACIÓN SOCIAL
AS263836,OIS TELECOMUNICACIONES SAS
AS264646,DOBLECLICK SOFTWARE E INGENERIA
AS264647,Universidad EIA
AS264648,Fondo Rotatorio del Ministerio de Relaciones Exteriores
AS264653,Universidad Catolica de Oriente
AS264659,Sol Cablevisin S.A.S E.S.P
AS264693,INSTITUCION UNIVERSITARIA VISION DE LAS AMERICAS
AS264714,A TODA HORA S.A
AS264718,UNIVERSIDAD SIMÃN BOLÃVAR
AS264762,EXPERIAN COLOMBIA S.A.
AS264782,"Universidad Pontificia Bolivariana, Seccional Bucaramanga"
AS264796,CABLEMAS SAS
AS264803,CORPORACION UNIVERSITARIA ADVENTISTA
AS264805,CAMARA DE COMERCIO DE MEDELLIN PARA ANTIOQUIA
AS264829,Teleperformance Colombia
AS264835,CORPORACION UNIVERSIDAD DE LA COSTA CUC
AS264842,IP DATA LTDA
AS265652,SISTEMAS Y COMPUTADORES S.A.
AS265682,JAIME TORRES C Y CIA SA
AS265688,SINERGY SOLUCIONES INTEGRALES
AS265693,Caldas Data Company LTDA
AS265696,Asociacin Red Universitaria de Alta Velocidad del Valle del Cauca
AS265705,HUGHES DE COLOMBIA S.A.S.
AS265833,COMUNICACIONES WIFI COLOMBIA S.A.S
AS265855,LEGON TELECOMUNICACIONES SAS
AS265861,SISTEMAS SATELITALES DE COLOMBIA SA ESP
AS26605,Universidad Industrial de Santander - UIS
AS26611,COMUNICACIÃN CELULAR S.A. COMCEL S.A.
AS26619,GTD COLOMBIA S.A.S
AS266669,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO
AS266698,INSITEL S.A.S.
AS266736,Universidad Tecnologica de Pereira
AS266737,UNIVERSIDAD DEL CAUCA
AS266747,ZONAMERICA USUARIO OPERADOR DE ZONA FRANCA S.A.S.
AS266774,HIZ TELECOMUNICACIONES S.A.S
AS266816,SIMECT GROUP REDES E INTERNET S.A.S
AS266832,CONEXIONES TECNOLOGICAS Y COMUNICACION S.A.S.
AS266848,UNIVERSIDAD MILITAR NUEVA GRANADA
AS266849,EQUINIX COLOMBIA INC. SUCURSAL COLOMBIA
AS266860,CONEXION DIGITAL EXPRESS S.A.S.
AS266862,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO
AS266868,THOMAS PROCESSING & SYSTEMS S.A.S
AS266869,Universidad de NariÃ±o
AS266877,COLOMBIATEL TELECOMUNICACIONES
AS266903,SUMMA - SERVICIOS CORPORATIVOS INTEGRALES S.A.S.
AS267678,AYA RADIOCOMUNICACIONES SAS
AS267682,WAO INTERNET S.A.S.
AS267691,ENTER TELECOMUNICACIONES BANDA ANCHA SAS
AS267708,SP SISTEMAS PALACIOS LTDA
AS267755,ASESORIAS Y SERVICIOS EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES S.A.S
AS267757,INTERLANS S.A.S
AS267777,FUTURE SOLUTIONS DEVELOPMENT SAS
AS267788,IP TECHNOLOGIES S.A.S.
AS267790,NET ISP S.A.S
AS267796,BETEL SOLUCIONES S.A.S
AS267799,TV ISLA LTDA
AS267807,PSI TELECOMUNICACIONES DE COLOMBIA LTDA
AS267810,INTERMEGAMUNDO PARTNERS S.A.S.
AS267823,ATENEA TELECOMUNICACIONES S.A.S
AS267832,VELONET SAS
AS267834,SERVYCOM COLOMBIA S.A.S
AS267841,GIGAS HOSTING COLOMBIA S.A.S.
AS267842,REDCON REDES Y CONEXIONES S.A.S.
AS267855,CMARA DE COMERCIO DE BOGOTA
AS267857,INTEGRA MULTISOLUTIONS S.A.S.
AS267869,CABLE Y TELECOMUNICACIONES DE COLOMBIA S.A.S (CABLETELCO)
AS267890,WALIX S.A.S.
AS267893,UNIVERSIDAD DEL MAGDALENA
AS267919,NET&COM LTDA.
AS267928,CORPORACIN AUTNOMA REGIONAL DE CUNDINAMARCA - CAR -
AS267929,GENIONET TELECOMUNICACIONES S.A.S
AS269735,KALU DE COLOMBIA SAS
AS269737,QUALITY NET JM S.A.S. ZOMAC
AS269742,AVIDTEL E.U.
AS269743,UNIMOS EMPRESA MUNICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.
AS269746,Tierranet S.A.S.
AS269755,ODATA COLOMBIA SAS
AS269777,GRUPO LUMA SAS
AS269796,JIREH WAN SAS
AS269804,SEPCOM COMUNICACIONES SAS
AS269822,COLOMBIA MAS TV S.A.S
AS269836,TERABYTE COMUNICACIONES S.A.S
AS269845,DEPARTAMENTO DE CALDAS
AS269855,WORLD CONNECTION
AS269867,"DEPARTAMENTO ADMINISTRATIVO DE CIENCIA, TECNOLOGIA E INNOVACION (COLCIENCIAS)"
AS269885,Universidad del Atlantico
AS269893,NETWORK CONNEXIONS SAS
AS269895,WIRELESS COLOMBIA S.A.S.
AS269900,SISTEMAS AVANZADOS EN TELECOMUNICACIONES S.A.S
AS269902,INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ ICETEX
AS269907,SISTEMAS COMPUTARIZADOS DEL HUILA S.A.S.
AS269937,POSITIVA COMPAÃIA DE SEGUROS S.A
AS269942,ASOCIACION COMUNITARIA TELEBOYACA
AS269954,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCIÃN DE IMPUESTOS Y ADUANAS NACIONALES
AS269972,UNIVERSIDAD DEL QUINDÍO
AS269977,HOSPITAL MILITAR CENTRAL
AS269980,K.G.B. TELECOMUNICACIONES S.A.S
AS269986,SERVICIOS PROFESIONALES WICOM S.A.S.
AS269990,INTERYA S.A.S
AS269991,STRATEGIC TECHNOLOGICAL DE COLOMBIA SAS (STRATECSA)
AS269999,UNIVERSIDAD MARIANA
AS270003,CALLTOPBX S.A.S. (VIVERCOM)
AS270018,LA PREVISORA S.A. COMPAÃIA DE SEGUROS
AS270020,T.V. SANV S A S (ALPAVISION HD)
AS270028,INSTITUTO NACIONAL DE CANCEROLOGÃA - EMPRESA SOCIAL DEL ESTADO
AS270030,"DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE, LA RECREACION, LA ACTIVIDAD FISICA Y EL APROVECHAMIENTO DEL"
AS270031,TELENET DIGITAL S.A.S
AS270035,CELSIA COLOMBIA S.A. E.S.P.
AS270046,FEDERACION COLOMBIANA DE MUNICIPIOS
AS270051,PLANET TELECOM COLOMBIA S.A.S
AS270057,DIRECTV COLOMBIA LTDA.
AS270062,FIBERNET TV SAS
AS270075,SUPER REDES S.A.S
AS270088,GUAJIRANET ISP S.A.S.
AS271773,PARTNERS TELECOM COLOMBIA SAS
AS271789,REGIONAL DE SERVICIOS DE TELECOMUNICACIONES ZOMAC S.A.S.
AS271792,ONRED SOLUCIONES DE CONECTIVIDAD S.A.S.
AS271802,ASOCIACION CANAL LOCAL DE TELEVISION DE MEDELLIN TELEMEDELLIN
AS271809,IGLESIA CRISTIANA DE LOS TESTIGOS DE JEHOVA
AS271818,INSTITUTO NACIONAL DE SALUD
AS271820,Empresa de Acueducto y Alcantarillado de Bogot - ESP
AS271825,BANCO AGRARIO DE COLOMBIA S.A.
AS271826,UAE CONTADURIA GENERAL DE LA NACION
AS271829,ZUMA COMUNICACIONES DE COLOMBIA SAS
AS271833,MUNICIPIO DE MEDELLIN
AS271844,UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS
AS271845,DEPARTAMENTO DEL META
AS271851,INTERREDES SOLUCIONES INTEGRALES SAS
AS271858,U.A.E. INSTITUTO NACIONAL DE METROLOGIA - INM
AS271859,FONDO NACIONAL DEL AHORRO - CARLOS LLERAS RESTREPO
AS271870,VALLE TELECOMUNICACIONES SAS
AS271890,HOSPITAL FEDERICO LLERAS ACOSTA DE IBAGUE TOLIMA - EMPRESA SOCIAL DEL ESTADO
AS271903,TELNET ISP S.A.S.
AS271908,BIG DATA S.A.S
AS271918,CONCEJO DE MEDELLN
AS271925,INSTITUCION UNIVERSITARIA DE ENVIGADO
AS271927,IPCOM SISTEMAS S.A.S.
AS271947,EXODO 20 FIBRA OPTICA S.A.S.
AS271952,UNICABLE H.D. SAS
AS271957,SOMOS NETWORKS COLOMBIA S.A.S. BIC
AS271992,ANTIOQUEA DE TELECOMUNICACIONES S.A.S.
AS271995,DEPARTAMENTO DE CUNDINAMARCA
AS272003,CONEXION FIBRA S.A.S
AS272007,PONTIFICIA UNIVERSIDAD JAVERIANA
AS272020,PEOPLE CONTACT S.A.S.
AS272024,EVERNET SAS
AS272043,OSNET SAS
AS272049,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS. INVEMAR.
AS272051,POLINET TELECOMUNICACIONES COLOMBIA SAS
AS272058,TEVECOM S.A.S
AS272060,FERMAC TELECOMUNICACIONES S.A.S
AS272076,FIBRA100 S.A.S.
AS272079,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES
AS272086,CENTRAL DE SERVICIOS DIGITALES S.A.S.
AS272115,MINISTERIO DE HACIENDA Y CREDITO PUBLICO
AS272125,SERVICIOS EN COMUNICACIONES Y REDES S.A.S.
AS272129,INTTEL GO SAS
AS272137,CONEXION COMERCIALIZACION DE SERVICIOS DE TELECOMUNICACIONES EMPALMERIA Y CONSTRUCCION DE REDES HFC
AS272139,@ DIGITAL GROUP S.A.S.
AS272146,GEDCOM S.A.S
AS272153,"CORPORACION DE CIENCIA Y TECNOLOGIA PARA EL DESARROLLO DE LA INDUSTRIA NAVAL, MARITIMA Y FLUVIAL. CO"
AS272156,WEB MASTER COLOMBIA SAS
AS272806,PIT COLOMBIA SAS
AS272812,FASTNET COMUNICACIONES ISP SAS
AS272829,TASKUS COLOMBIA SAS
AS272842,MUNICIPIO DE BUGA
AS272847,COMPUREDES PLANETA SAS
AS272851,GIGA FIBRA SAS
AS272859,WAYIRA NET S.A.S.
AS272869,INTERCOMM DE NARIÃO SAS
AS272875,COMUNICAMOS + TELECOMUNICACIONES SAS
AS272881,GLOBAL NET TV ZOMAC S.A.S
AS272884,LEOWISP SAS
AS272896,COMSSET COMUNICACIONES SAS
AS272904,ENVIASEO ESP
AS272909,MUNICIPIO DE RIONEGRO ANTIOQUIA
AS272926,RYO COMUNICACIONES S.A.S
AS272929,SINURED SOLUCIONES SAS
AS272930,INTERCOL WISP S.A.S.
AS272932,WISP TELECOMUNICACIONES S.A.S.
AS272934,DISTRITO TURISTICO Y CULTURAL DE CARTAGENA DE INDIAS
AS272937,TUNORTETV TELECOMUNICACIONES S.A.S.
AS272942,GLOBAL RAICES S.A.S
AS272949,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.
AS272950,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S. (GIGACABLE SAS)
AS272952,INSTITUTO TECNOLOGICO METROPOLITANO
AS272953,HS NETWORKS SAS
AS272958,INVERSIONES ZULUAGA SEJIN S.A.S.
