ASN,Name
AS11830,Instituto Costarricense de Electricidad y Telecom.
AS16973,T-Four Services S.A
AS262145,Cooperativa de Electrificacin Rural de San Carlos R.L. (Coopelesca R.L.)
AS262149,Sistemas Fratec S.A.
AS262152,Banco de Costa Rica
AS262171,Telecom Logistics S.A.
AS262184,GRUPO KONECTIVA LATAM S.A
AS262197,MILLICOM CABLE COSTA RICA S.A.
AS262202,"Telefonica de Costa Rica TC, SA"
AS262241,COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.
AS262252,"Servicios Technologicos Antares de Costa Rica, S.A."
AS263220,BANCO PROMERICA COSTA RICA
AS263232,ESPH.SA
AS263246,"Metrowireless Solutions de Costa Rica, SA"
AS263248,GCI SERVICE PROVIDER S.A.
AS263683,Universidad de Costa Rica
AS263698,TRANSDATELECOM S.A
AS263713,Server Lodge S.A.
AS263749,Junta Administrativa del Servicio Eléctrico Municipal de Cartago(JASEC)
AS263762,COOPERATIVA DE ELECTRIFICACIÃN RURAL DE GUANACASTE R.L.
AS263779,Academia Nacional de Ciencias
AS263785,COLUMBUS NETWORKS DE COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA
AS263796,NAVEGALO S.A.
AS263831,Contraloria General de la Republica
AS264615,INASOL INALMBRICA SOLUCIONES S.A.
AS264621,BLUE SAT SERVICIOS ADMINISTRADOS DE TELECOMUNICACIONES SA
AS264644,INFORMATION TECHNOLOGIES OUTSOURCING
AS264654,FIBERNET
AS264686,TECNOLOGIA Y SISTEMAS WILCASJI SOCIEDAD ANONIMA
AS264820,COREBASES S.A
AS265636,CoopeSantos R.L.
AS265873,FIBER TO THE HOME FTTH SA
AS266665,IDEAS GLORIS SOCIEDAD ANNIMA
AS266717,Academia Nacional de Ciencias
AS266719,Academia Nacional de Ciencias
AS266746,CONTINUM DATACENTER SOCIEDAD ANONIMA
AS266853,"Comunicaciones Metropolitanas METROCOM, S.A."
AS266875,WIMAX NETWORKS SRL
AS266907,DEWCOM SYSTEMS S.A
AS267692,UNIVERSIDAD NACIONAL
AS267698,COMUNICACION CONSTANTE S.A
AS267740,UNIVERSIDAD U LATINA SRL
AS267858,COMUNICACIONES TELEFONICAS TICOLINEA S.A
AS269787,ASOCIACION CAMARA DE INFOCOMUNICACION Y TECNOLOGIA
AS269841,"COMNET TELECOM CRP, S.A."
AS269884,ENTERPRISE WIRELESS SOLUTIONS SOCIEDAD DE RESPONSABILIDAD LIMITADA
AS270058,CABLE CENTRO SOCIEDAD ANONIMA
AS270087,COMUNICACION CONSTANTE S.A
AS271889,FIBRAENCASA SOCIEDAD ANONIMA
AS271891,UNIVERSIDAD ESTATAL A DISTANCIA
AS271960,MIRA NETWORKS SOCIEDAD DE RESPONSABILIDAD LIMITADA
AS272000,CR SIG SMART INVESTMENTS GROUP SOCIEDAD ANONIMA
AS272130,BAC LATAM SSC SOCIEDAD ANONIMA
AS273139,RED Y COMUNICACIONES REYCOM DEL SUR SOCIEDAD ANONIMA
AS273147,MUNICIPALIDAD DE CARRILLO GUANACASTE
AS273214,NAVEGALO S.A.
AS273830,CABLE CARIBE S.A.
AS273987,BANCO POPULAR Y DE DESARROLLO COMUNAL
AS274032,SERVICIOS FEMAROCA TV SOCIEDAD ANONIMA
AS274133,Tribunal Supremo de Elecciones
AS274239,RING CENTRALES DE COSTA RICA SOCIEDAD ANONIMA
AS27876,American Data Networks
AS27908,Tracity Inc.
AS28022,CRISP S.A.
AS28050,ADN Solutions S.A. (Rokru Int.)
AS28086,"Worldcom de Costa Rica, S.A."
AS28110,NAVEGALO S.A.
AS28317,NAVEGALO S.A.
AS3790,RADIOGRAFICA COSTARRICENSE
AS52228,Cable Tica
AS52263,Telecable Economico S.A.
AS52342,"Critical Colocation, S.A."
AS52356,R&H International Telecom Services SA.
AS52392,Grupo Telco de Centroamerica S.A.
AS52395,Multiflex Payment Services Ltda
AS52408,Itech Soluciones S.A
AS52423,Data Miners S.A. ( Racknation.cr )
AS52429,BAC LATAM SSC SOCIEDAD ANONIMA
AS52463,Banco Nacional de Costa Rica (BNCR)
AS52470,CONARE
AS61464,BADJELLY S.A.
AS61479,Dole Shared Services Limited
