ASN,Name
AS12417,Plus Hosting Grupa d.o.o.
AS12810,A1 Hrvatska d.o.o.
AS13046,Hrvatski Telekom d.d.
AS15719,CENTAR ZA VOZILA HRVATSKE D.D.
AS15994,A1 Hrvatska d.o.o.
AS16163,Agram Brokeri d.d.
AS1886,BT NET d.o.o. za trgovinu i usluge
AS196622,Hrvatska posta d.d.
AS197521,SPAN d.d.
AS197716,MULTI KOMUNIKACIJE d.o.o.
AS197823,Ministarstvo zdravstva
AS198548,Overseas Trade Co. Ltd. d.o.o.
AS198565,Germania Sport d.o.o.
AS198785,Sedmi Odjel d.o.o.
AS199244,Digital Realty Croatia Llc
AS199401,APIS IT d.o.o.
AS199433,Koncar-Elektronika i informatika d.d.
AS199565,O TELEKOMUNIKACIJE d.o.o.
AS199847,ARIA NET d.o.o.
AS200248,M Plus Croatia d.o.o.
AS200990,Hrvatski operator prijenosnog sustava d.d.
AS201563,cyber_Folks d.o.o
AS201850,SUPER SPORT d.o.o.
AS201987,EOLO Hrvatska d.d.
AS203254,KTV net d.o.o.
AS203455,Valsil d.o.o.
AS203463,ASEE SOLUTIONS d.o.o
AS203876,PLINACRO d.o.o.
AS203964,4Tel Telekomunikacije d.o.o.
AS204020,Fenice Telekom Grupa d.o.o.
AS204163,Hrvatske vode
AS204693,Nikola Garafolic
AS204808,Inflexus d.o.o.
AS205607,Zagrebacka banka d.d.
AS205714,Telemach Hrvatska d.o.o.
AS205774,TONET d.o.o.
AS206444,Dubravko Vinkovic
AS206575,DATABOX d.o.o.
AS206808,HEP-TELEKOMUNIKACIJE d.o.o.
AS206997,Hrvatska narodna banka
AS207102,Telensa d.o.o.
AS207348,Tehnoline Telekom d.o.o.
AS207514,Croatian Regulatory Authority for Network Industries
AS207517,Hrvatski autoklub
AS207541,Eco Net d.o.o.
AS207599,Orbico d.o.o.
AS208057,Filip informatika d.o.o.
AS208225,GlobalLogic Croatia d.o.o.
AS208764,FRANZ NET d.o.o.
AS208842,Frano Jelincic trading as Konektor Brac
AS208983,RTL Hrvatska d.o.o.
AS209174,ADMIRAL .HR d.o.o.
AS209434,Ericsson Nikola Tesla d.d.
AS209957,Infigo IS d.o.o.
AS210190,NetLogic d.o.o.
AS210485,General Logistics Systems Croatia d.o.o.
AS210763,Ured za podrsku d.o.o.
AS2108,Croatian Academic and Research Network
AS211133,KING ICT d.o.o.
AS211572,Vrbovec Wireless
AS211619,MAXKO d.o.o.
AS212025,Cukman Kresimir
AS212550,Sedmi Odjel d.o.o.
AS21323,Erste&Steiermarkische Bank d.d.
AS213405,ING SERVIS d.o.o.
AS213420,SL SOLUCIJE d.o.o.
AS213904,BUBA USLUGE d.o.o.
AS214057,FINA gotovinski servisi d.o.o.
AS214427,Netvis d.o.o.
AS214724,OPTIMAR ADRIA d.o.o.
AS215916,Josip Tisljar Matausic
AS216457,Pronect Technology LTD
AS25045,HANZA MEDIA d.o.o.
AS25277,"POSLuH d.o.o, za informaticke usluge i trgovinu"
AS25328,HEP-TELEKOMUNIKACIJE d.o.o.
AS25365,Tomsoft d.o.o.
AS25528,A1 Hrvatska d.o.o.
AS28766,Oglasnik d.o.o.
AS28837,Avola Solutions d.o.o.
AS28862,INA Industrija Nafte d.d.
AS29485,A1 Hrvatska d.o.o.
AS29647,HINA - Hrvatska Izvjestajna Novinska Agencija
AS30841,Istarska kreditna banka Umag d.d.
AS30905,Raiffeisenbank Austria d.d.
AS31012,A1 Hrvatska d.o.o.
AS31215,"The Republic of Croatia, Ministry of Finance"
AS34362,Terrakom d.o.o.
AS34519,VJESNIK d.d.
AS34522,Ministarstvo Obrane Republike Hrvatske
AS34540,mStart plus d.o.o.
AS34594,Telemach Hrvatska d.o.o.
AS34748,Telemach Hrvatska d.o.o.
AS35128,Hrvatska Postanska Banka d.d.
AS35225,Hrvatske ceste
AS35416,Croatia Airlines d.d.
AS35549,A1 Hrvatska d.o.o.
AS38937,VERSO ALTIMA d.o.o.
AS39416,Infoart d.o.o.
AS41121,Ministarstvo unutarnjih poslova Republike Hrvatske
AS41336,Financijska agencija
AS41452,Zracna luka Zagreb d.o.o.
AS41454,Optika Kabel TV d.o.o.
AS42488,AtlanticGrupa d.d.
AS42593,KONCAR - Digital d.o.o.
AS42679,IPT d.o.o.
AS43394,Nexi Croatia d.o.o. za karticno poslovanje
AS43804,IMENIK d.o.o
AS43953,mStart plus d.o.o.
AS44260,Jadrolinija
AS44306,OMONIA d.o.o.
AS44325,RealTime d.o.o.
AS44330,all eyes on screens d.o.o.
AS44377,MAGIC NET D.O.O.
AS44475,RAO d.o.o.
AS47107,Megatrend Poslovna Rjesenja d.o.o.
AS47948,24sata doo
AS48256,Croatia Osiguranje
AS48353,NOVA TV d.d.
AS48372,HANZA MEDIA d.o.o.
AS48567,MEDIKA D.D.
AS48621,AGRAM BANKA d.d.
AS48794,ADRIATIC OSIGURANJE d.d.
AS48797,Odasiljaci i veze d.o.o.
AS49498,Axians Hrvatska d.o.o.
AS50410,Hrvatske autoceste d.o.o.
AS51485,Blink d.o.o.
AS51577,Styria IT Solutions d.o.o.
AS51989,Grad Rijeka-Gradsko Vijece
AS52152,Privredna banka Zagreb d.d.
AS52172,Zagrebacki holding d.o.o.
AS5391,Hrvatski Telekom d.d.
AS57499,"Ministarstvo,mora,prometa i infrastrukture"
AS57868,Lucka uprava Ploce
AS57888,Telesat d.o.o.
AS58312,Zracna luka Split d.o.o.
AS59522,M3T Projekt d.o.o.
AS59786,OTP banka d.d.
AS59866,AKD d.o.o.
AS60762,IT Jedan d.o.o.
AS61094,CRATIS d.o.o.
AS61211,SETCOR d.o.o.
AS61995,AIRNET d.o.o. za telekomunikacije
AS62161,PRO-PING d.o.o.
AS62182,Barrage d.o.o.
AS62294,Data Target d.o.o.
AS6794,HRT - Croatian Radio Television
