ASN,Name
AS11081,United Telecommunication Services (UTS)
AS262162,Fatum Holding N.V
AS262164,NetPro N.V.
AS262238,Ennia Caribe Holding N.V.
AS26505,"E-Commerce Park, N.V."
AS265825,WORLDSTREAM LATAM B.V
AS266780,GROTE VREUGDE NV
AS272996,SINCERE NETWORKS B.V.
AS274122,Aquatel N.V.
AS274149,Dataplanet N.V.
AS27660,Curacao Telecom
AS27748,NetPro N.V.
AS28017,AMS-IX Caribbean
AS52165,Sportesla N.V.
AS52233,Columbus Communications Curacao NV
AS52301,Maduro & Curiels Bank
AS52344,Santa Barbara Utilities
AS52391,Curacao Technology Exchange N.V (CTEX)
AS60906,Playdom B.V.
AS61473,SFT Bank N.V.
