ASN,Name
AS12567,GAIJIN NETWORK LTD
AS15805,EPIC LTD
AS16229,Primetel PLC
AS196736,FXPRO FINANCIAL SERVICES LTD
AS196984,Hermes Airports Ltd
AS196992,IKOS CIF Ltd
AS197648,CLOUDLAYER8 LIMITED
AS198268,Nonagon Edge SF LTD
AS198336,Cyprus University of Technology
AS198461,BRILLIANT TELECOM LIMITED
AS198486,Magna Pars Internet Technologies LTD
AS198858,cTrader Ltd
AS198943,Electricity Authority of Cyprus
AS199053,Euronodes Ltd
AS199188,PrimeXM Services (Cyprus) Ltd
AS199206,NOTESCO FINANCIAL SERVICES LIMITED
AS199631,REDMAX TECHNOLOGIES LTD
AS200055,Penta Investments Limited
AS200173,AdGuard Software Limited
AS200367,Ntens LTD
AS200445,NCDC COMMUNICATIONS LIMITED
AS200477,EUCLID SERVICES LIMITED
AS200649,ANCORIA BANK LIMITED
AS201812,IL Technologies Group Limited
AS201860,MyTelco Ltd
AS201872,Redlimtech Limited
AS201978,Osbil Technology Ltd.
AS202117,Trading Point of Financials Instruments Ltd
AS202232,Odyssey Consultants Ltd
AS202448,MVPS LTD
AS202534,Trading Point of Financials Instruments Ltd
AS202954,Rapiddot Hosting Services Ltd
AS203206,A.C. NetFlash Technologies Ltd
AS203316,SOL Holdings Limited
AS203410,COLOBIX LTD
AS203598,SIMPLEX SOFTWARE & INTERNET SERVICES LTD
AS203663,Wargaming Group Limited
AS203690,RTB Marketing and Tech Services Ltd
AS203872,AdGuard Software Limited
AS203946,IQOPTION EUROPE LTD
AS204343,Compubyte Limited
AS204453,VASKIANI VENTURES LIMITED
AS204775,D.S.T.U. Telecom Limited
AS204915,Hostinger International Limited
AS204995,RTB Marketing and Tech Services Ltd
AS205186,MetaQuotes Ltd
AS205362,SKY WISP SERVICES LTD
AS205972,Hellenic Bank Public Company Ltd
AS206074,F.N.S. HOLDINGS LIMITED
AS206092,F.N.S. HOLDINGS LIMITED
AS206150,F.N.S. HOLDINGS LIMITED
AS206164,F.N.S. HOLDINGS LIMITED
AS206244,DutchTech Pcs Ltd
AS206502,RTB Marketing and Tech Services Ltd
AS206912,Superdach LTD
AS206962,HOSTING B2B LTD
AS207431,AUB Limited
AS207440,KEYRUNON LIMITED
AS207763,Campionlabs LTD
AS207971,CYPRUS ASSET MANAGEMENT COMPANY LIMITED
AS208040,RSS (RAPID SOFTWARE SYSTEMS) CYPRUS LTD
AS208425,Osbil Technology Ltd.
AS208495,Bolton Technologies LTD
AS208561,IQOPTION EUROPE LTD
AS208601,JCC Payment Systems LTD
AS209231,KEYRUNON LIMITED
AS209366,SEMrush CY LTD
AS209382,TEN MEDIA (CYPRUS) LTD
AS209617,University of Cyprus
AS209625,Redcluster LTD
AS209716,Andreas Economides trading as Ecotech Engineering
AS209772,Maiva Services Ltd
AS210366,Wargaming Group Limited
AS210800,cTrader Ltd
AS211072,MFI INVESTMENTS LIMITED
AS211239,DutchTech Pcs Ltd
AS211537,Pifagorus Ltd
AS211839,JMT Paso Limited
AS212200,EUCLID SERVICES LIMITED
AS212772,AdGuard Software Limited
AS213793,Open University of Cyprus
AS213936,VENSON LTD
AS214124,Intrahost Solutions Ltd
AS21427,NEAR EAST BANK LTD
AS214273,MetaQuotes Ltd
AS214504,Hostman LTD
AS214979,DIJUST DEVELOPMENT LTD
AS215202,SOL Holdings Limited
AS215918,SOL Holdings Limited
AS216151,S.S NETSHOP INTERNET SERVICES LTD
AS24655,BANK OF CYPRUS PUBLIC COMPANY LIMITED
AS25425,SCF MANAGEMENT SERVICES (CYPRUS) LTD
AS29171,N.C. NET-CONNECT (CY) LTD
AS29639,Eurocenter Games Ltd
AS30916,Primetel PLC
AS3268,University of Cyprus
AS34775,LVNET LTD
AS35432,Cablenet Communication Systems plc
AS39666,Redlimtech Limited
AS39935,NETSMART (CYPRUS) LTD
AS40809,PrimeXM Networks (Cyprus) Ltd
AS41697,Hellas Sat Consortium Ltd
AS42913,Redlimtech Limited
AS43779,KIBRIS VAKIFLAR BANKASI LTD
AS44364,LVNET LTD
AS44550,Techno G Limited
AS44559,IT HOSTLINE LTD
AS47583,Hostinger International Limited
AS48285,TRISOPTERUS LTD
AS48623,CYPRUS Development Bank Limited
AS49338,ALPHA BANK CYPRUS LTD
AS49921,FORMULA INVESTMENT HOUSE B.O.S LTD
AS50007,LVNET LTD
AS50233,Department of Information Technology Services (DITS)
AS50996,AMDOCS DEVELOPMENT LIMITED
AS51228,CENTRAL BANK CYPRUS LTD
AS51297,Exinity works (CY) LTD
AS51351,Classwire Limited
AS51606,Globico Limited
AS51609,AULMARK LIMITED
AS52080,M. SEREDA NETWORK LTD
AS5425,Primetel PLC
AS5504,Logosnet Services Limited
AS5531,SINUM CURRUS LTD
AS56418,Operationrange LTD
AS56528,BIG MMO GAME NETWORK LIMITED
AS56860,ASBANK LIMITED
AS58181,ULTRANEX LTD
AS59655,Exinity works (CY) LTD
AS61170,SmartLabs Holding Ltd
AS62187,CREDITWEST BANK LTD
AS6866,Cyprus Telecommunications Authority
AS8544,Primetel PLC
AS8639,Bilgi Teknolojileri ve Haberlesme Kurumu
