ASN,Name
AS12483,Den Danske Bank A/S
AS12834,Danfoss A/S
AS13057,A.P. MOLLER - MAERSK A/S
AS15516,DKTV A/S
AS15687,Aeven A/S
AS1835,Forskningsnettet - Danish network for Research and Education
AS196827,Conscia Danmark A/S
AS196976,team.blue Denmark A/S
AS196997,Uni-tel A/S
AS197190,Finalto A/S
AS197288,Norlys Digital A/S
AS197301,Parknet F.M.B.A.
AS197317,TDC Brands A/S
AS197495,One.com A/S
AS197601,Mark Holm
AS197660,QuickPay ApS
AS197861,Frej Mau Rye
AS197996,ONLINE GATEWAY ApS
AS198206,Rockwool A/S
AS198275,Thomas Flummer
AS198452,Kontainer A/S
AS198455,Danmarks Tekniske Universitet
AS198473,KIKKENBORG FIBER & IT ApS
AS198530,Haderslev Kommune
AS198531,Silkeborg Kommune
AS198608,Symbion A/S
AS198614,RockyNordic ApS
AS198622,Adform A/S
AS198631,Region Hovedstaden
AS198660,Martin Arendtsen
AS198794,Thomas Steen Rasmussen
AS198901,Ordbogen A/S
AS198903,Roskilde Kulturservice A/S
AS198944,TN HOSTING ApS
AS199175,Victor Pahuus Petersen
AS199289,Kobalt ApS
AS199374,Syddansk Erhvervsskole Odense-Vejle
AS199545,Stacket Group ApS
AS199718,G4S Security Services A/S
AS199795,SAC-IT A/S
AS199848,SYSTEMATIC A/S
AS200145,Aarhus Kommune
AS200292,3Shape A/S
AS200538,Rudersdal Kommune
AS200611,itslearning A/S
AS200629,Advania Danmark A/S
AS200885,kolding.net
AS200963,Gilcom Finans A/S
AS201055,Market Pay Nordic & Baltic ApS
AS201061,GITC ApS
AS201078,ECIT Solutions A/S
AS201130,Novo Nordisk A/S
AS201455,any.cloud A/S
AS201503,Enreach A/S
AS201505,Antenneforeningen Aarhus
AS201595,mono solutions ApS
AS201697,Tobias Fonsmark trading as Semaphor
AS201720,Fredensborg Kommune
AS201889,e-nettet A/S
AS201911,Anders T. Ballegaard
AS201912,Glostrup Kommune
AS201926,VK DATA ApS
AS201960,Gorrissen Federspiel Advokatpartnerselskab
AS202119,Malthe Kragh Tankred
AS202361,Ask Selmer
AS202377,GlobalConnect A/S
AS202567,Secure Data Center Aps
AS202892,Bestseller A/S
AS202914,Adeo Datacenter ApS
AS203042,Skelduz ApS
AS203243,TV2/Nord
AS203288,WebLager A/S
AS203581,Region Hovedstaden
AS203595,KJELDSEN.IT ApS
AS203644,EG Danmark A/S
AS203646,Energi Fyn Bredbaand A/S
AS203825,Copenhagen Airports A/S
AS203953,Hiper A/S
AS204032,Unity Technologies ApS
AS204141,K-Net Forening
AS204151,EWII Bredbaand A/S
AS204171,TD-K A/S
AS204274,AURA Fiber A/S
AS204290,Egmont Administration A/S
AS204425,Dansk Miljoe & Energistyring A/S
AS204575,TECHCOLLEGE S/I
AS204607,JN DATA A/S
AS204652,team.blue Denmark A/S
AS204793,FORENINGEN KOLLEGIENET ODENSE
AS204866,Microdata Aps
AS204922,Dustin A/S
AS204988,TDH-Net ApS
AS205116,KRISTELIG FAGFORENING
AS205144,Dansk Arbejdsgiverforening
AS205206,Netsite A/S
AS205235,Labitat
