ASN,Name
AS12066,ALTICE DOMINICANA S.A.
AS207036,Ariel Antigua
AS262148,Universidad APEC
AS262178,Pontificia Universidad Catolica Madre y Maestra (PUCMM)
AS262221,ESTRELA TELECOM
AS262247,Banco Popular Dominicano
AS262931,"Servicios De Ti Dominicana Sc,Sas"
AS263212,NETWORK ACCESS POINT DEL CARIBE - DR
AS263216,TELEIMAGEN SATELITAL
AS263689,"Telecable Central, S.A."
AS263723,DRL MANUFACTURING SPM
AS263730,TELECABLE SABANETA SRL
AS263748,CONSORCIO DE TARJETAS DOMINICANAS S.A
AS264605,TELEVIADUCTO S.R.L.
AS264750,TELEOPERADORA DEL NORDESTE S.R.L
AS264817,REFINERIA DOMINICANA DE PETROLEO PDV S.A
AS264821,COMCAST-SRL
AS265695,"ELIAS COMUNICACIONES, SRL"
AS265721,Cable Atlantico SRL
AS266709,Oficina Presidencial de la Tecnologas de Informacin y Comunicacin
AS266730,CENTRAL SOLUTIONS TECHNOLOGY S.R.L.
AS266734,"TELEVISION POR CABLE, S. R. L."
AS266798,UNE COMUNICACIONES SRL
AS266815,"Cable Del Norte , S.R.L"
AS267700,"GUESTCHOICE TV RD, S.R.L"
AS267705,"ORBIT CABLE, S.A."
AS267838,GREENLINK SRL
AS267845,Exito Vision Cable S.A.S
AS267846,"Cable Onda Oriental, SRL"
AS267853,Silver Lake Investments (Silver Cable)
AS267862,"CABLEVISION DEL CARIBE, EIRL"
AS267896,Direccion General De Impuestos Internos
AS269816,"TELE MON, S.R.L."
AS269868,"WIFEET, SRL"
AS269908,JOSE DIGITAL MEDIA DOMINICANA SRL
AS269921,"TELECABLE CENTRAL PUERTO PLATA PP, S.R.L"
AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L"
AS269950,"CABLE VISION E. GONZALEZ, S.R.L."
AS269965,LIGHTWAVE S.R.L
AS269983,"ESQUIRE CORPORATE SERVICES, S.R.L."
AS270098,"WI-FI DOMINICANA, E.I.R.L."
AS271799,"TELERY NETWORKS, S.R.L"
AS271804,CABLEMAX C.X.A
AS271806,"MR Networking, SRL"
AS271808,"MONTECRISTI CABLE VISION, SRL"
AS271819,"RUDDY GONZALEZ DIGITAL MEDIA DOMINICANA, RGDIMAX, S.R.L"
AS271898,MKTEL SRL
AS271916,TELECABLE BANILEJO S.R.L
AS271930,"XTERCOM, S.R.L."
AS271931,"MAO CABLE VISION, S.R.L."
AS271932,FUN TECHNOLOGY S.R.L
AS271934,HDCO GROUP SRL
AS271935,AIRTIME TECHNOLOGY SRL
AS271940,"BANCO DE RESERVAS DE LA REPUBLICA DOMINICANA BANCO DE SERVICIOS MULTIPLES, S.A"
AS271942,"CV HOTSPOT, S.R.L."
AS271943,"WHITETELECOM, S.R.L."
AS271945,AZTECA TELECOM S.R.L.
AS271950,CABLEVISION JARABACOA SRL
AS271956,GRUPO ARMARFA SRL
AS271959,BANCO MULTIPLE BHD LEON SA
AS271965,ORBITEK SRL
AS271968,"CENTRIC MOBILITY (CEMO), S.R.L"
AS271978,LINARES TECHNOLOGY SRL
AS271979,INSTALACION DE REDES DE TELECOMUNICACIONES SRL (IREDETCOM)
AS271982,"TELEVISION, PUNTO I COMUNICACIONES, S.R.L."
AS271988,ISRAEL DE LOS SANTOS WIFI SRL
AS271989,WALCOM ES LA RED WMPP SRL
AS271996,WILLNET SRL
AS272011,TELEMARCH S.R.L
AS272015,"INVERSIONES BONAFER, SRL"
AS272027,"LAUAM MEGARED TELECOM, S.R.L."
AS272040,SERVICIOS NUÑEZ EIRL
AS272054,"MUNDO1TELECOM, S.R.L."
AS272057,DERIVALNET Y COMUNICACIONES SRL
AS272073,SILKGLOBAL DOMINICANA SRL
AS272082,JARM TELECOMUNICACIONES SRL
AS272083,"REYNOSO, S.R.L."
AS272095,"AWD NETWORKS, S.R.L."
AS272110,"FENIX NETWORKS, S.R.L."
AS272112,"TELECABLE DOMINICANO, S.A."
AS272120,SERVICIOS INTERCONEXION INALAMBRICA ATENEA SRL
AS272123,"WORLD CABLE RED, S.R.L."
AS272132,"TELE-COTUI, S.R.L."
AS272138,RENOCA GROUP SRL
AS272148,"GRUPO CAS-PK, S.R.L."
AS272149,DLD SERVICIO SRL
