ASN,Name
AS14522,SERVICIOS DE TELECOMUNICACIONES SETEL S.A. (XTRIM EC)
AS19114,Otecel S.A.
AS19582,GRUPO BRAVCO
AS22724,PUNTONET S.A.
AS23031,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.
AS23487,CONECEL
AS262154,Comm & Net S.A.
AS262169,SOLINTELSA
AS262212,Escuela Politecnica Nacional
AS262223,NECUSOFT CIA. LTDA. (NETTPLUS)
AS262257,Banco Bolivariano C.A.
AS263174,NOVANET
AS263238,Eliana Vanessa Morocho Oña
AS263243,BRIDGE TELECOM S.A.
AS263245,CINECABLE TV
AS263738,GRUPO EL COMERCIO
AS263792,IN.PLANET S. A
AS263805,SOLUCIONES AVANZADAS INFORMATICAS Y TELECOMUNICACIONES SAITEL
AS264668,NEGOCIOS Y TELEFONIA NEDETEL S.A.
AS264744,WIFITELECOM
AS264746,MarÃ­a Teresa Vivar (CITYCOM)
AS264788,Telconet S.A
AS264801,BANCO GUAYAQUIL
AS264824,COMPAÃIA ELECTROMECANICOS PARA EL DESARROLLO CSED SA
AS264825,TELEALFACOM S.A.S.
AS264826,POWERNET SD CIA. LTDA.
AS264836,Asociacin de Proveedores de Servicio de Valor Agregado(APROSVA)
AS264841,SYSTRAY S.A
AS264851,IFOTONCORP S.A.
AS265629,FIBERNET
AS265632,ANGEL BENIGNO CONDOLO GUAYA
AS265657,SERVICABLE CIA. LTDA.
AS265711,KOLVECH S.A. (TELECOMVAS)
AS265724,Teneda Corporacin CIA. LTDA
AS265734,The Diners Club del Ecuador C. LTDA
AS265762,CASTRO TELLO MARCO IVN (CONEXIN GLOBAL)
AS265775,AUSTRONET
AS265787,MERCREDI S.A.
AS265799,EXPERTSERVI S.A.
AS265815,ESMONSA S.A.
AS265838,TELECOM
AS265863,JEA.PC COMUNICACIONES S.A.
AS26613,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
AS266664,ADEATEL S.A
AS266667,TECHNOLOGY EQUINOCCIAL TECCIAL S.A.
AS266672,SYSNOVELLTEL S.A
AS266679,ORBINET
AS266681,ZORRILLA SOLEDISPA JUAN JOBINO (JJ COMP)
AS266728,INTER&INTER S.A.
AS266756,EBESTPHONE ECUADOR S.A.
AS266783,Anibal Humberto Enriquez Moncayo(Comunicate)
AS266790,GARCÃA VILLAMAR ASOCIADOS CIA. LTDA. (MUNDO WIRELESS)
AS266802,CODGREC S.A.
AS266812,CONEXIONTOTAL S.A.
AS266834,INSTALACION DE SISTEMAS EN REDES INSYSRED S.A.
AS266839,QUIMBITA PANCHI LUIS ANIBAL (SISCOM)
AS266856,BRAVO BARAHONA WILLIAM ALBERTO(NUBESMART)
AS266867,WILSON FERNANDO GÃMEZ BARRIONUEVO
AS266880,BENALCAZAR ROMERO LEONARDO ISRAEL (MAXXNET)
AS266894,LOJASYSTEM C.A.
AS266904,ALCIVAR ESPIN DANNY ALEXANDER (OptiCom)
AS267684,VISIONMAGICA SOCIEDAD ANONIMA
AS267699,CUBOTELECOM CIA. LTDA.
AS267756,TRANSCORPORACION S.A.
AS267778,LAGONET-TV CIA. LTDA.
AS267787,MENDOZA MENDOZA CARLOS ALFREDO(TECGLO TECNOLOGIA GLOBAL)
AS267849,RECOMDATA CIA.LTDA.
AS267881,SAOREDES CIA. LTDA. (SAOHOSTING)
AS267907,CORPORACIÃN FAVORITA C.A.
AS267916,AGUILAR AGUILAR ASOCIADOS Y COMPAIA
AS267924,BRAVO MEDRANO JOSE LUIS (ECUABIT INTERNET)
AS267931,BANCO DEL PACIFICO S.A.
AS269728,DECERET CIA. LTDA.
AS269761,CAVNET S.A.
AS269790,UNIVERSIDAD CATLICA DE CUENCA
AS269791,ESCUELA SUPERIOR POLITÃCNICA DE CHIMBORAZO
AS269792,UNIVERSIDAD TECNOLGICA INDOAMERICA
AS269799,GENOVEZ TOBAR CARLOS ANDRES (NOCTELECOM)
AS269805,MEDIA COMMERCE MEDCOMM S.A
AS269806,PEREZ TITO JULIO CESAR(FASTNETT)
AS269825,UNIVERSIDAD DE LAS AMERICAS
AS269831,SERVICIO DE TELECOMUNICACIONES OROBLA S. A
AS269838,MENA CORNEJO HECTOR ELIAS (TECMESH)
AS269844,UNIVERSIDAD NACIONAL DEL CHIMBORAZO
AS269852,LOJANOS TELECOMUNICACIONES (ASTRONETV) CIA. LTDA
AS269853,CBVISION S.A.
AS269935,TAPIA FLORES OSCAR ALDO (FIBRANET ZAMORA)
AS269936,TELEVISION MONTALVO VISION MONVISION S.A.
AS269941,Universidad Particular de Especialidades Espíritu Santo
AS269953,SMART TECHNOLOGY S.A. TECHSMART
AS269955,ALFATV CABLE S.A
AS269992,Universidad de Guayaquil
AS270009,GUALAN JAPON LUIS JOAQUIN (SARAGUROSNET)
AS270016,ALAVA MACAS GALO ALFREDO (AIRNET)
AS270049,MARVICNET CIA LTDA
AS270071,SIGNAL-TELECOM TELECOMUNICACIONES & T.I CIA.LTDA.
AS270074,UNIVERSIDAD DE LAS ARTES
AS270084,BRIDGE COMUNICACIONES S.A. BRIDGECOMTEL
AS270092,ZAMBRANO CARREÃO HUMBERTO ALEJANDRO (PROGRAMAX)
AS270095,SALAZAR GUEVARA ELVIS XAVIER (CABLE MAGICO)
AS270100,DRIVERNET S.A.
AS271785,TELECOMUNICACIONES NETHOME CIA.LTDA.
AS271795,SERVITELCONET CIA. LTDA.
AS271821,UNIVERSIDAD TECNICA DEL NORTE
AS271822,INNO FIBER INFI CIA LTDA
AS271837,DESPLIEGUE COMPUTACIONAL E INTERNET DCNET S.A.
AS271840,JOFRE HOMERO PACHECO PROAO
AS271873,ZAIGOVER S.A
AS271874,SERVITRACTOR S.A.
AS271882,LLANOS ALOMIA LIGIA VERONICA
AS271911,Gavilanes ParreÃ±o Irene Del RocÃ­o
AS271923,MARIN ROJAS DARWIN MANFREDO (ZOENET)
AS271929,INTERCOMMERCE S.A.
AS271933,AIRMAXTELECOM SOLUCIONES TECNOLOGICAS S.A.
AS271936,SERVICIOS DE TELECOMUNICACIONES ATVCABLE CIA. LTDA.
AS271941,NUÑEZ DE LA ROSA RICHARD DALTON (ECONTEL ECUADOR)
AS271967,TURBONET S.A.
AS271975,CABRERA VELEZ ELIO DAVID
AS271977,SOLORZANO BRAVO ELIAS JOSE (CONECTADOS-ECUADOR)
AS272019,NETDIGITAL S.A.
AS272032,SITERTL CIA. LTDA.
AS272034,ECUAFIBRA S.A.
AS272067,Universidad Estatal de Bolivar
AS272075,APOLO CHAMBA DAYRI NATHALIA (RED PLUS)
AS272080,Universidad Estatal de Milagro
AS272094,OPTILINK CIA LTDA
AS272097,TELEVISION POR CABLE COCATEVE S.A. (GRUPO COCAVISION)
AS272101,COMERCIALIZADORA MACAS CALDERON CONECTATE CIA. LTDA
AS272121,MONTAÃO VELEZ MARIA TERESA (VISIONNET)
AS272140,UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY
AS272147,ZAMBRANO INTRIAGO RICHARD EDISSON (ZAM NET)
AS272811,PAALLNET CIA LTDA
AS272817,SPEED FIBER SPEEDFIBER CIA.LTDA.
AS272819,BOSCONET S.A.S.
AS272823,SILVA CORRALES DANIEL FERNANDO (SMARTNET)
AS272827,AMMAZONTVNET CIA.LTDA.
AS272877,TVDATOS S.C.C
AS272883,BRITEL S.A.
AS272889,URDATEL S.A.S.
AS272890,MASTER TECHNOLOGY CIA. LTDA.
AS272914,FAJARDO PILICITA NESTOR MARCELO (JAKFIBER)
AS272936,CIDEMS CIA.LTDA.
AS272939,TELECOMNET S.A.
AS272954,VUELATECHNOLOGY S.A.S.
AS272966,VELOCITY-COORPORATION S.A.S.
AS272972,MARTINEZ JURADO EVELIN PAOLA (STALSOFT TYS)
AS272998,WORLD SISTEM TELECOM WST S.A.S.
AS273003,OndÃº Soluciones TecnolÃ³gicas S.A.
AS273034,COMPAIA DE TELECOMUNICACIONES LEON & RODAS LR-COMPTEL S.A.
AS273035,CORPORACIN LORIATELECOM S.A.S.
AS273040,DFSCOM DARWIN SALGADO COMUNICACIONES CIA.LTDA.
AS273068,DIAZ TORO JAVIER ANDRES (ECUARED PCTRONIC)
AS273081,ISP INTERNETLACRUZ S.A.S.
AS273098,BARREIRO MENENDEZ SILVIA BEATRIZ (CABLE HOGAR)
AS273123,CRAMCOMNET CIA.LTDA.
AS273127,VITERI HERNANDEZ CHRYSTIAN PATRICIO
AS273140,TELECOMUNICACIONES DEL ORIENTE TELECORPVP S.A.S.
AS273141,MICARMITA S.A.S
AS273142,SERVICIOS DE TELCOMUNICACIONES LATEVECOM CIA LTDA
AS273163,CABASCANGO FARINANGO MARIA ERLINDA
AS273167,WIGO S.A.S.
AS273177,TELECOM3000 S.A.
AS273190,VASQUEZ BURGOS LIVINGTON
AS273195,TONATO TIRADO VICTOR HUGO (INTERPLUS)
AS273196,SISNETEL FIBER EC S.A.
AS273219,EQUTECHS S.A.
AS273229,SERVICIOS&TELECOMUNICACIONES TEUNE S.A.
AS273233,URBANO URBANO LUCIA DEL SOCORRO (FIBERCOM ECUADOR)
AS273832,GAVILANEZ PROAÃO PAOLA ALEXANDRA
AS273839,SMARTCONEXION CIA.LTDA.
AS273855,CAIZA ELBAY SUSANA IVETH
AS273858,RICACHI ALVAREZ JUAN CARLOS (Fast Systems)
AS273877,TELECOMUNICACIONES NETHOMEMANTA S.A.S.
AS273883,MEGATEL-EC S.A.
AS273923,SPEEDNET-EC S.A.
AS273944,TVDATOSGROUP S.A.S.
AS273951,PASTAZATV S.A.
AS273966,FIBERGO-TELECOM S.A.
AS274004,NAVARRETE HIDALGO EDISON JESUS
AS274055,SOLORZANO ANDRADE RONALD JAVIER(Meganet Internet)
AS274063,RIMTEL S.A.S.
AS274106,PUNTO DE INTERCAMBIO DE TRAFICO PITLATITUD0 S.A.S.
AS274144,TELINCOM S.A.
AS274169,TELECOMUNICACIONES SIERRA NETWORKS SIERRANET CIA.LTDA.
AS274176,CHICAIZA NAULA MARIA UMBELINA (Mega Compu ISP)
AS274183,BP DATA-COMMUNICATIONS S.A.S.
