ASN,Name
AS207740,Youssef Hamed
AS20928,The Noor Group
AS24835,Vodafone Data
AS24863,Link Egypt (Link.NET)
AS25364,Egypt Cyber Center aka ECC Solutions
AS25576,AFMIC
AS2561,Egyptian Universities Network (EUN)
AS30993,Egypt Centers
AS30995,Vodafone Data
AS31065,Ministry of Communications and Information Technology
AS31619,City Stars
AS327838,Egypt Linx for Communication Services
AS327846,Wadi Degla Investments(WDI)
AS328011,Children Cancer Hospital - Foundation 57357
AS328052,Orascom Construction
AS328067,E.G.I.T. for Technology Services
AS328105,"The International Educational Systems and its branch Modern English School, Cairo"
AS328299,Attijariwafa Bank Egypt S.A.E
AS328308,L'Azurde Company For Jewelry
AS328405,Link Datacenter For Data Circulation
AS328430,Fawry for Banking and Electronic Payment Technology Services (S.A.E)
AS328484,TBE Egypt for Payment Solutions and Services S.A.E
AS328553,Bank Misr S.A.E
AS328587,Ministry of Communications and Information Technology
AS328645,The Egyptian Stock Exchange
AS328654,Fixed Solutions
AS328762,Mansoura University
AS328786,valU
AS328794,Vodafone International Services L.L.C
AS328876,Unipak Nile Ltd
AS328927,Fixed Solutions
AS328972,Geidea Technology
AS329114,Halan for technology and services
AS329131,National Bank of Kuwait (NBK) - Egypt - S.A.E
AS329132,National Company for Telecommunication Services
AS329325,Maxko for Gaming Development
AS329336,WhiTech
AS329352,IP4Solutions
AS329359,Agility Infrastructure a limited liability company
AS329397,GlobeMed Egypt
AS329431,Redsea Sahara Travel
AS329520,Arpu Telecommunication Services S.A.E
AS329720,Thndr Securities Brokerage
AS33778,Mantrac Group
AS36870,ITWorx
AS36906,The Egyptian Operating Company for Natural Gas Liquefaction Projects SAE
AS36929,Central Bank of Egypt
AS36935,Vodafone Data
AS36978,EFG Hermes Holding
AS36990,ALKAN Telecom
AS36992,ETISALAT MISR
AS37003,Xceed Contact Center
AS37031,MISR Information Services and Trading
AS37066,Ministry of Foreign Affairs
AS37069,The Egyptian Company for Mobile Services (Mobinil)
AS37091,Al Ahli Bank of Kuwait Egypt S.A.E
AS37112,Dar Al-Handasah
AS37191,Raya Holding
AS37193,e-finance
AS37252,GB Auto
AS37279,Egyptian Banks Company
AS37339,Network International Payment Services
AS37348,Cairo American College
AS37437,CI Capital Holding
AS37444,SCCT
AS37583,Credit Agricole Egypt
AS37585,Qatar National Bank Al Ahli (QNB AA)
AS37664,Raya Contact Center
AS6127,IDSC
AS6879,ENSTINET
AS8452,TE-AS
AS8524,The American University in Cairo (AUC)
