ASN,Name
AS12127,Telefonica Moviles El Salvador S.A. de C.V.
AS16592,ICOMSA S.A. de C.V.
AS16906,"El Salvador Network, S. A."
AS17079,Telemovil El Salvador S.A.
AS262179,Telenetwork de El Salvador
AS262199,LIBERTY NETWORKS EL SALVADOR SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE
AS262204,Telecomunicaciones de America S.A. de C.V.
AS263695,BANCO AGRICOLA
AS263783,Telefonica Moviles El Salvador S.A. de C.V.
AS264635,CONECTIVE S.A. DE C.V.
AS264662,Universidad Don Bosco
AS264720,UNIVERSIDAD DE EL SALVADOR
AS264813,Outsourcing Services International
AS265650,Next Generation S.A. DE C.V.
AS265780,"FLYNET BUSINESS AND SYSTEM, SA de CV"
AS265811,UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS
AS265840,SOCIAL MARKETING AND PROMOTIONS S.A. DE C.V.
AS266686,SISCOMP NETWORK S.A de C.V(Ego-Internet)
AS266893,"MULTIMEDIA NETWORK, S.A. DE C.V."
AS267709,"NABA COM, S.A. DE C.V."
AS267752,"INTERNET TELECOMUNICATION COMPANY DE GUATEMALA S.A. , SUCURSAL EL SALVADOR"
AS267768,"TELECAM CIENTO CUARENTA, S.A de C.V."
AS267860,UNIVERSIDAD DE ORIENTE
AS269734,CABLE VISIÓN POR SATÉLITE S.A. DE C.V.
AS269769,SERVICABLE S.A. DE C.V.
AS269815,"RED 4G, SA DE CV"
AS269927,JORGE ALFREDO ARGUETA FLORES (OMNIVISION-OMNICOM)
AS271948,"COATL, S.A. de C.V."
AS271966,"Red Avanzada de Investigacin, Ciencia y Educacin Salvadorea"
AS273171,"SERVICIOS Y ADMINISTRACIÃN DE DATOS Y VIDEO, SOCIEDAD ANONIMA DE CAPITAL VARIABLE"
AS273827,"TECNNITEL, S.A. DE C.V."
AS273859,"REDES LITORALES, S.A. DE C.V."
AS274006,"DATA TRUST, SOCIEDAD ANONIMA DE CAPITAL VARIABLE"
AS274283,SERVICAVISA S.A. de C.V.
AS27708,GCA Telecom
AS27773,MILLICOM CABLE EL SALVADOR S.A. DE C.V.
AS27785,"BANCO CUSCATLAN SV, S.A."
AS27900,"PLATINUM ENTERPRISES, S.A. DE C.V."
AS27903,DIGICEL S.A. DE C.V.
AS61502,UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÃAS
