ASN,Name
AS11967,Hop179 OU
AS12293,Xvid Services OU
AS12757,IPTRON.NET OU
AS16255,IridiumProvider OU
AS196743,OU Interframe
AS196785,ERGO Insurance SE
AS197060,Prominion OU
AS197289,AS HELMES
AS197517,Salva Kindlustuse AS
AS197611,AS LHV Pank
AS197974,Vladislav Nitsenko
AS198006,Bear Metal OU
AS198068,P.A.G.M. OU
AS198379,AS Atea
AS198632,Telia Eesti AS
AS198776,EDELARAUDTEE AS
AS198780,27363 Securities OU
AS198966,Fill Ltd.
AS199328,Ekspress Grupp AS
AS199800,OIXIO IT AS
AS199867,P.A.G.M. OU
AS200326,Randhost OU
AS200396,EpicQuestGames OU
AS200804,OU NORTHSIDE SOLUTIONS
AS201273,cubequadrat OU
AS201601,Astrec Data OU
AS201613,22nd Century Dev OU
AS201906,Eesti Post AS
AS202063,Admiral Markets AS
AS202225,Helionet OU
AS202376,Arvid Logicum OU
AS202413,GLEB DIDENCO
AS202480,AS Tallinna Sadam
AS202635,Server Farm LLC
AS202652,Elevi AS
AS202705,Pavali Technology OU
AS202759,RJ Network OU
AS203021,Tervisekassa
AS203065,eu-LISA
AS203081,Geenet OY
AS203273,NetCrafters OU
AS203311,NATO Cooperative Cyber Defence Centre of Excellence
AS203701,RocketConnect OU
AS203906,Sihtasutus Pohja-Eesti Regionaalhaigla
AS204072,Quickport OU
AS204411,Bigbank AS
AS204595,UUS PROGRAMM
AS204671,Habr Europe OU
AS205346,Lennuliiklusteeninduse AS
AS205504,Skylink Networking Ltd
AS205621,Zentria OU
AS205646,Newtel Company OU
AS205930,Virtuaal.com OU
AS205950,INFONET DC OY
AS206714,SK ID Solutions AS
AS206804,EstNOC OU
AS206844,Riigi Info- ja Kommunikatsioonitehnoloogia Keskus
AS206919,Carizma Invest OU
AS207083,HOSTSLIM OU
AS207254,AS Postimees Grupp
AS207522,Mygaru OU Private Limited Company
AS207568,Teleone OU
AS207819,NOVAMETRO OU
AS207872,OU CSC Telecom Estonia
AS208076,Infra1 OU
AS208283,Cybernetica AS
AS208338,Cybernetica AS
AS208367,CSpace Hostings OU
AS208440,GmhostGrupp OU
AS208446,Spacebear OU
AS208673,ESTOXY OU
AS208834,Coop Pank AS
AS209153,Arvid Logicum OU
AS20948,Skylink Networking Ltd
AS209537,Vying Technologies OU
AS209554,ISIF OU
AS209587,AS Eesti Loto
AS209722,Tryware OU
AS209798,Eesti Avaliku Sektori Andmeside MTU
AS209842,CybExer Technologies OU
AS209916,viasys OU
AS210002,SmartTel Plus OU
AS210283,DIGIFINANCE OU
AS210302,Pipedrive OU
AS210434,nets360 OU
AS210661,ZMTO Technologies OU
AS210671,Virtuaalinfra OU
AS210734,IPHOSTER OU
AS211156,Eleks Holding OU
AS211328,Nets Estonia AS
AS211451,MCF Group Estonia OU
AS21147,If P&C Insurance AS
AS211494,Narayana OU
AS212649,GLOWING TECHNOLOGIES SECURITY OU
AS213172,Health and Welfare Information Systems
AS213267,Luminor Bank AS
AS213410,OakHost OU
AS213459,Snowd Security OU
AS213757,Impressive Solutions OU
AS214132,3NV OU
AS214279,DASABO OU
AS214630,Kyberorg IT OU
AS214693,Fusiora OU
AS214776,Teliqon Communications OU
AS214790,Brainoza OU
AS214919,Kabat OU
AS215447,Primend OU
AS215467,Skhron OU
AS215955,ALTEASYSTEMS OU
AS216253,Interhive OU
AS216263,Radicenter OU
AS216408,Tavid AS
AS24984,Luminor Bank AS
AS2586,Elisa Eesti AS
AS2876,Gheorghiu Enterprises OU
AS31081,National Audit Office of Estonia
AS3130,RGnet OU
AS31365,NGI2 Technologies OU
AS31605,Titanium OU
AS3204,xTom OU
AS3221,Haridus- ja Teadusministeerium
AS3249,Telia Eesti AS
AS3332,Swedbank AS
AS34702,Aktsiaselts WaveCom
AS34729,Veho Baltics OU
AS35713,Careerum OU
AS39038,Kernel AS
AS3920,PUSHPKT OU
AS3927,RGnet OU
AS39632,Eesti Pank
AS39823,Compic OU
AS4128,RGnet OU
AS42012,Estonian Public Broadcasting
AS42016,AS Tallinna Lennujaam
AS42300,TOP CONNECT OU
AS42380,Ergo Insurance SE
AS42472,AS Smarten Logistics
AS42474,SmartApe OU
AS43682,AS SEB Pank
AS43881,Revnetek Systems OU
AS43883,Citynet OU
AS43937,Playtech Estonia OU
AS43958,AS Tallink Grupp
AS43993,IronTelecom OU
AS44794,DNScale OU
AS44839,Telegrupp AS
AS44929,Nord Connect OU
AS47294,Nomadl OU
AS47525,AS TBB pank
AS47713,EUROPEAN NETWORKS OY
AS47736,"IT and Development Center of Ministry of Interior, Estonia"
AS48539,Bifrost Systems OU
AS49191,Global Software Investment OU
AS49604,Zone Media OU
AS50794,Levira AS
AS51103,EDS SYSTEMS OU
AS51349,Foundation Eesti Interneti Sihtasutus
AS51504,AS Telset
AS56588,Information System Authority
AS57063,GPU Computing OU
AS57196,Clonoth OU
AS57201,Estonian Defence Forces
AS57873,SONICTEST Ltd.
AS57934,Miaowoo LLC
AS59725,Solifinance OU
AS60415,Loginet Solutions LLC
AS60608,Olympic Entertainment Group AS
AS61189,Elkdata OU
AS61254,ESTOXY OU
AS61307,AS STV
AS61328,OU Metrotec
AS62005,BlueVPS OU
AS62024,SIHTASUTUS EESTI TERVISHOIU PILDIPANK
AS62212,SmartApe OU
AS62248,MODIRUM MDPAY OU
AS62406,DNScale OU
AS8240,Information System Authority
AS8728,AS INFONET
