ASN,Name
AS1121,VIX Route Server
AS1270,UUNET Germany
AS1271,RIPE NCC ASN block
AS1732,Mikrokonsultit Oy
AS1837,The North Atlantic Treaty Organization
AS19178,BGC Partners
AS1936,Renater
AS1961,ISI
AS2067,Renater
AS2088,Renater
AS2089,Renater
AS2103,Renater
AS2187,Renater
AS2462,Renater
AS2470,Renater
AS249,European Network
AS250,AS250.net Foundation
AS3917,Shell Information Technology International B.V.
AS3918,Shell Information Technology International B.V.
AS4589,Easynet Global Services
AS544,Telia Finland Oyj
AS6168,Emirates Airline
AS6830,Liberty Global Europe Holding B.V.
AS780,Renater
