ASN,Name
AS12330,MPY Telecom Oy
AS1234,Fortum
AS1248,HERE Global BV
AS12582,Telia Finland Oyj
AS12630,Otaverkko Oy
AS12659,Backbone Networks Europe Inc
AS1301,Electricite de France SA
AS1303,Renater
AS1307,Renater
AS13170,Kaisanet Oy
AS1342,Fujitsu Invia Finland IP-network
AS15496,Aalto University
AS16048,Nokia Solutions and Networks Oy
AS16086,DNA Oyj
AS16228,Pohjoisen Keski-Suomen Verkkopalvelut Oy
AS16302,Suomi Communications Oy
AS16331,Tele-entre Oy
AS1738,OP Osuuskunta
AS1741,CSC - Tieteen tietotekniikan keskus Oy
AS1759,Telia Finland Oyj
AS1780,Valmet Oyj
AS1926,Tampere University Foundation
AS196655,Nivos Energia Oy
AS197115,KEVA
AS197930,Haahtela-kehitys Oy
AS198020,Verda Cloud Oy
AS198024,Istekki Oy
AS198118,SGN Group Oy
AS198443,Advania Finland Oy
AS198514,ALSO Cloud Oy
AS198737,TS-Yhtyma Oy
AS198859,Osuuskunta Keskikaista
AS198936,Tietotunkki oy
AS199087,KaseNet Oy
AS199231,Datalahti Oy
AS199480,"Alajarven Puhelinosuuskunta, JAPO"
AS199486,Tietokeskus Finland Oy
AS199508,S1 Networks Oy
AS199674,Philip Brown
AS200087,Onnisys Oy
AS200134,IP-Connect AB
AS200137,AX Networks Ab
AS200444,Glenn Haeger trading as GLH Netsolutions
AS200630,Valtion tieto - Ja viestintatekniikkakeskus Valtori
AS200656,Nokia Solutions and Networks Oy
AS200696,Alands Penningautomatforening
AS200711,Telia Cygate Oy
AS200905,Open Text Oy
AS201006,Kuuskaistan Palvelut Oy
AS201057,Multim Oy
AS201139,Alavuden Kaupunki
AS201166,Bittiguru Oy
AS201172,Suupohjan Seutuverkko Oy
AS201271,Nordea Bank Abp
AS201587,verkko-osuuskunta Kuuskaista
AS201599,Kimito Telefonaktiebolag Ltd
AS201692,Zoner Oy
AS201726,Andrew Palardy
AS201750,Contrasec Oy
AS201964,Domainkeskus Oy
