ASN,Name
AS12322,Free SAS
AS12362,Euris Health Cloud SAS
AS12409,TRUSTTEAM SAS
AS12516,WEBORAMA SA
AS12536,BSO Network Solutions SAS
AS12565,GROUPE LDLC SA
AS12566,Societe Francaise Du Radiotelephone - SFR SA
AS12601,Cegedim.Cloud SASU
AS12645,COAXIS HOSTING SASAU
AS12670,Completel SAS
AS12696,AXA Technology Services France GIE
AS12727,Vialis SEM
AS12734,Stellantis Auto SAS
AS12771,MEDIAMETRIE S.A.
AS12801,Texas Instruments Deutschland GmbH
AS12807,Orange Business Services SA
AS12811,Auchan Retail International SA
AS12826,CYLLENE ITS SAS
AS12844,Bouygues Telecom SA
AS12876,Scaleway SAS
AS13001,PRESSI SAS
AS13013,Hewlett Packard France S.A.S.
AS13014,Hewlett Packard France S.A.S.
AS13034,SOLOCAL
AS13193,Keyyo SA
AS13223,Council Of Europe
AS132418,1 Rue Royale FR
AS13273,Alter Way SAS
AS134187,BSO Network Solutions SAS
AS136417,Canal+ Caledonie
AS15401,Orange Business Services SA
AS15422,Kering SA
AS15436,WITBE S.A.
AS15543,Oddo BHF SCA
AS15557,Societe Francaise Du Radiotelephone - SFR SA
AS15681,ENGIE SA
AS15826,NFrance Conseil
AS15846,Compagnie Francaise d'Assurance pour le Commerce Exterieur S.A.
AS15847,Interfaces SAS
AS15890,Societe Francaise Du Radiotelephone - SFR SA
AS16028,Orange S.A.
AS16057,Agelia SAS
AS16071,LEGRAND FRANCE S.A
AS16077,Regus Paris SAS
AS16080,Payplug Enterprise SAS
AS16101,Ordipat SAS
AS16128,AGARIK SAS
AS16140,MEDIACTIVE SAS
AS16189,KLEE SA
AS16236,Stellantis Auto SAS
AS16254,Lyreco Management SAS
AS16276,OVH SAS
AS16347,ADISTA SAS
AS16363,Axialys SAS
AS1712,Renater
AS1715,Renater
AS1724,Renater
AS1935,Renater
AS1938,Renater
AS19399,Region Stockholm
AS1942,Renater
AS1945,Renater
AS196633,Montpellier Mediterranee Metropole
AS196658,TRUST INFO s.a.r.l.
AS196670,ADP GSI FRANCE SAS
AS196765,iMDEO SAS
AS196773,VIAPASS SAS
AS196869,ARAXXE SAS
AS197014,Winamax SAS
AS197033,KOESIO Networks SAS
AS197036,Destiny France Entreprises SAS
AS197056,I vision SAS
AS197081,Regie Autonome Electric Cable Chauffage EPIC
AS197133,MEDIACTIVE SAS
AS197138,Owliance SAS
AS197161,Ciril Group SAS
AS197205,Numberly SAS
AS197230,Vicat SA
AS197337,Silvernet SARL
AS197369,SAS PROGINOV
AS197383,ACTIVIUM INFORMATION DESIGN SAS
AS197422,Tetaneutral.net Association declaree
AS197465,Sierra Wireless France SAS
AS197484,APIXIT SAS
AS197485,Equasens SA
AS197492,ALSATIS SERVICES SAS
AS197500,SA SOCIETE NATIONALE DE RADIODIFFUSION RADIO FRANCE
AS197548,Applixia SAS
AS197551,Ameos SARL
AS197562,Boscop SC
AS197573,Toluna SAS
AS197618,SDNum SAS
AS197638,Sanofi SA
AS197653,KOESIO Networks SAS
AS197662,XEFI ENGINEERING BY NC2 SAS
AS197676,Xavier Amichot-Spriet trading as NODREX Cloud
AS197696,Evolix SARL
AS197732,OLLINK SARL
AS197744,Credit Agricole - Group Infrastructure Platform ( CA-GIP ) SAS
AS197778,LACOUR CONCEPT SAS
AS197788,MONEXT SAS
AS197816,Etix Everywhere Ouest SAS
AS197883,Serinya Telecom SAS
AS197914,Ecritel SASU
AS197922,Techcrea Solutions SAS
AS197959,VIRTUA SYSTEMS SAS
AS197981,BSO Network Solutions SAS
AS198034,VOIP Telecom SAS
AS198053,GREEN DATA SAS
AS198060,Darva (Developpement D'applications Sur Reseaux a Valeur Ajoutee) SAS
AS198111,IP Directions SAS
AS198126,PE Beauchiere Remy
