ASN,Name
AS16010,Magticom Ltd.
AS197229,Connect Ltd.
AS197328,GEOCOM LLC
AS197335,Artem Zubkov
AS198150,SIACOM JSC
AS198512,JSC United Financial Corporation UFC
AS198561,Legal Entity Under Public Law Financial Analytical Service
AS198874,JSC Liberty Bank
AS199045,LTD Sky-Net
AS199242,Malakmadze Web LLC
AS199469,AIRNET LLC
AS199595,
AS199625,Netcom LLC
AS199872,JSC Wissol Petroleum Georgia
AS200476,Tech Solutions LLC
AS200488,LLC Tegeta Motors
AS200568,LEPL Digital Governance Agency
AS200823,MHost LLC
AS200883,LEPL- Levan Samkharauli National Forensics Bureau
AS201141,JSC Insurance Company Aldagi
AS201174,Tbilisi City Hall
AS201356,"JSC ""VTB Bank Georgia"""
AS201575,TradeZone LLC
AS201598,LLC Aversi-Pharma
AS201651,"Superbet 2014, Ltd"
AS202065,Alliance Global Net Ltd
AS202223,Odrex Software LLC
AS203039,Cavea Plus LLC
AS203136,LLC Ordunet
AS203310,Ministry of Internal Affairs
AS203448,Telecom 1 LLC
AS203647,TradeZone LLC
AS203962,JSC ProCredit Bank
AS204498,UGT LLC
AS204524,Scientific-Technical Association Interoptica LLC
AS205089,Alfahost LLC
AS205173,"JSC ""Georgian Railway"""
AS20545,Georgian Research and Educational Networking Association (GRENA)
AS205797,Credo Bank JSC
AS205901,Evgenii Diakov
AS205928,Evex Hospitals JSC
AS206527,METRONET LLC
AS206584,Georgian Post LTD
AS207057,Murtazali Ustarov trading as Alius
AS207359,Tochka Network LLC
AS207573,Metro Servis + LLC
AS20771,Caucasus Online Ltd.
AS207877,Safebeat LLC
AS208080,Tbilisi Energy LLC
AS208097,Money Movers LLC
AS208144,PASHA Bank Georgia JSC
AS208320,AIRMAX LLC
AS208603,Real Estate of Georgia JSC
AS208744,UGT LLC
AS208883,State Audit Office of Georgia
AS208943,Full House LLC
AS209000,GreenNetworks LLC
AS209012,MULTISOFT LLC
AS209046,Georgianairlink LLC
AS209047,JSC Risk Management and Insurance Company Global Benefits Georgia
AS209064,Ministry of Internally Displaced Persons from the Occupied Territories Labor Health and Social Affai
AS209183,AkhaliNet LLC
AS209263,Jenet LLC
AS209332,High Council of Justice of Georgia LEPL DEPARTMENT OF COMMON COURTS
AS209743,Enbinet Ltd.
AS209786,Delta Consulting LLC
AS210234,City Net LLC
AS210580,Internet Exchange Association of Georgia
AS210797,LukNet Ltd
AS210808,VGS Network LLC
AS210850,SysNet LLC
AS210923,LTD NETSERVICE
AS211322,GeNet Ltd
AS211426,Silk Bank JSC
AS211981,Argonet LLC
AS21214,Geonet Ltd.
AS212318,Tech Solutions LLC
AS212319,Tech Solutions LLC
AS212345,Tech Solutions LLC
AS212398,Ministry of Environmental Protection and Agriculture of Georgia
AS212484,SmartITUP LLC
AS212599,Telecom 1 LLC
AS21276,Expert Solutions Georgia LLC
AS212803,Orbi Group 10 LTD
AS213520,Senko Digital LLC
AS214015,HALYK BANK GEORGIA JSC
AS214049,Netera LLC
AS214176,PC MAX LLC
AS215348,Gnet LLC
AS215463,JSC Insurance Company GPI Holding
AS215546,Telecom 1 LLC
AS215594,TradeZone LLC
AS215647,Asia Net LLC
AS216300,"Closed Joint Stock Company ""AbkhazMedia"""
AS216463,GREENTV LLC
AS24997,Caucasus Digital Network LTD
AS25249,Magticom Ltd.
AS29289,Georgian Technical University
AS34666,"JSC ""Global Erty"""
AS34797,System Net Ltd
AS35076,LLC Service
AS35805,"JSC ""Silknet"""
AS39248,Artem Zubkov
AS39452,Myphone LLC
AS41161,Artem Zubkov
AS41738,Cellfie Mobile LLC
AS41877,"Railway Telecom, Ltd"
AS42082,"JSC ""Silknet"""
AS42140,New Georgia LLC
AS42223,LLC MARS
AS42938,LLC Gudauta-net
AS44327,DELTA COMM LLC
AS47270,GL-21 LLC
AS47575,Ivane Javakhishvili Tbilisi State University
AS47644,JSC TBC BANK
AS47810,Proservice LLC
AS48393,"JSCB ""Bank of Georgia"""
AS48415,JSC Georgian Card
AS49016,JSC Georgian State Electrosystem
AS49129,LTD CGC Co
AS49254,Alternet Ltd
AS49628,LLC Skytel
AS50151,Easterra LLC
AS50514,Cavea Plus LLC
AS50647,Georgian Water and Power LLC
AS51010,National Agency of Public Registry
AS51142,LLC Ekspres Netvork
AS51841,JSC MFI IntelExpress
AS56811,National Bank of Georgia
AS56855,Ministry of Internal Affairs
AS56966,Foodservice LTD
AS57445,Administration of the President of Georgia
AS57473,"Education Managment Information System ""EMIS"""
AS57743,GreenNetworks LLC
AS57768,LLC Skytel
AS57814,Cloud 9 Ltd.
AS57881,JSC ENERGO-PRO Georgia
AS58185,Ministry of Justice of Georgia
AS58227,Cartu Bank JSC.
AS59503,LEPL Digital Governance Agency
AS60392,RETN GE LLC
AS61167,LEPL Digital Governance Agency
AS62252,JSC Terabank
AS9144,Europabet LLC
