ASN,Name
AS12291,Deutsche Post AG
AS12292,Transkom GmbH
AS12298,QIAGEN GmbH
AS12306,Plus.line AG
AS12312,ecotel communication ag
AS12313,1&1 Versatel GmbH
AS12316,Finanz Informatik Technologie Service GmbH & Co. KG
AS12329,GLASFASER RUHR GmbH & Co. KG
AS12331,Audi AG
AS12337,noris network AG
AS12348,ODN OnlineDienst Nordbayern GmbH & Co. KG
AS12349,Bayer AG
AS12355,HeLi NET Telekommunikation GmbH & Co.
AS12360,KEVAG Telekom GmbH
AS12371,avency GmbH
AS12374,LF.net Netzwerksysteme GmbH
AS12379,ip4 GmbH
AS12399,q.beyond AG
AS12404,Saarbrucker Zeitung Medienhaus GmbH
AS12422,Evonik Industries AG
AS12431,SYBCOM GmbH
AS12437,DTS Systeme Muenster GmbH
AS12440,Hughes Network Systems GmbH
AS12460,Mandala Internet EDV Service GmbH
AS12466,Bicos Computer GmbH
AS12470,Globe Development GmbH
AS12480,ILK Internet Gmbh
AS12502,Dr.-Ing. Nepustil & Co. GmbH Internet Service Center Ingenieurgesellschaft fuer Systemsoftware und K
AS12510,SAP SE
AS12512,CBXNET combox internet GmbH
AS12546,Kleemann GmbH
AS12557,SimpleThings GmbH
AS12571,INCAS GmbH
AS12574,Hosting.de GmbH
AS12579,Xenologics Networks & Communications GmbH
AS12581,tops.net GmbH & Co. KG
AS12586,GHOSTnet GmbH
AS12610,Rockenstein AG
AS12611,R-KOM Regensburger Telekommunikationsgesellschaft mbH
AS12625,Deutsche Boerse AG
AS12638,Telefonica Germany GmbH & Co.OHG
AS12643,Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.
AS12655,Telefonbuch Verlag Hans Mueller GmbH & Co. KG
AS12657,BayCIX GmbH
AS12665,MSH Medien System Haus GmbH & Co. KG
AS12676,HKN GmbH
AS12680,RM Hamburg Holding GmbH
AS12693,e.discom Telekommunikation GmbH
AS12726,AirPlus International GmbH
AS12731,IPHH Internet Port Hamburg GmbH
AS12732,GutCon GmbH
AS12748,IAV GmbH Ingenieurgesellschaft Auto und Verkehr
AS12759,Stephan Fuss trading as SoftCom Datensysteme
AS12808,dtms GmbH
AS12813,WorNet AG
AS12816,Leibniz-Rechenzentrum
AS12817,GeFoekoM e.V.
AS12830,InfraNet AG
AS12843,TelemaxX Telekommunikation GmbH
AS12853,InfraServ GmbH trading as InfraServ GmbH & Co. Gendorf KG
AS12857,Manage Now GmbH
AS12886,LEW TelNet GmbH
AS12888,Amadeus GmbH
AS12897,ENTEGA Medianet GmbH
AS12898,PSV Neo GmbH
AS12907,ip&more GmbH
AS12915,EPAG Domainservices GmbH
AS12923,Wizard Computersysteme GmbH
AS12931,IDKOM Networks GmbH
AS12941,intersaar GmbH
AS13010,MTS Internet GmbH
AS13012,Stefan Englhardt
AS13020,Chaos Computer Club Veranstaltungsgesellschaft mbH
AS13039,Global Village GmbH
AS13040,FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH
AS13043,Bayer AG
AS13045,htp GmbH
AS13054,badenIT GmbH
AS13058,serve-u - Buchholz und Suenderhauf GbR
AS13101,TNG Stadtnetz GmbH
AS13115,Home of the Brave Internet Technology Based Solutions GmbH
AS13128,IT-Dienstleistungszentrum Berlin
AS13130,Autostadt GmbH
AS13132,cyberways Informationsdienste GmbH
AS13135,Wieske's Crew GmbH
AS13157,GOPAS Solutions GmbH
AS13167,Merck KGaA
AS13187,LANXESS Deutschland GmbH
AS13233,Schoene Toechter GmbH
AS13237,euNetworks GmbH
AS13246,Key-Systems GmbH
AS13247,Erdenreich Datentechnik GmbH
AS13251,QiTEC GmbH
AS13282,Finanz Informatik GmbH & Co. KG
AS13289,Krick Management GmbH trading as iWelt GmbH + Co. KG
AS133924,Covestro AG
AS136767,BMW AG (Bayerische Motoren Werke Aktiengesellschaft)
AS139321,Dennis Przytarski
AS15363,arvato infoscore GmbH
AS15366,DNS:NET Internet Service GmbH
AS15368,Intares GmbH
AS15372,IBH connect GmbH
AS15375,Commerzbank Aktiengesellschaft
AS15415,Oberberg-Online Informationssysteme GmbH
AS15434,overturn technologies GmbH
AS15442,Procter & Gamble Service GmbH
AS15446,flatexDEGIRO SE
AS15451,DATEV eG
AS15456,InterNetX GmbH
AS15465,Siemens AG
AS15479,euNetworks GmbH
AS15486,Materna Information & Communications SE
AS15492,PFALZWERKE AG
AS15495,BASF Digital Solutions GmbH
AS15499,Computacenter Management GmbH trading as Computacenter AG & Co.oHG
AS15518,Circular Informationssysteme GmbH
AS15540,operational services GmbH & Co. KG
AS15550,COUNT+CARE Verwaltungs GmbH
AS15580,Allianz Technology SE
AS15590,Atruvia AG
AS15594,netzquadrat GmbH
AS15598,NorthC Deutschland GmbH
AS15613,FactSet GmbH
AS15644,Fresenius SE & Co. KGaA
AS15657,Speedbone Internet & Connectivity GmbH
AS15698,EnBW Energie Baden-Wuerttemberg AG
AS15702,euNetworks GmbH
AS15717,1&1 Versatel GmbH
AS15725,IKS Service GmbH
AS15726,MARCANT AG
AS15743,net.de AG
AS15763,DOKOM Gesellschaft fuer Telekommunikation mbH
AS15769,Deutsche Bank AG
AS15790,Finanz Informatik GmbH & Co. KG
AS15817,"Robert Meyer trading as ""Mittwald CM Service GmbH & Co. KG"""
AS15844,true global communications GmbH
AS15854,EntServ Deutschland GmbH
AS15866,ITventive AG
AS15894,LEITWERK AG
AS15925,Occino GmbH
AS15933,ith Kommunikationstechnik GmbH
AS15943,wilhelm.tel GmbH
AS15945,PFALZKOM GmbH
AS15960,WIIT AG
AS15987,Portunity GmbH
