ASN,Name
AS15825,Ghana Dot Com Ltd
AS29340,SP ECHO GHANA LIMITED
AS29614,Ghana Telecommunications Company Limited
AS29674,Vodacom Business (Ghana) Limited
AS30986,Scancom Limited
AS30997,Ghana Internet Exchange Association
AS327695,Ghana-India Kofi Annan Centre of Excellence in ICT
AS327814,Ecoband Ltd
AS327845,Sage petroleum- Ghana
AS327848,Republic Bank (Ghana) Ltd
AS327853,China Europe International Business School(AFRICA Campus)
AS327886,Central University College
AS327928,Consolidated Bank Ghana Limited
AS327944,African Institute for Mathematical Sciences Ghana
AS327947,Kwame Nkrumah University of Science and Technology
AS327965,ARB APEX BANK LIMITED
AS327992,Ghanaian Academic and Research Network
AS328054,University for Development Studies
AS328076,University of Mines and Technology
AS328141,Ostec limited
AS328182,Digital Arena Limited
AS328184,UNIVERSITY OF HEALTH AND ALLIED SCIENCES
AS328185,Consolidated Bank Ghana Limited
AS328212,THE UNIVERSITY OF CAPE COAST
AS328213,IT Consortium Limited
AS328224,University of Energy and Natural Resources
AS328252,eProcess International SA (Ecobank Group)
AS328261,E-Connecta Limited
AS328264,"University of Professional Studies, Accra (UPSA)"
AS328353,Methodist University College Ghana
AS328367,"US Embassy, Ghana"
AS328372,Etranzact Ghana Limited
AS328439,GHANA INSTITUTE OF MANAGEMENT AND PUBLIC ADMINISTRATION - GIMPA
AS328454,Bank of Ghana
AS328494,3D WIRELESS PLUS LIMITED
AS328530,Garden City University College
AS328574,National Communications Authority
AS328639,Ghana National Petroleum Corporation
AS328647,Koforidua Technical University
AS328648,KUMASI TECHNICAL UNIVERSITY
AS328659,Vobiss Solutions Limited
AS328662,"Presbyterian University College, Ghana"
AS328663,Catholic University of Ghana (Fiapre) (CUG)
AS328717,Tizeti Network Ghana Limited
AS328752,Christian Service University College
AS328769,ARROW NETWORK SYSTEMS LIMITED
AS328770,SIMBA MEDIA GHANA LIMITED
AS328797,Broadspectrum Limited
AS328842,ProData Africa Limited
AS328890,Calbank PLC
AS328891,EFANEST LIMITED
AS328896,UNIVERSITY OF ENVIRONMENT AND SUSTAINABLE DEVELOPMENT
AS328957,CoLi Link Ghana Limited
AS328983,Comsys (GH) Limited
AS328984,Revabit Limited
AS329009,Spectrum Internet Service Ltd
AS329066,Datacom Telecommunication Limited
AS329154,First Atlantic Bank Limited
AS329169,Maxinet Broadband
AS329176,Future Technology Solutions Today Limited
AS329309,West Africa Data Centres Limited
AS329326,Accra Technical University
AS329389,BigPay Ghana Limited
AS329410,Sunyani Technical University
AS329436,Association of African Universities
AS329449,Regional Maritime University
AS329482,OPIN TECHNOLOGIES GHANA LIMITED
AS329486,GCB BANK PLC
AS329580,The Cloud Network Limited
AS329588,Winners Co-operative Credit Union Limited
AS329601,"University of Media, Arts and Communications"
AS329624,MONINET
AS329649,Carl-Tech IT Solutions LTD
AS33786,K-Net
AS35091,"Teledata, Ghana"
AS37012,Comsys (GH) Limited
AS37030,Airtel Ghana Limited
AS37032,Alink Telecom Ghana
AS37074,University of Ghana
AS37087,Super Tech STL Limited
AS37140,Airtel Ghana Limited
AS37212,Zenith Bank Ghana Ltd
AS37232,Certified Technology Services Ltd
AS37263,"University of Education, Winneba"
AS37304,Tullow Ghana Ltd
AS37313,Ghana Government (Ministry of Communications)
AS37350,Dimension Data Ltd
AS37373,Ashesi University College
AS37392,Social Security And National Insurance Trust
AS37534,Guaranty Trust Bank (Ghana) Limited
AS37570,Fidelity Bank Limited
AS37613,DOLPHIN TELECOMMUNICATION LIMITED
AS37647,Blue Cloud Networks Limited
AS37727,iNET Communications Limited
