ASN,Name
AS12798,BV Gaming Limited
AS196775,Entain Corporate Services Limited
AS196904,Evolution NetEnt (Gibraltar) Limited.
AS198849,Virtual Internet Services Limited
AS199926,Evolution NetEnt (Gibraltar) Limited.
AS201071,Virtual Internet Services Limited
AS202087,GIBFIBRE LTD
AS203619,IVPN Limited
AS203976,QUAD CODE (GB) LTD
AS21110,Entain Corporate Services Limited
AS212316,Melmasti Global (Gibraltar) Limited
AS212734,QUAD CODE (GB) LTD
AS34803,Broadband Gibraltar Limited
AS34810,Mansion (Gibraltar) Limited
AS39882,Virtual Internet Services Limited
AS47448,Entain Corporate Services Limited
AS60412,MATER LIMITED
AS8301,Gibtelecom Ltd.
AS8652,Petfre (Gibraltar) Limited
