ASN,Name
AS12364,"University of Macedonia, Economic and Social Sciences"
AS12402,University of Piraeus
AS1241,Nova Telecommunications & Media Single Member S.A
AS12713,Ote SA (Hellenic Telecommunications Organisation)
AS13038,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.
AS13153,SingularLogic S.A.
AS15430,European Dynamics S.A.
AS15439,Eurobank Ergasias Services and Holdings S.A.
AS15536,European Centre for the Development of Vocational Training (CEDEFOP)
AS15544,Dataways S.A.
AS15617,Nova Telecommunications & Media Single Member S.A
AS15690,NATIONAL OBSERVATORY OF ATHENS
AS15853,NBG Securities SA
AS15948,ICE/HT fundamental and technological research
AS16013,Unisystems SA
AS16200,GeniusMind S.A.
AS196945,Microbase PC
AS197389,CBS-LAN S.A.
AS197515,ORIZON TELECOM S.A
AS197534,ICAP CRIF A.E.
AS197580,Connecticore Telecommunications Information Technology S.A
AS197746,"Georgios Vardikos trading as ""HYPERHOSTING"""
AS197899,LAN SINGLE MEMBER P.C.
AS197906,RIPE NCC ASN block
AS198188,Ventzislav Nikolov Trading as MTEL
AS198477,TI SPARKLE GREECE SA
AS199081,Lancom Ltd.
AS199370,Athens International Airport SA
AS199375,Service 800 Teleperformance Single Member S.A.
AS199382,Regency Entertainment S.A.
AS199399,National Infrastructures for Research and Technology S.A.
AS200128,DNHOST IKE
AS200314,Algosystems S.A.
AS200368,Abnormal Frequency Single Member P.C.
AS200736,MEDIANET INVEST AE
AS201293,OPAP S.A
AS201321,ITQS IKE
AS201374,Hellenic Parliament
AS201494,MODULUS A.E.
AS201827,Spartan LTD
AS202042,Skroutz Internet Services S.A.
AS202112,TELMACO S.A
AS202224,Giannis Kontos
AS202506,CREDIABANK S.A.
AS202640,KENTRO POLITISMOU IDRYMA STAVROS NIARCHOS MONOPROSOPI A.E.
AS202903,PE Nikos Antonakis - PRONETWORKS
AS202949,Fraport Regional Airports of Greece Management Company S.A.
AS203079,Europlanet GP
AS203101,NAVARINO SINGLE MEMBER S.A.
AS203348,Hellenic Telecommunications and Post Commision
AS203635,Agiopoulos Agioploudis
AS203704,Spyridon Rafail Panagiotopoulos
AS203780,Diamantis Masoutis S.A. - Super Market
AS203878,ELECTRONIC DATA PROCESSING SOURCE MONOPROSOPI S.A.
AS204399,Stavros Charos
AS204462,Algosystems S.A.
AS204932,George Sgouridis trading as Friktoria.com - Data Center Services.
AS205053,Asimia Damaskou
AS20506,SingularLogic S.A.
AS205298,MARIOS ANGELOS SARDIS trading as SARDIS MARIOS-ANGELOS TOU MARKOU
AS205904,VOICELAND SA
AS206349,Helleniq Energy Digital Monoprosopi SA
AS206425,METRO Anonymi Emporiki kai Viomichaniki Etaireia Eidon Diatrofis kai Oikiakis Chrisis AE
AS206456,Citiwave Systems Ltd.
AS206529,Metadosis SA
AS206652,Ioannis Roditis trading as Greekstream Networks
AS206697,Eurolife ERB General Insurance SA
AS206735,Novelcomm LP
AS207034,KLEEMANN HELLAS SA
AS207062,VELTIO Greece LTD
AS207492,Christodoulou Christos trading as Wicon
AS207540,Cloud Concept S.A.
AS207585,DC ELECTRONICS EE
AS207767,"FERMORITE Systems, Applications and Services on IT and Technology IKE"
AS207953,DEVOQ Technology I.K.E.
AS207955,Orbyt Global S.A.
AS208108,Ioannis Roditis trading as Greekstream Networks
AS20813,Hellenic Open University
AS208149,SKYTELECOM & SIA E.E.
AS208552,PROCESSING SERVICES SIA GREECE S.A.
AS208785,FTN Tilepikoinonies MEPE
AS208829,MELLON TECHNOLOGIES SA
AS208837,INTERCONNECT SM LLC
AS208858,Holy Great Monastery Of Vatopedi
AS209111,PEOPLECERT GLOBAL SERVICES AE
AS209128,Evresis SA
AS209147,IPGLOBAL IKE
AS209150,TH.PAPAMICHAIL VAINAS - G.PSALTAKIS G.P
AS209162,INTERNET HELLAS LP
AS209515,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.
AS209608,Municipality of Athens
AS209872,EASY SYSTEMS S.A.
AS210046,"GIOVANIS I. GKOUMASI X. E.E., trading as BEEASY Solutions"
AS210312,Antonios A. Chariton
AS210473,PANTELIS SPYRIDON trading as NOWIRE
AS210477,Genco Power AE
AS210768,Megabyte IKE
AS211064,Cosmos Business Systems S.A.
AS211065,ANIXE.NET SINGLE MEMBER PRIVATE COMPANY
AS211094,ADVANCED TECH SOLUTIONS LP
AS211109,CRS Liknoss Monoprosopi SA
AS211186,FAST TELECOM SINGLE MEMBER P.C.
AS211275,Thomas Rogdakis
AS211677,ICAP OUTSOURCING SOLUTIONS ANONYMI ETAIRIA PAROXIS YPIRESION
AS211726,Wifiber IKE
AS211761,HELLAS SAT SINGLE MEMBER SOCIETE ANONYME SATELLITE SYSTEMS AND COMMUNICATIONS SERVICES
AS211809,VALITY SA
AS211949,GSNET Private Capital Company I.K.E.
AS212043,Nektarios Dimos
AS212274,IEltrak S.A.
AS212326,Skylink Single Member Ltd.
AS212337,"Andreas Andrianopoulos, trading as Patras Broadband Wireless ISP"
AS212433,NICTECH P.C.
AS212442,Mechmet CHATIP MEMET trading as SpeedNet
AS212485,MENELAOS KATAKIS KAI SIA LP
AS212498,QUALCO SA
AS212699,Yuboto LTD
AS212984,ENISA
AS213218,Minoan Lines Shipping S.A.
AS213835,Solidity Technology Services SA
AS213930,Georgios Methymakis trading as FLEXTELECOMS
AS213974,DIGITAL SIMA INFORMATIC GOODS TRADING SA
AS214010,WISPNET TELECOMMUNICATIONS IKE
AS214254,KYRKOS - ALAFODIMOS (MARPOINT) P.C.
AS214261,AUTOHELLAS TOURIST AND TRADING SOCIETE ANONYME
AS214298,DATAPLEX SA
AS214452,ORGANISMOS LIMENOS THESSALONIKIS ANONYMI ETAIRIA
AS214618,Hack The Box Single Member Private Company
AS214791,Aegean Baltic Bank A.T.E.
AS214914,"Dimitrios Papadopoulos trading as ""Data Networks"""
AS214948,CH.STAMOULIS-TH.CHRISTODOULOPOULOS TECHNOLOGICAL LLC
AS215036,NIKOLOPOULOS D. & Co G.P.
AS215161,"Michael Vassileiou trading as ""DATAHOST"""
AS215213,IDIOTIKI EPIXEIRISI PAROXIS YPIRESION ASFALEIAS KARATZAS A. KAI SIA OE
AS215492,BUTLER CHAT I.K.E.
AS215583,ESPORTS HELLAS I.K.E
AS215734,Georgios Karampitsakis
AS215795,Antonios Damigos
AS215804,GRID TELECOM SINGLE MEMBER S.A
AS215980,Eleftherios Touloumtzidis
AS216028,Ellaktor S.A.
AS216285,MYIP NETWORKS G.P.
AS24849,DELTA FOODS Single Member SA.
AS2546,National Center of Scientific Research DEMOKRITOS
AS25472,Nova Telecommunications & Media Single Member S.A
AS28953,Piraeus Financial Holdings SA
AS28969,AB VASSILOPOULOS S.A.
AS29162,Technopolis SA
AS29229,Anaptiksiakos Sindesmos Ditikis Athinas
AS29241,DIAS SA
AS29247,Ote SA (Hellenic Telecommunications Organisation)
AS29353,TITAN CEMENT COMPANY S.A.
AS30850,INDEPENDENT POWER TRANSMISSION OPERATOR - AMIE
AS31563,Hellenic National Meteorological Service
AS31579,IMERYS INDUSTRIAL MINERALS GREECE SINGLE MEMBER S.A.
AS3260,INTRACOM S.A. TELECOM SOLUTIONS
AS3323,National Technical University of Athens
AS3329,Vodafone-panafon Hellenic Telecommunications Company SA
AS34239,Interamerican Hellenic Life Insurance Company SA
AS34516,ARX-NET SA
AS34780,Village Roadshow Operations Ellas S.A.
AS35372,GeniusMind S.A.
AS35459,KOSMOCAR S.A.
AS35472,MYTILINAIOS A.E.
AS35499,VASILEIOY GEORGIOS KAI SIA E.E. ERMISWISP
AS35506,INFORMATION SOCIETY S.A.
AS39481,Saracakis Brother AEVME
AS39867,Interconnect Ltd.
AS40990,First Telecom Ltd.
AS41125,BANK OF GREECE
AS41372,VELTI SINGLE MEMBER S.A. Software Products and Services
AS41579,CREDIABANK S.A.
