ASN,Name
AS10586,OSI de Guatemala
AS13682,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA"
AS14754,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA"
AS20299,Newcom Limited
AS23243,COMCEL GUATEMALA S.A.
AS262206,COMCEL GUATEMALA S.A.
AS262207,"Corporacion de Internet, Sociedad Anonima."
AS263218,"INTERNET TELECOMUNICATION COMPANY DE GUATEMALA, S.A."
AS263231,"MOBILE WORLD, S.A."
AS263247,"BANRURAL, S.A."
AS263714,APICASA S.A. (MEGAPACA)
AS263761,"Broadcom Group, S.A"
AS263763,"REDES HIBRIDAS, S. A."
AS263781,"ONNO NETWORKS, SOCIEDAD ANÃNIMA"
AS264637,"Blue Consulting Group, S. A."
AS264639,"CLOUD2NUBE, S.A."
AS264764,Innova Outsourcing S.A
AS265684,INFINITUM S.A.
AS26617,Navega.com S.A.
AS266688,CG Investment Sociedad Anonima
AS266755,CONECTIVIDAD Y TECNOLOGIA S.A.
AS267713,"JORGE MARIO, MENDOZA LUX (PUNTO-NET)"
AS267828,SeÃ±al Nacional S.A.
AS269830,ESTRATEGIAS Y TELECOMUNICACIONES S.A. (ETELECOM)
AS269840,SUPERWIFI DE GUATEMALA S.A
AS269923,"IHA Futura, S.A."
AS269926,SKYWAY
AS269951,Banco Promerica Sociedad Anónima
AS269964,TV CABLE UNIVERSAL S.A
AS269989,FIBERNET S.A
AS270036,"NORTVCOM, SOCIEDAD ANONIMA"
AS271885,ASOCIACIN DE RED AVANZADA GUATEMALTECA PARA LA INVESTIGACIN Y LA EDUCACIN (IXP GT)
AS271990,"AIRNET, COPROPIEDAD"
AS272012,"U ENERGY CORP, S. A."
AS272013,DARWIN LEONEL VARGAS PORTILLO (VCONNECTION)
AS272061,"CROSS CONNECT LAC, S.A."
AS272818,"CENTRAL DE REDES Y COMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA"
AS272832,"CIBERNET, S.A."
AS272853,"CORPORACION MALFA, SOCIEDAD ANONIMA"
AS272969,"HOGARES INTELIGENTES, S. A."
AS273041,Universidad de San Carlos de Guatemala
AS273149,"PUNTO DE TRAFICO DE INTERCAMBIO DE INTERNET GUATEMALA, S.A. (PIT GUATEMALA)"
AS273150,"PUNTO DE TRAFICO DE INTERCAMBIO DE INTERNET GUATEMALA, S.A. (PIT GUATEMALA)"
AS273152,MARCO ANTONIO IXCOY VARGAS
AS273871,"SERVICIOS E INSTALACIONES INTEGRADAS VIA SATELITAL, S.A."
AS273884,"SISTECOM, S.A."
AS273897,"BACK OFFICE SMART SOLUTION, SOCIEDAD ANONIMA"
AS274033,"DEVEL SECURITY, S.A."
AS274038,"INVERSIONES Y NEGOCIOS IOT DE GUATEMALA, SOCIEDAD ANNIMA"
AS274229,Empresa Electrica de Guatemala S.A.
AS274277,SERVICIOS INNOVADORES EN TELECOMUNICACIONES Y ENTRETENIMIENTO YEIGO Y FIBRANET SA
AS274866,"BANCO AGROMERCANTIL DE GUATEMALA, SOCIEDAD ANONIMA"
AS27654,Universidad Francisco Marroquin
AS27737,"Cablenet, S. A."
AS27910,Banco Industrial
AS27929,RED AVANZADA GUATEMALTECA PARA LA INVESTIGACIÃN Y LA EDUCACIÃN
AS27933,Universidad Galileo
AS28049,ISP SOLUTIONS S.A.
AS28069,"Banco Azteca de Guatemala, S.A."
AS28087,"COMNET,S.A."
AS52286,"LIBERTY NETWORKS GUATEMALA, LIMITADA"
AS52362,"Servicios Innovadores de ComunicaciÃ³n y Entretenimiento, S.A."
AS52451,Superintendencia de AdministraciÃ³n tributaria
AS52454,Servicios de TI
AS6458,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA"
