ASN,Name
AS10032,BDX DC Services (HK) Limited
AS10098,Towngas Telecommunications Fixed Network Ltd
AS10099,China Unicom Global
AS10103,HK Broadband Network Ltd.
AS10116,Hutchison Telephone Company Limited
AS10118,Hutchison Telephone Company Limited
AS10127,CLSA Ltd
AS10132,Towngas Telecommunications Fixed Network Limited
AS10202,BOC International Holdings Limited
AS10205,ON.CC(HK) LIMITED
AS10222,Multibyte Info Technology Limited
AS10231,Tech-trans System Ltd.
AS10236,AXA Technology Services Asia (HK) Limited
AS10238,Cyber Channel International Ltd
AS13006,
AS131091,GSS Global
AS131184,Fountain Set (Holdings) Ltd
AS131188,"Global Gateway, Tsuen Wan, New Territories, Hong Kong"
AS131189,Livecom Limited
AS131224,SGC-Cloud Alliance Limited
AS131231,WPP Malaysia Campus
AS131234,31/F One Island East
AS131271,ABS (HK) Limited
AS131274,Cypresstel Global Network
AS131280,Hutchison International Limited
AS131314,CBC Tech International Limited
AS131324,"92Cloud Technology Co., Limited"
AS131337,"Block B, Manulife Financial Center"
AS131448,BEST TARGET (HONG KONG) LIMITED
AS131994,Deutsche Bank AG
AS132018,NATIXIS
AS132056,"RM B, 2/F 88 KWAI CHEONG ROAD"
AS132139,VECLOUD LIMITED
AS132168,"ESUN TECHNOLOGY INTERNATIONAL CO., LIMITED"
AS132192,XYZNET LIMITED
AS132252,"12/F Trans Asia Centre, 18 Kin Hong Street"
AS132304,MIND CLOUD (HK)LIMITED
AS132327,Allianz Global Investors GMBH
AS132342,Fidessa ltd
AS132364,"Level 16, Nexxus Buildings"
AS132499,HKCOLO.NET LIMITED
AS132549,eBroker Systems Ltd
AS132585,SkyExchange Internet Access
AS132702,TUV Rheinland Hong Kong Ltd.
AS132707,NEXET LIMITED
AS132742,Guochao Group limited
AS132813,HK AISI CLOUD COMPUTING LIMITED
AS132818,Viking Telecom Limited
AS132839,POWER LINE DATACENTER
AS132883,TOPWAY GLOBAL LIMITED
AS133012,Cocoa Oriental Network Limited
AS133027,i4HK Limited
AS133038,Exanet Limited
AS133041,"Tianxin Group Co., Limited"
AS133054,Reasonable Software House Limited
AS133073,TELEGLOBAL COMMUNICATION SERVICES LIMITED
AS133077,"13/F East Wing, Warwick House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong"
AS133107,"FNETLINK CO .,LIMITED"
AS133115,HK Kwaifong Group Limited
AS133127,Federal Express Corporation Hong Kong Branch
AS133153,IPv4 Superhub Limited
AS133178,SAITEIDC Limited
AS133182,Running River Network Technology Limited
AS133199,SonderCloud Limited
AS133201,ABCDE GROUP
AS133322,XIMBO Internet Limited
AS133329,"HONGKONG HUANG SHENG LONG TECHNOLOGY CO.,LIMITED"
AS133372,Interaptus Limited
AS133380,Layerstack Limited
AS133398,Tele Asia Limited
AS133424,"Donghwa Telecom Co., Limited"
AS133448,Korea
AS133484,Tung Wah College Limited
AS133527,HuaBo Technology International Limited
AS133536,Macy's Merchandising Group International (Hong Kong) Limited
AS133583,Digicel Carrier Services (Pacific) Limited
AS133617,NetPilot Limited
AS133731,Cloudie Limited
AS133744,Better Cloud Limited
AS133747,TRIUMPH DYNASTY Limited
AS133752,LEASEWEB HONG KONG LIMITED
AS133762,NETWORK JOINT (HK) LIMITED
AS133771,Rapid Shield Company Limited
AS133793,ABN Amro Clearing Sydney Pty Ltd
AS133852,DBS Bank (Hong Kong) Limited
AS133861,SonderCloud Limited
AS133905,Layerstack Limited
AS133926,Bank of Communications (Hong Kong) Limited
AS133929,"TWOWIN CO., LIMITED"
AS133948,DONGFONG INC LIMITED
AS133953,Mega Target Communication Limited
AS133955,World-Link International
AS134072,WAY POWER LIMITED
AS134098,Licson Internet Service
AS134167,CBRE Pty Limited
AS134175,"UNIT A17,9/F SILVERCORP INT'L TOWER 707-713 NATHAN RD"
AS134176,Cloudie Limited
AS134196,"ANYUN INTERNET TECHNOLOGY (HK) CO.,LIMITED"
AS134365,"Ansheng Network Technology Co., Limited"
AS134366,Cloud Computing HK Limited
AS134368,Ark Group International (Hong Kong) Limited
AS134379,TGGO COMPANY LIMITED
AS134428,"Edge Cloud Globe Co., Limited"
AS134449,"Dah Sing Bank, Limited"
AS134492,Guosheng IDC lease
AS134518,RETN (Hong Kong) Limited
AS134523,NETWOO TELECOM (HK) LIMITED
AS134524,LinkNet Communication International Limited
AS134533,ATT NBE Equinix Hong Kong
AS134544,Cenbong Int'l Holdings Limited
AS134548,DXTL Tseung Kwan O Service
AS134608,2GoTrade Limited
AS134666,Hoshi Network
AS134687,TWIDC Limited
AS134696,"HENGTIAN NETWORK TECHNOLOGY CO., LIMITED"
AS134700,Sinoycloud Limited
AS134721,TELSTRA PBS LIMITED
AS134729,JOINT POWER TECHNOLOGY LIMITED
AS134753,West Kowloon Cultural District Authority
AS134795,South Asia Universal Limited
AS134829,PPIP Associated Communication Limited
AS134835,Starry Network Limited
AS134969,"Building No.14, MindSpace IT Park, Hi-Tec City"
AS134972,IKUUU NETWORK LTD
AS134997,YFNET
AS135067,"LOGICOM TECHNOLOGY CO.,LIMITED"
AS135081,CHEER TOP TECHNOLOGY LIMITED
AS135097,LUOGELANG (FRANCE) LIMITED
AS135110,HONGKONG LINK INFINITY TECHNOLOGY LIMITED
AS135140,"Qun Ying Network Technology (Hong Kong) Co., Limited"
AS135146,PCCW IMS Ltd (PCCW Business Internet Access)
AS135152,Global Network Transit Limited
AS135158,Softnet Limited
AS135273,NTC ASIA LIMITED
AS135293,"Ezlink Cloud Technology Co., Limted"
AS135309,Geekzu Networks
AS135314,IMCLOUD TECHNOLOGY COMPANY LIMITED
AS135319,Wopop International Limited
AS135330,ADCDATA.COM
AS135338,STARCLOUD INFORMATION LIMITED
AS135356,GOIP Secunet Limited
AS135357,"HONG KONG KOWLOON TELECOMMUNICATIONS CO.,LIMITED"
AS135373,EFLY NETWORK LIMITED
AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
AS135386,LinkChina Telecom Global Limited.
AS135391,AOFEI DATA INTERNATIONAL COMPANY LIMITED
AS135392,MillenialHost Limited
AS135515,NEW POS NETWORK HK LIMITED
AS135552,Shinetown Telecommunication Limited
AS135562,Nevigate Global Network (Hong Kong) Limited
AS135563,Transunion Limited
AS135572,ACT International Telecom Limited
AS135581,"19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong"
AS135621,PCCW IMS Ltd (PCCW Business Internet Access)
AS135652,SONET GLOBAL TECHNOLOGY LIMITED
AS136038,HDTIDC LIMITED
AS136049,FIL Asia Holdings Pte Limited
AS136050,SHENLIN (HK) LIMITED
AS136160,92host Limited
AS136223,"China Merchants Securities (HK) Co., Ltd"
AS136251,EVERY DAY TECHNOLOGY CO. LIMITED
AS136448,AIA Shared Services (Hong Kong) Ltd
AS136472,CLOUDYIX Limited
AS136491,TIDALPORT INTERNATIONAL LIMITED
AS136493,"Earth Network Technology (HongKong) Co., Limited"
AS136501,HKBN Enterprise Solutions HK Limited
AS136547,"Humeng Technology International Co., Limited"
AS136574,Crewish Consultancy Limited
AS136726,NATIXIS
AS136739,Asia Colo (HK) Limited
AS136742,"SU LINK NETWORK CO., LIMITED"
AS136744,DREAM POWER TECHNOLOGY LIMITED
AS136750,China Mobile International Limited
AS136758,HONGKONG CENTURY-ONE LIMITED
AS136798,"WUZHOUHULIAN INTERNATIONAL CO., LIMITED"
AS136897,Enjoyvc Cloud Group Limited.
AS136907,HUAWEI CLOUDS
AS136970,YISU CLOUD LTD
AS136989,Hong Kong Cyberport Management Company
AS136993,CLOUD VALLEY TECHNOLOGY LIMITED
AS137185,"HK GALAXY TELECOM HOLDING CO.,LIMITED"
AS137196,Hong Kong Airlines Limited
AS137207,Joint Universities Computer Centre Limited
AS137211,ALTRON DATA LIMITED
AS137263,NETEASE HONG KONG LIMITED
AS137280,Kingsoft cloud corporation limited
AS137386,Child Wisdom Limited
AS137387,"HUALONG TECHNOLOGY DEVELOPMENT CO.,LIMITED"
AS137405,KERING ASIA PACIFIC LIMITED
AS137427,KIDC LIMITED
AS137443,"ChangLian Network Technology Co., Limited"
AS137446,"Highspeednet Data Services(Hongkong)Co.,Limited"
AS137518,APNIC ASN block
AS137816,Cloud Net Technologies Limited
AS137857,NYT Hong Kong Limited
AS137872,China Mobile Hong Kong Company Limited
AS137887,The Hang Seng University of Hong Kong
AS137897,"PAN-LIAN TECHNOLOGY CO., LIMITED"
AS137913,EDISON Global Networks Limited
AS137918,CUHK Medical Centre Limited
AS137927,Automated System (HK) Ltd.
AS137951,ASLINE LIMITED
AS137969,HONG KONG BRIDGE INFO-TECH LIMITED
AS137973,HONG KONG INTERBANK CLEARING LIMITED
AS137983,TIANFENG (HONG KONG) COMMUNICATIONS LIMITED
AS137990,SUNIWAY GROUP LIMITED
AS137992,KIRKLAND & ELLIS
AS137995,"Shuangyu Communications Technology Co., Limited"
AS137999,QUINTRON-SYSTEMS-LIMITED
AS138037,NekomimiRouter
AS138152,YISU CLOUD LTD
AS138190,GLOBAL-ICT HONGKONG CO.LIMITED
AS138400,Chu Hai College of Higher Education
AS138415,Yancy Limited
AS138435,YuetAu Network
AS138449,SIANG YU SCIENCE AND TECHNOLOGY LIMITED
AS138456,OceanBlue Cloud Technology Limited
AS138485,PrimeCredit Limited
AS138516,CommVerge Solutions Limited
AS138527,"ADC GROUP CO.,LIMITED"
AS138542,"ZT Information Network Co., Limited"
AS138564,Gaoshi Cloud
AS138571,SUPERCLOUDS LIMITED
AS138576,CodecCloud (HK) Limited
AS138607,"CAMBO (HK) TECHNOLOGY (I.S.P) CO., LIMITED"
AS138609,ASLINE LIMITED
AS138627,"Cato Networks, Inc."
AS138644,"FASTMOS CO., LIMITED"
AS138647,The Hong Kong Academy for Performing Arts
AS138648,ASLINE Global Exchange
AS138693,HK DINGFENG TECHNOLOGY INFORMATION LIMITED
AS138915,Kaopu Cloud HK Limited
AS138921,EMPEROR INVESTMENT (MANAGEMENT) LIMITED
AS138959,Telekomunikasi Indonesia International (Hong Kong) Limited
AS138963,Lockhart Road Municipal Services Building
AS138994,China International Business Limited
AS138995,Antbox Networks Limited
AS138997,Eons Data Communications Limited
AS139021,West263 International Limited
AS139226,"Brother Telecom (Cambodia) co., Ltd."
AS139259,"ADC GROUP CO.,LIMITED"
AS139262,HKIC Tech Limited
AS139293,UFO Network Limited
AS139299,FGHRSH STUDIO
AS139327,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
AS139594,IPv4 Superhub Limited
AS139606,Internet Service Provider - Speedy Group Cloud Limited
AS139613,"HONG KONG LIGHTLAYER TECHNOLOGY CO., LIMITED"
AS139646,"HONG KONG LIGHTLAYER TECHNOLOGY CO., LIMITED"
AS139659,LUCIDACLOUD LIMITED
AS139734,"XINGCHEN DATA HK CO., LIMITED"
AS139750,IDCServices.net Inc
AS139803,iOVZ Networks Limited
AS139811,"ANLIAN NETWORK TECHNOLOGY CO., LIMITED"
AS139880,"OWGELS INTERNATIONAL CO., LIMITED"
AS139914,WPP Hong Kong
AS140042,Zhipinshang (Hongkong) Electron Communication Technology Limited
AS140057,IPv4 Superhub Limited
AS140096,"JINX CO., LIMITED"
AS140214,Create Prominent Information Limited
AS140227,"Hong Kong Communications International Co., Limited"
AS140240,LeeWrangler Hong Kong Limited
AS140525,HONG KONG GIGALINK NETWORK LIMITED
AS140570,Hong Kong Beecloud System Technology Services Limited
AS140591,"HK TESUCH GLOBAL CO., LIMITED"
AS140595,YunJie Communication HK Company Limited
AS140614,"ASIA-ISP CO., LIMITED"
AS140630,JSLINK INTERNATIONAL CORPORATION
AS140693,The Walt Disney Company (HK) Ltd
AS140723,"EDGE CLOUD (CAMBODIA) CO., LTD"
AS140841,Ling Cloud Corporation Limited
AS140881,HGC Global Communications Limited
AS140883,Zeyond Limited
AS140925,STAR INTELLITECH HK LIMITED
AS140926,251 Research Redive
AS140938,mnihyc Network Global
AS140944,ChangXin Group China Corporation Limited
AS140951,IPTP Networks
AS141001,Flinty Network
AS141029,United Network Solutions Limited
AS141153,"LCX International Technology Co., Limited"
AS141159,"Incomparable(HK)Network Co., Limited"
AS141163,"ZHAO CHENG TECHNOLOGY (HK) CO., LIMITED"
AS141167,AgotoZ HK Limited
AS141174,INTELLIGENT CONNECTION LIMITED
AS141203,Sunshine City Networks Security Limited
AS141221,"Equinox, aka ekwinox. My favorite time-space coordinate."
AS141237,Moecast Network
AS141356,Universe Action Limited
AS141366,Lightway Studio Limited
AS141394,Kingviews Solutions (Hong Kong) Limited
AS141405,NYT Hong Kong Limited (Korea branch)
AS141419,CHINA MOBILE INTERNATIONAL (THAILAND) LTD.
AS141444,Wicked Networks Limited
AS141475,CENTERLINK GLOBAL TELECOM LIMITED
AS141712,"luYs, Inc."
AS141718,haoxiangyun
AS141721,Asia Satellite Telecommunications Co. Ltd.
AS141735,Core Interconnection
AS141750,PC Cloud
AS141756,MESH INTELLINET LIMITED
AS141759,"HONGKONG XING TONG HUI TECHNOLOGY CO.,LIMITED"
AS141766,"Agilenaas Global Service Co., Limited"
AS141768,HONG KONG BRIDGE INFO-TECH LIMITED
AS142007,Digital HK Kin Chuen Limited
AS142014,MARVEL LINK LIMITED
AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED
AS142020,HONGKONG FA HE YONG TECHNOLOGY
AS142040,"Hong Kong Cloud Times Network Technology Co.,Limited"
AS142113,eServer
AS142115,Hong Kong Cable TV Ltd - Cable Multi-Media Services
AS142118,Societe Generale
AS142132,263 Global Communications Limited
AS142135,TELEGLOBAL COMMUNICATION SERVICES LIMITED
AS142200,Netnova Limited
AS142259,92host Limited
AS142267,Hong Kong Beecloud System Technology Services Limited
AS142270,ohae/posinet
AS142286,LUOGELANG (FRANCE) LIMITED
AS142403,YISU CLOUD LTD
AS142568,Joint Electronic Teller Services Limited
AS142578,E-Large (HongKong)
AS142637,STAR FAX GROUP PTE LTD
AS142641,Yuze Zhang
AS142643,BRAVO M LIMITED
AS146950,Haruue Network Limited
AS146952,"INSTART TECHNOLOGY CO., LIMITED"
AS146961,NEXET LIMITED
AS147002,VMShell Inc.
AS147019,jiii
AS147047,Yuet Au Yeung
AS147048,Feiran Qin
AS147060,HCS LIMITED
