ASN,Name
AS12301,Invitech ICT Services Kft.
AS12303,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyos Egyesulet
AS12589,Magyar Posta Zrt
AS12594,Comnica Kft.
AS15410,BT Limited Magyarorszagi Fioktelepe
AS15566,Infotechna Ltd.
AS15629,United Technology Alliance Kft.
AS15985,Pipenet Informatics and Securities Bt.
AS16015,CIB Bank Zrt.
AS16280,BorsodChem Zrt
AS196970,Langaton Hungary Kft
AS197112,jacsa.NET Kft.
AS197248,Dravanet Co Ltd.
AS197523,DV Info Informatikai kft.
AS197698,RIPE NCC ASN block
AS197750,NK Services (Magyarorszag) Kft.
AS197862,Netfone Telecom Tavkozlesi es Szolgaltato KFT
AS197886,Flashnet Kft
AS197889,Microsystem-Kecskemet Kft
AS198223,Genpact Services Hungary Kft.
AS198281,Websas.hu Kft.
AS199124,Mega Limited
AS199235,Mikrohalo Tavkozlesi Szolgaltato Korlatolt Felelossegu Tarsasag
AS200076,Klapka Gyorgy Lakasfenntarto Szovetkezet
AS200157,99999 Informatika Ltd.
AS200864,Cogitnet Kft.
AS200900,Granit Bank Zrt.
AS200933,Teranet.hu Szolgaltato Kft
AS200940,T-Systems Magyarorszag zrt
AS200964,Isis-Com Kft.
AS2012,ELTENET
AS201237,Datatrans Internet Ltd
AS201355,Tigaz Zrt.
AS201450,ITConsult-Pro Zrt.
AS201568,HBO Holding Uzletviteli Tanacsado Csoport Zrt.
AS202062,Unix Auto Ltd.
AS203084,Mikrotti Kft
AS203137,Orlen Hungary Kft
AS203246,"MOBILLAN-SAT Informatikai, Kereskedelmi es Szolgaltato Kft"
AS203331,Fundamenta-Lakaskassza Zrt.
AS203583,MBH Bank Nyrt.
AS204026,Szatmar-Telekom Kft.
AS204168,EszakNet Kft.
AS204494,Cognizant Technology Solutions Hungary Kft.
AS204745,Macronet System Kft
AS20510,Nexum Hungary Internet Service Provider Ltd.
AS205285,Kapulan Kft.
AS205514,Martin Reicher
AS20568,4iG Telecommunications Holding Zrt
AS205809,MEGA Cloud Services Limited
AS205914,Nemzeti Media- es Hirkozlesi Hatosag
AS20624,Euronet Services Kft
AS206361,Tamas Drinkal
AS206814,SCI-Network pInc.
AS206892,Rendszerinformatika Zrt.
AS207107,NNG Kft.
AS207233,Iplus Magyarorszag Kereskedelmi es Szolgaltato Kft.
AS207236,Widenet Internet Szolgaltato Kft.
AS207255,Mediaszolgaltatas-tamogato es Vagyonkezelo Alap
AS207349,Opennetworks Kft.
AS20742,Internet4U Kereskedelmi es Szolgaltato Kft.
AS207693,Telekabel Ltd.
AS207950,Nemzeti Sportugynokseg Nonprofit Zrt.
AS208126,ViNetwork Kft.
AS208154,ELIN.hu Informatikai Szolgaltato es Tanacsado Kft.
AS20845,DIGI Tavkozlesi es Szolgaltato Kft.
AS208708,Eurocable Magyarorszag Kft
AS208724,MEZGA-NET Bt
AS208839,Gergi Halo Kft.
AS208891,Epitesi es Kozlekedesi Miniszterium
AS209001,DELTAKON KFT.
AS209016,Ifact Hungary Kft.
AS209052,NN Biztosito Zrt
AS209061,DIGI Tavkozlesi es Szolgaltato Kft.
AS209108,Trans-Pack Logisztika Kft.
AS209196,Elektronet Zrt.
AS209310,Interien Technologies Kft.
AS209455,GYSEV Zrt.
AS209486,EgomNet Kft.
AS209602,Okos Volgy Kft
AS210114,HungaroControl Pte.Ltd.Co.
AS210244,FGSZ Zrt.
AS210579,Rackhost Zrt.
AS210611,HFC Technics Ipari Kereskedelmi es Szolgaltato Kft.
AS210772,NewPush Europe Kft.
AS210788,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyos Egyesulet
AS210966,Data Center Solutions Kft.
AS211212,GBD Software as a Service Private Limited Company
AS211326,Incom Technologies Kft.
AS211495,Daniel Jacint Agocs
AS211595,OTP Bank Nyrt. Hungary
AS212184,Prozserin Rudolf
AS212229,HD.hu Kft.
AS21229,Dravanet Co Ltd.
