ASN,Name
AS12969,Ljosleidarinn ehf
AS15474,Rannsokna- og haskolanet Islands hf.
AS1850,Internet a Islandi hf
AS197403,Islandsbanki hf
AS197973,Registers Iceland
AS198815,Rikisutvarpid Ohf
AS199844,RARIK ohf.
AS200432,Teya Iceland hf
AS200651,FlokiNET ehf
AS200868,Kapalvaeding ehf.
AS201849,Sensa ehf
AS202030,Icelandair ehf
AS202247,NetBerg ehf
AS203176,Reiknistofa bankanna hf.
AS203322,Eimskip Island ehf
AS203715,Isavia ohf
AS204588,Rapyd Europe hf.
AS205436,Wintermute Technologies EHF
AS206010,Umbra Service Center Management
AS206669,Gagnaveitan ehf.
AS206743,Securitas hf.
AS206842,Tactica ehf
AS209214,Netheimur ehf.
AS210080,Tolvuthjonustan ehf.
AS210747,BERJAYA HOTELS ICELAND hf
AS211589,Rikisutvarpid Ohf
AS211734,Vegagerdin
AS211757,Panascais ehf.
AS211815,Landsvirkjun
AS212771,Netvoktun ehf
AS212926,Harpa Concert Hall and Conference Centre ohf
AS214144,Neydarlinan ohf.
AS214185,Rafey ehf
AS214215,Farice ehf
AS215608,Samgongustofa
AS215823,Spaugur ehf.
AS216017,Opin Kerfi hf
AS216293,TechSupport ehf
AS24743,Snerpa ehf
AS25244,deCode genetics Ltd.
AS25509,Hringidan ehf / Vortex Inc
AS29348,Icelandic Ministry of Education and Children
AS29689,Origo ehf
AS30818,Advania Island ehf
AS31236,Reykjavik City Hall
AS31441,Ljosleidarinn ehf
AS34678,Eignafelag Tolvunar ehf
AS35834,CCP ehf.
AS39472,Arion Banki hf
AS39532,Landsbankinn hf
AS43892,Sensa ehf
AS44275,Opin Kerfi hf
AS44515,Advania Island ehf
AS44644,Arvakur hf
AS44735,Nova hf
AS44925,1984 ehf
AS47545,Verkis hf
AS47828,Rapyd Europe hf.
AS48685,Opin Kerfi hf
AS50613,Advania Island ehf
AS51019,Kria Elinarbur
AS51296,Handpoint ehf
AS51896,Hringdu ehf
AS56704,Farice ehf
AS57729,Kopavogsbaer
AS59396,Tolvu- og Rafeindapjonusta Sudurlands ehf
AS60259,Nova hf
AS60300,Syn hf
AS60690,Opin Kerfi hf
AS62199,Verne Global hf.
AS6677,Mila hf
