ASN,Name
AS10029,Spectranet
AS10123,Flytxt Mobile Solutions Pvt Ltd
AS10125,IGT SOLUTIONS PRIVATE LIMITED
AS10199,Tata Communications Ltd
AS10215,Microland Limited. IT Infra Service Provider. India
AS10225,Nettlinx Limited
AS131169,"# 26, Bannerghatta Road, J. P. Nagar, Phase III"
AS131181,63 Moons Technologies Limited
AS131190,"FIRST AMERICAN INDIA PVT LTD., IT ENABLED SERVICES,INDIA"
AS131210,2713/4 lakshmi building adipampa road v.v.mohalla
AS131215,116 MADHAV DARSHAN
AS131226,Indian Institute Of Technology Roorkee
AS131232,ADP Private Limited
AS131235,Unit 69 SDF III
AS131255,Hexaware Technologies Limited
AS131256,MGRM DIGITAL CLOUD SERVICES PRIVATE LIMITED
AS131262,Kelnet Communication Services (P) Ltd.
AS131265,TCS eServe Limited
AS131269,"Atria Convergence Technologies Ltd.,"
AS131283,HDFC Bank House
AS131299,tornado net private limited
AS131302,294/3  Vidhya Nagari Marg
AS131317,TTSL-ISP DIVISION
AS131442,Digital Network Associates Pvt Ltd
AS131458,WILLIAMS LEA INDIA PRIVATE LIMITED
AS131459,"88c, Race Course Road, Coimbatore 641018"
AS131463,STN COMMUNICATION & ADVERTISING PVT LTD
AS131473,SRM Nagar
AS131787,Keltron House
AS131993,"UNIT 107 MULTISTORIED BUILDING, SEEPZ,"
AS132004,Touch Net India Pvt. Ltd.
AS132005,"209, Laxmi Plaza"
AS132028,Aspire Systems India Private Ltd
AS132043,4th Floor New Administrative Building
AS132044,Fortune Data Centres
AS132052,"NIL-36C, Malviya Nagar"
AS132075,Tech Mahindra Business Services Limited
AS132089,XAVIENT SOFTWARE SOLUTION(INDIA) PRIVATE LIMITED
AS132108,"IL&FS House, Plot No. 14"
AS132115,INDINET SERVICE PRIVATE LIMITED
AS132116,Ani Network Pvt Ltd
AS132135,Hero MotoCorp Ltd
AS132137,Shree Omkar Infocom Pvt Ltd
AS132150,ValueLabs Technologies
AS132152,Persistent System Ltd
AS132166,Rida Communication Private Limited
AS132208,NGBPS LTD
AS132215,Powergrid Teleservices Limited
AS132220,JPR Digital Pvt. Ltd.
AS132239,Envestnet Asset Management India Pvt. Ltd
AS132272,TRIJIT TECHNOLOGIES PVT LTD
AS132278,Glencore Information Services Private Limited
AS132296,Seven Star Digital Network Private Limited
AS132303,Tata Play Limited
AS132308,CONDUENT BUSINESS SERVICES INDIA LLP
AS132322,Good Domain Registry Private Limited
AS132323,PERFECT INTERNET PVT LTD
AS132329,Firstsource Solutions Ltd
AS132334,LUCASFILM VISUAL EFFECTS INDIA PRIVATE LIMITED
AS132335,LEAPSWITCH NETWORKS PRIVATE LIMITED
AS132338,HP Global Soft Pvt Ltd
AS132343,SUN TV NETWORK LIMITED
AS132349,Mylan Laboratories Ltd
AS132351,National Payment Corporation Of India
AS132371,Solartis Technology Services Private Limited
AS132377,Ellucian Company LP
AS132378,MERINO INDUSTRIES LIMITED
AS132384,Deloitte Consulting India Pvt. Ltd
AS132388,Intuit India Product Development Center Private Limited
AS132401,COMCAST INDIA ENGINEERING CENTER I LLP
AS132413,First Data Resources Australia Limited
AS132414,First Data Resources Australia Limited
AS132415,"Palm Court Bldg M, 501/B, 5th Floor, New Link Road"
AS132417,"Plot No. 5& 43, HITECH City, Madhapur"
AS132420,"282, Sector 19"
AS132423,Powai
AS132428,Quest Diagnostics HTAS India Pvt. Ltd.
AS132441,"SHRI SAIBABA SANSTHAN TRUST, SHIRDI"
AS132445,Khetan Cable Network Pvt. Limited
AS132453,TRIPLE PLAY BROADBAND PRIVATE LIMITED
AS132485,Axis Securities Limited
AS132497,DIGITAL NETWORK ASSOCIATES PRIVATE LIMITED
AS132506,TAG
AS132507,Micronova Helios Networking Solutions Private Limited
AS132518,Sheen Telecom Consultants Private Limited
AS132519,Sikka Cable
AS132520,MahaOnline Limited
AS132523,Speed Touch Net Service
AS132524,Tata Institute of Fundamental Research
AS132527,Department of Posts
AS132535,ANTARIKSH BROADBAND AND WIRELESS SOLUTION PRIVATE LIMITED
AS132540,AIRNAT IT SOLUTIONS PVT LTD
AS132542,Chinetworks India Pvt. Ltd.
AS132547,Sajag Prahari Foundation
AS132556,Blue Lotus Support Services Pvt Ltd
AS132557,Sbi Cards And Payment Services Limited
AS132559,Gatik Business Solutions
AS132562,Komal Network Service Private Limited
AS132563,MegaHostZone
AS132566,Skynet Broadband Plus Solution
AS132568,INFINET
AS132570,Saibaba Broadband Pvt Ltd
AS132571,Euronet Services India Pvt Ltd
AS132572,Fasthook Networks Pvt Ltd
AS132573,SAI NGN Network Services
AS132587,INFORMATICA BUSINESS SOLUTION PVT LTD
AS132613,SunTec Business Solutions Pvt. Ltd.
AS132627,FIBERMETRIC BROADBAND PRIVATE LIMITED
AS132711,Dell SonicWALL
AS132717,NxtGen Datacenter & Cloud Technologies Pvt. Ltd.
AS132746,Infolink System
AS132749,"Indraprastha Institute of Information Technology, Delhi"
AS132751,Omkar Infotech
AS132752,PROSTAR TECHNOLOGIES PRIVATE LIMITED
AS132753,Inventum Technologies Private Limited
AS132754,Realtel Network Services Pvt Ltd
AS132757,Sristi Sanchar Webnet Ltd.
AS132758,Eye Fastnet Service Private Limited
AS132760,Progression Infonet Pvt Ltd
AS132761,Smartlink Solutions Pvt. Ltd.
AS132762,Web Werks India Pvt. Ltd.
AS132763,HPCL-Mittal Energy Ltd.
AS132764,Pinkey Internet
AS132765,SNDC COMMUNICATION PRIVATE LIMITED
AS132767,ANDHRA PRADESH TECHNOLOGY SERVICES LIMITED
AS132768,Five network Broadband Solution Pvt Ltd
AS132770,Gazon Communications India Limited
AS132771,Fibre Air Services Private Limited
AS132772,Air2net India Private Limited
AS132774,Niss Internet services private limited
AS132778,Rvsm Solutions Private Limited
AS132779,RackBank Datacenters Private Ltd
AS132780,Indian Institute of Technology Delhi
AS132781,Karix Mobile Private Limited
AS132783,AMARNATH INTERNET SOLUTION PVT LTD
AS132784,Ski Network Services Private Limited
AS132785,Shiv Nadar Institution of Eminence Deemed to be University
AS132787,Helios IT Infrasolutions Pvt Ltd
AS132867,Fidelity Business Services India Private Limited
AS132878,HT Media Ltd.
AS132893,KODIAK NETWORKS INDIA PRIVATE LIMITED
AS132911,ECS BIZTECH LTD
AS132912,IGREEN TELE SERVICES PRIVATE LIMITED
AS132922,Varun Beverages Limited
AS132923,Vihaan Telecommunication Pvt. Ltd.
AS132924,Ero Wide Comm Private Limited
AS132925,Ideastack Solutions Private Limited
AS132926,Allen Career Institute
AS132931,FICUS TELECOM PRIVATE LIMITED
AS132932,It Things
AS132933,Charotar Telelink Pvt Ltd
AS132934,Skymax Broadband Services Pvt. Ltd.
AS132935,Arjun Broadband Private Limited
AS132937,Diadem Technologies Pvt. Ltd.
AS132938,Shri Vinayagaa Internet Pvt. Ltd.
